,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
51,Scampo,100g,1 scampo (10 g),84 kcal,353 kJ,Pesce e frutti di mare
52,Gunnello,100g,1 filetto (25 g),187 kcal,785 kJ,Pesce e frutti di mare
53,Dentice atlantico,100g,1 filetto (170 g),87 kcal,365 kJ,Pesce e frutti di mare
54,Molva,100g,1 filetto (151 g),128 kcal,538 kJ,Pesce e frutti di mare
55,Wahoo,100g,1 porzione (100 g),109 kcal,458 kJ,Pesce e frutti di mare
56,Aragosta,100g,1 porzione (120 g),88 kcal,370 kJ,Pesce e frutti di mare
57,Arsella / Tellina,100g,1 porzione (150 g),90 kcal,378 kJ,Pesce e frutti di mare
58,Razza,100g,1 porzione (200 g),96 kcal,403 kJ,Pesce e frutti di mare
59,Triglia,100g,1 porzione (100 g),110 kcal,462 kJ,Pesce e frutti di mare
60,Seppia,100g,1 porzione (28.4 g),92 kcal,386 kJ,Pesce e frutti di mare
