,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
33,Sfoglie,100g,1 pezzo (245 g),558 kcal,2344 kJ,Torte e crostate
34,Torta ai lamponi,100g,1 pezzo (137 g),240 kcal,1008 kJ,Torte e crostate
35,Torta al rabarbaro,100g,1 pezzo (137 g),245 kcal,1029 kJ,Torte e crostate
36,Sacher,100g,1 pezzo (125 g),352 kcal,1478 kJ,Torte e crostate
37,Pan di spagna,100g,1 pezzo (38 g),289 kcal,1214 kJ,Torte e crostate
38,Torta di fragole,100g,1 pezzo (167 g),230 kcal,966 kJ,Torte e crostate
39,Tarte tatin,100g,1 pezzo (100 g),210 kcal,882 kJ,Torte e crostate
40,Tiramisu,100g,1 porzione (174 g),283 kcal,1189 kJ,Torte e crostate
41,Torta tiramisu,100g,1 pezzo (108 g),291 kcal,1222 kJ,Torte e crostate
42,Tartufo,100g,1 porzione (100 g),180 kcal,756 kJ,Torte e crostate
43,Waffle,100g,1 waffle (33 g),312 kcal,1310 kJ,Torte e crostate
44,Torta nuziale,100g,1 pezzo (109 g),381 kcal,1600 kJ,Torte e crostate
45,Buttermilk cake / Torta al latticello,100g,1 pezzo (144 g),380 kcal,1596 kJ,Torte e crostate
46,Torta di ciliegie,100g,1 pezzo (125 g),260 kcal,1092 kJ,Torte e crostate
47,Fagottino di mele,100g,1 pezzo (82 g),348 kcal,1462 kJ,Torte e crostate
48,Torta di limetta / Torta al lime,100g,1 pezzo (80 g),359 kcal,1508 kJ,Torte e crostate
49,Pound cake,100g,1 porzione (55 g),390 kcal,1638 kJ,Torte e crostate
50,Torta di fragole e rabarbaro,100g,1 pezzo (150 g),281 kcal,1180 kJ,Torte e crostate
51,Rotolo svizzero,100g,1 pezzo (31 g),439 kcal,1844 kJ,Torte e crostate
52,Banoffee pie,100g,1 porzione (100 g),395 kcal,1659 kJ,Torte e crostate
53,Black and white cookie,100g,1 pezzo (113 g),381 kcal,1600 kJ,Torte e crostate
54,Crumb cake / Crumble,100g,1 pezzo (57 g),441 kcal,1852 kJ,Torte e crostate
55,French cruller,100g,1 ciambella (41 g),412 kcal,1730 kJ,Torte e crostate
56,Bundt cake,100g,1 fetta (91 g),370 kcal,1554 kJ,Torte e crostate
57,Pastiera,100g,1 pezzo (149 g),336 kcal,1411 kJ,Torte e crostate
58,Babà,100g,1 porzione (45 g),250 kcal,1050 kJ,Torte e crostate
59,Cassata,100g,1 fetta (153 g),388 kcal,1630 kJ,Torte e crostate
60,Meringata,100g,1 porzione (110 g),374 kcal,1571 kJ,Torte e crostate
61,Torrone,100g,1 pezzo (10 g),446 kcal,1873 kJ,Torte e crostate
62,Millefoglie,100g,1 pezzo (93 g),360 kcal,1512 kJ,Torte e crostate
63,Crostata,100g,1 pezzo (92 g),339 kcal,1424 kJ,Torte e crostate
64,Pandoro,100g,1 pezzo (50 g),390 kcal,1638 kJ,Torte e crostate
65,Pandolce,100g,1 pezzo (50 g),332 kcal,1394 kJ,Torte e crostate
66,Panforte,100g,1 pezzo (44 g),363 kcal,1525 kJ,Torte e crostate
