,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
28,Semolino dolce,100g,1 cucchiaio (11 g),340 kcal,1428 kJ,Caramelle e dolciumi
29,Skittles,100g,20 pezzi (22 g),405 kcal,1701 kJ,Caramelle e dolciumi
30,Smarties,100g,1 confezione (7 g),357 kcal,1499 kJ,Caramelle e dolciumi
31,Snickers,100g,1 barretta (50 g),484 kcal,2033 kJ,Caramelle e dolciumi
32,Speculoos,100g,1 pezzo (8 g),469 kcal,1970 kJ,Caramelle e dolciumi
33,Toblerone,100g,1 pezzo (9 g),525 kcal,2205 kJ,Caramelle e dolciumi
34,Zuppa inglese,100g,1/2 tartufo (250 g),186 kcal,781 kJ,Caramelle e dolciumi
35,Twix,100g,1 barretta (25 g),495 kcal,2079 kJ,Caramelle e dolciumi
36,Waffle,100g,1 waffle (35 g),272 kcal,1142 kJ,Caramelle e dolciumi
37,Cioccolatini,100g,1 pezzo (7 g),529 kcal,2222 kJ,Caramelle e dolciumi
38,Cioccolatini Lindt,100g,1 pezzo (5 g),548 kcal,2302 kJ,Caramelle e dolciumi
39,Biscottini degli animali,100g,10 cracker (19 g),446 kcal,1873 kJ,Caramelle e dolciumi
40,Confetti alle mandorle,100g,20 pezzi (65 g),429 kcal,1802 kJ,Caramelle e dolciumi
41,Lecca lecca,100g,1 lecca lecca (12 g),392 kcal,1646 kJ,Caramelle e dolciumi
42,Mars,100g,1 barretta (45 g),448 kcal,1882 kJ,Caramelle e dolciumi
43,Barretta di arachidi,100g,1 barretta (45 g),533 kcal,2239 kJ,Caramelle e dolciumi
44,Croccante alle arachidi,100g,1/2 bicchiere (36 g),183 kcal,769 kJ,Caramelle e dolciumi
45,Pop Rocks,100g,1 confezione (10 g),358 kcal,1504 kJ,Caramelle e dolciumi
46,Biscottini di natale,100g,1 pezzo (11 g),500 kcal,2100 kJ,Caramelle e dolciumi
47,Biscotti al burro di arachidi,100g,1 pezzo (20 g),475 kcal,1995 kJ,Caramelle e dolciumi
48,Peppermint bark,100g,1 pezzo (28 g),500 kcal,2100 kJ,Caramelle e dolciumi
49,Fiesta Ferrero,100g,1 pezzo (36 g),425 kcal,1785 kJ,Caramelle e dolciumi
50,Kinder Brioss Ferrero,100g,1 pezzo (28 g),417 kcal,1751 kJ,Caramelle e dolciumi
51,Kinder Colazione Più Ferrero,100g,1 barretta (30 g),396 kcal,1663 kJ,Caramelle e dolciumi
52,Kinder Delice Ferrero,100g,1 barretta (42 g),454 kcal,1907 kJ,Caramelle e dolciumi
53,Pocket Coffee Ferrero,100g,1 pezzo (13 g),417 kcal,1751 kJ,Caramelle e dolciumi
54,Mon Chéri Ferrero,100g,1 pezzo (10 g),448 kcal,1882 kJ,Caramelle e dolciumi
55,Kinder Cioccolato Ferrero,100g,1 barretta (21 g),554 kcal,2327 kJ,Caramelle e dolciumi
56,Kinder Bueno Ferrero,100g,1 barretta (21 g),572 kcal,2402 kJ,Caramelle e dolciumi
57,Tic Tac Ferrero,100g,1 pezzo (1 g),395 kcal,1659 kJ,Caramelle e dolciumi
58,Kinder Maxi King Ferrero,100g,1 pezzo (35 g),514 kcal,2159 kJ,Caramelle e dolciumi
