name,synonyms,category,specific gravity,energy kcal,protein,alcohol,water,"carbohydrates, available",starch,sugars,dietary fibres,"fat, total",cholesterol,"fatty acids, monounsaturated","fatty acids, saturated","fatty acids, polyunsaturated",beta-carotene,vitamin b1,vitamin b2,vitamin b6,vitamin b12,niacin,folate,pantothenic acid,vitamin c,vitamin d,sodium,potassium,chloride,calcium,magnesium,phosphorus,iron,iodide,zinc
"banana, secca",,Frutta/Frutta secca,,273.0,3.0,0.0,28.0,60.2,16.5,43.7,5.5,1.0,0.0,0.1,0.4,0.2,0.0001,0.0001,0.00017999999999999998,0.0008100000000000001,0.0,0.002,3.3e-05,0.00054,0.004,0.0,0.008,1.15,0.3,0.02,0.09,0.075,0.0013000000000000002,8.099999999999999e-06,0.0006
"banana, cruda",,Frutta/Frutta fresca,,95.0,1.1,0.0,74.0,21.0,3.8,17.2,2.0,0.3,0.0,0.0,0.1,0.1,7.7e-05,4e-05,7.000000000000001e-05,0.00047000000000000004,0.0,0.0006,2.3e-05,0.0003,0.012,0.0,0.001,0.38,0.11,0.008,0.03,0.022000000000000002,0.0004,2e-06,0.0002
"basilico, fresco",,Verdure/Erbe aromatiche,,46.0,3.1,0.0,86.4,5.1,0.1,5.0,3.1,0.8,0.0,0.0,0.1,0.4,0.0048200000000000005,8e-05,0.00031,0.00017999999999999998,0.0,0.0011,5e-05,0.0002,0.026,0.0,0.009000000000000001,0.3,0.035,0.25,0.011000000000000001,0.037000000000000005,0.0055,9.000000000000001e-07,0.0007
leckerli di basilea,,Dolciumi/Biscotti,,404.0,6.9,0.3,6.3,74.8,23.2,52.0,3.2,7.6,0.0,4.6,0.6,2.1,1e-06,5.9999999999999995e-05,8.999999999999999e-05,0.00016,0.0,0.0012,1e-05,0.00016,0.0009000000000000002,0.0,0.0029,0.17,0.028999999999999998,0.055,0.044000000000000004,0.11,0.0016,6e-07,0.0013000000000000002
"salsiccia da arrostire di maiale, alla griglia (senza aggiunta di grassi o sale)",,Prodotti carnei e insaccati/Insaccati crudi,,270.0,21.1,0.1,52.1,0.2,0.0,0.2,0.0,20.4,0.075,9.5,7.5,2.2,0.0,0.00064,0.00021,0.0003900000000000001,1.6999999999999996e-06,0.0043,2.7000000000000004e-06,0.00055,0.0,0.0,1.72,0.33,2.84,0.0036000000000000008,0.025,0.23,0.0011,1.6e-06,0.0019
"salsiccia da arrostire di maiale, cruda",,Prodotti carnei e insaccati/Insaccati crudi,,243.0,16.9,0.1,58.7,0.2,0.0,0.2,0.0,19.3,0.06,9.0,7.1,2.1,0.0,0.0006799999999999999,0.00017999999999999998,0.00042,1.5e-06,0.004,2.5e-06,0.0005200000000000001,0.0,0.0,1.53,0.31,2.27,0.0029,0.02,0.19,0.0009000000000000002,1.3e-06,0.0015
pane contadino,,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,240.0,9.0,0.0,38.2,44.5,41.7,2.5,4.2,2.0,0.004,0.4,0.7,0.6,6e-06,0.0002,0.00011999999999999999,0.00017999999999999998,2e-08,0.002,2.7000000000000002e-05,0.00047999999999999996,0.0002,0.0,0.7000000000000001,0.2,1.09,0.042,0.038,0.16,0.0019,3.7000000000000006e-06,0.0016
salame di campagna,,Prodotti carnei e insaccati/Insaccati crudi,,532.0,20.6,0.1,23.7,0.8,0.0,0.8,0.0,49.5,0.084,23.2,18.7,5.2,0.0,0.00055,0.00023999999999999998,0.00033,3e-06,0.005900000000000001,2.8e-06,0.0005600000000000001,0.07050000000000001,0.0,1.58,0.34,2.33,0.005,0.022000000000000002,0.18,0.0014,9.000000000000001e-07,0.0027
schüblig di campagna,,Prodotti carnei e insaccati/Insaccati crudi,,524.0,21.3,0.2,24.1,0.3,0.0,0.3,0.0,48.5,0.08600000000000001,22.9,18.8,4.4,0.0,0.0005300000000000001,0.00023999999999999998,0.00033,3.3e-06,0.006,2.6e-06,0.0005600000000000001,0.07100000000000001,0.0,1.59,0.35000000000000003,2.35,0.0048,0.022000000000000002,0.28,0.0016,1e-06,0.0029
noci,,"Noci, semi e frutti oleosi",,742.0,15.9,0.0,4.1,7.0,1.5,2.0,6.7,70.8,0.0,11.9,6.3,49.4,0.0,0.00036,0.00014,0.00041,1e-07,0.0013000000000000002,0.00014,0.0008100000000000001,0.0021000000000000003,0.0,0.0003,0.42,0.023,0.078,0.14,0.36,0.003,2e-06,0.004
