name,calorie | kcal,category
olio di colza,884.0,Oli vegetali
olio di cocco,857.0,Oli vegetali
olio di mais,800.0,Oli vegetali
olio di semi di cotone,882.0,Oli vegetali
olio di semi di vinacciolo,884.0,Oli vegetali
olio di nocciole,889.0,Oli vegetali
olio di semi di lino,837.0,Oli vegetali
olio di menadi,911.0,Oli vegetali
olio di senape,884.0,Oli vegetali
olio di avena,884.0,Oli vegetali
olio di oliva,800.0,Oli vegetali
olio di palma,882.0,Oli vegetali
olio di arachidi,857.0,Oli vegetali
olio di semi di papavero,884.0,Oli vegetali
olio di semi di zucca,880.0,Oli vegetali
olio di crusca di riso,889.0,Oli vegetali
olio di cartamo,857.0,Oli vegetali
olio di salmone,911.0,Oli vegetali
olio di sesamo,889.0,Oli vegetali
olio di karitè,884.0,Oli vegetali
olio di soia,882.0,Oli vegetali
olio di semi di girasole,884.0,Oli vegetali
olio di semi di pomodoro,884.0,Oli vegetali
olio vegetale,800.0,Oli vegetali
olio di noci,889.0,Oli vegetali
olio di germe di grano,929.0,Oli vegetali
olio extra vergine di oliva,884.0,Oli vegetali
vodka,231.0,Bevande alcoliche
birra,43.0,Bevande alcoliche
vino,83.0,Bevande alcoliche
vino bianco,82.0,Bevande alcoliche
vino rosso,85.0,Bevande alcoliche
tequila,110.0,Bevande alcoliche
gin,263.0,Bevande alcoliche
jack daniel's,146.0,Bevande alcoliche
champagne,75.0,Bevande alcoliche
rum,231.0,Bevande alcoliche
scotch,222.0,Bevande alcoliche
bourbon,233.0,Bevande alcoliche
baileys,327.0,Bevande alcoliche
prosecco,66.0,Bevande alcoliche
whisky,250.0,Bevande alcoliche
sangria,96.0,Bevande alcoliche
kahlua,180.0,Bevande alcoliche
southern comfort,247.0,Bevande alcoliche
