name,biotina | mcg,folati totali | mcg,iodio | mcg,selenio | mcg,vitamina b12 | mcg,vitamina d | mcg,vitamina k | mcg,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,acido arachidonico | g,acido aspartico | mg,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido erucico | g,acido glutammico | mg,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | mg,acido stearico | g,acqua | g,alcol | g,altri acidi grassi polinsaturi | g,arginina | mg,calcio | mg,cistina | mg,cloro | mg,colesterolo | mg,fenilalanina | mg,fibra alimentare totale | g,fosforo | mg,fruttosio | g,galattosio | g,glicina | mg,glucosio | g,lattosio (mse) | g,lipidi totali | g,magnesio | mg,maltosio (mse) | g,manganese | mg,niacina | mg,parte edibile | %,prolina | mg,proteine totali | g,saccarosio (mse) | g,serina | mg,sodio | mg,tirosina | mg,treonina | mg,vitamina b6 | mg,vitamina c | mg,zinco | mg,zolfo | mg,acido eicosenoico | g,acido arachico | g,amido (mse) | g,carboidrati solubili (mse) | g,lipidi animali | g,lipidi vegetali | g,proteine animali | g,proteine vegetali | g,ferro | mg,potassio | mg,isoleucina | mg,leucina | mg,metionina | mg,valina | mg,istidina | mg,triptofano | mg,rame | mg,lisina | mg,alanina | mg,tiamina (vit. b1) | mg,riboflavina (vit. b2) | mg,"vitamina e, aggiunta | mg",ß-carotene equivalente | mcg,"somma degli acidi butirrico, caproico, caprilico e caprico | g","calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",retinolo equivalente | mcg,Carboidrati disponibili | g
yogurt di latte scremato alla frutta non zuccherato,2.3,16.0,48.0,1.0,0.2,0.01,0.0,0.02,0.0,0.06,0.0,274.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.0,0.33,0.01,88.3,0.0,0.0,116.0,120.0,32.0,130.0,2.0,179.0,0.2,94.0,3.5,1.0,74.0,0.8,2.4,0.1,15.0,0.0,0.0,21.0,100.0,316.0,4.0,0.1,189.0,45.0,200.0,147.0,0.08,1.0,0.5,38.0,0.0,0.0,0.0,7.8,0.1,0.0,4.0,0.0,0.1,185.0,168.0,316.0,95.0,221.0,95.0,42.0,0.0,274.0,116.0,0.04,0.18,0.0,4.0,0.01,47.0,46.0,10.0,7.8
formaggio al gorgonzola e al mascarpone,2.3,32.0,38.0,4.5,0.8,0.26,0.0,10.73,1.15,20.32,0.0,936.0,0.0,0.0,0.0,0.0,2201.0,1.01,0.68,0.47,3.43,0.46,9.25,8.83,1.02,0.25,4.01,47.6,0.0,0.0,371.0,235.0,94.0,895.0,83.0,621.0,0.0,212.0,0.0,0.0,239.0,0.0,0.7,37.1,15.0,0.0,0.0,0.5,100.0,1250.0,13.4,0.0,647.0,343.0,695.0,480.0,0.06,0.0,1.61,230.0,0.0,0.0,0.0,0.7,37.1,0.0,13.4,0.0,0.3,82.0,599.0,1060.0,395.0,724.0,330.0,157.0,0.05,934.0,402.0,0.01,0.2,0.76,173.0,3.04,389.0,389.0,243.0,0.7
latte concentrato,4.0,11.0,11.0,3.0,0.1,0.09,0.0,2.87,0.31,5.51,0.0,685.0,0.0,0.0,0.0,0.0,1963.0,0.29,0.18,0.13,0.97,0.18,2.43,2.4,0.26,0.75,1.02,69.1,0.0,0.0,267.0,290.0,94.0,250.0,34.0,448.0,0.0,260.0,0.0,0.0,178.0,0.0,8.5,9.4,29.0,0.0,0.0,0.23,100.0,944.0,8.4,0.0,517.0,180.0,361.0,417.0,0.07,1.0,0.9,84.0,0.0,0.0,0.0,8.5,9.4,0.0,8.4,0.0,0.3,360.0,489.0,904.0,206.0,593.0,237.0,127.0,0.02,692.0,303.0,0.07,0.42,0.19,100.0,0.84,150.0,150.0,105.0,8.5
crescione,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.08,0.35,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.23,0.0,0.0,0.06,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,62.0,0.0,3.0,0.0,0.0,49.0,0.0,0.0,0.23,62.0,0.7,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,3.0,2.2,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.06,1.46,2520.0,0.0,28.0,22.0,0.0,0.4
"verdura e legumi, surgelati",0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.03,0.24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,82.1,0.0,0.01,0.0,25.0,0.0,0.0,0.0,0.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.25,100.0,0.0,3.3,0.0,0.0,47.0,0.0,0.0,0.1,10.0,0.5,0.0,0.0,0.0,5.9,3.5,0.0,0.5,0.0,3.3,1.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.3,3048.0,0.0,61.0,53.0,0.0,9.5
mortadella di suino,0.0,4.0,5.0,2.2,2.0,0.0,0.0,12.8,3.94,9.25,0.22,1507.0,0.0,0.0,0.0,0.0,2333.0,0.0,3.47,0.17,0.41,0.0,11.72,5.7,0.6,0.5,3.1,52.3,0.0,0.08,882.0,9.0,159.0,1160.0,70.0,569.0,0.0,180.0,0.0,0.0,1061.0,1.5,0.0,28.1,8.0,0.0,0.05,3.6,100.0,794.0,14.7,0.0,614.0,506.0,467.0,614.0,0.12,0.0,0.8,140.0,0.0,0.04,0.0,1.5,28.1,0.0,14.7,0.0,1.4,130.0,713.0,1207.0,401.0,758.0,464.0,146.0,0.08,1189.0,942.0,0.19,0.26,0.09,0.0,0.0,317.0,317.0,0.0,1.5
uva,0.3,2.0,1.0,1.0,0.0,0.0,8.6,0.0,0.03,0.03,0.0,84.0,0.0,0.0,0.0,0.0,143.0,0.0,0.02,0.01,0.0,0.0,0.0,0.03,0.0,0.05,0.0,80.3,0.0,0.0,51.0,27.0,11.0,0.0,0.0,14.0,1.5,4.0,7.9,0.0,21.0,7.7,0.0,0.1,7.0,0.0,0.1,0.4,94.0,23.0,0.5,0.1,33.0,1.0,12.0,19.0,0.1,6.0,0.12,8.0,0.0,0.0,0.0,15.6,0.0,0.1,0.0,0.5,0.4,192.0,6.0,14.0,23.0,19.0,25.0,3.0,0.27,15.0,29.0,0.03,0.03,0.0,24.0,0.0,64.0,61.0,0.0,15.6
"prosciutto crudo, gambuccio",2.0,4.0,7.0,7.0,0.0,0.6,0.0,10.0,2.76,7.36,0.19,2607.0,0.0,0.0,0.0,0.0,4139.0,0.0,2.22,0.21,0.31,0.0,9.1,4.64,0.64,1.07,2.12,43.6,0.0,0.14,1649.0,18.0,304.0,1980.0,69.0,1053.0,0.0,212.0,0.0,0.0,1222.0,0.0,0.0,22.4,31.0,0.0,0.01,6.0,100.0,1095.0,26.2,0.0,1055.0,2686.0,859.0,1186.0,0.43,0.0,3.0,180.0,0.19,0.0,0.0,0.0,22.4,0.0,26.2,0.0,1.4,545.0,1356.0,2176.0,657.0,1379.0,945.0,275.0,0.19,2257.0,1799.0,0.72,0.24,0.06,0.0,0.0,306.0,306.0,0.0,0.0
coppa o capocollo,5.0,2.0,5.0,7.0,1.0,1.3,0.0,18.12,5.63,13.18,0.42,2013.0,0.0,0.0,0.0,0.0,3170.0,0.0,4.86,0.35,0.55,0.0,16.54,7.88,1.08,0.61,4.74,36.3,0.0,0.0,1266.0,25.0,248.0,51.0,96.0,847.0,0.0,263.0,0.0,0.0,1049.0,1.4,0.0,40.2,23.0,0.0,0.0,6.0,100.0,850.0,20.8,0.0,827.0,1524.0,714.0,940.0,0.11,0.0,3.5,180.0,0.5,0.0,0.0,1.4,40.2,0.0,20.8,0.0,1.0,433.0,1003.0,1709.0,518.0,1099.0,709.0,241.0,0.16,1851.0,1252.0,0.7,0.2,0.03,0.0,0.0,450.0,450.0,0.0,1.4
latte di cocco,2.2,16.0,1.0,6.2,0.0,0.0,0.1,1.01,0.26,21.14,0.0,224.0,0.0,0.0,0.0,0.0,524.0,10.58,0.26,0.0,4.18,0.0,1.01,2.02,0.0,0.18,1.23,67.6,0.0,0.0,376.0,16.0,45.0,92.0,0.0,116.0,2.2,100.0,0.1,0.0,108.0,0.0,0.0,23.8,37.0,0.0,0.92,0.76,100.0,95.0,2.3,3.2,118.0,15.0,71.0,83.0,0.03,3.0,0.67,37.0,0.0,0.0,0.0,3.3,0.0,23.8,0.0,2.3,1.6,263.0,90.0,170.0,43.0,139.0,53.0,27.0,0.27,101.0,117.0,0.03,0.0,0.15,0.0,3.13,240.0,236.0,0.0,3.3
"tamari, salsa di soia",0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.8,130.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.0,100.0,0.0,10.5,0.0,0.0,5586.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.5,4.3,0.0,0.1,0.0,10.5,2.4,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.0,0.0,0.0,62.0,61.0,0.0,4.8
radicchio rosso,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,72.0,0.0,1.4,0.0,0.0,7.0,0.0,0.0,0.07,10.0,0.2,0.0,0.0,0.0,0.0,1.6,0.0,0.1,0.0,1.4,0.3,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.57,0.0,0.0,18.0,12.0,0.0,1.6
cardi,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,94.3,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,1.5,11.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,70.0,0.0,0.6,0.0,0.0,23.0,0.0,0.0,0.04,4.0,0.17,0.0,0.0,0.0,0.2,1.5,0.0,0.1,0.0,0.6,0.2,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.19,0.0,0.0,13.0,10.0,0.0,1.7
"te' deteinato, in tazza",1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,99.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.15,0.0,100.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"capriolo, schinea",0.0,4.0,6.0,10.0,6.3,0.4,0.0,0.45,1.04,0.9,0.27,2240.0,0.0,0.0,0.05,0.0,3787.0,0.0,0.5,0.09,0.0,0.0,0.36,0.54,0.09,0.0,0.36,72.2,0.0,0.13,1564.0,25.0,182.0,40.0,85.0,1079.0,0.0,220.0,0.0,0.0,1091.0,0.6,0.0,3.6,21.0,0.0,20.0,6.4,70.0,1030.0,22.4,0.0,864.0,84.0,841.0,1120.0,0.37,0.0,3.2,320.0,0.0,0.0,0.0,0.6,3.6,0.0,22.4,0.0,3.0,342.0,1142.0,2083.0,412.0,1622.0,826.0,325.0,0.17,1978.0,1479.0,0.22,0.25,0.76,0.0,0.0,124.0,124.0,0.0,0.6
butirro calabro,1.5,7.0,14.0,9.0,1.1,0.35,0.0,10.24,1.17,22.23,0.0,1595.0,0.0,0.0,0.0,0.0,5495.0,0.88,0.7,0.46,3.79,0.28,9.0,10.18,0.96,0.35,4.12,32.7,0.0,0.01,772.0,135.0,121.0,698.0,111.0,1225.0,0.0,418.0,0.0,0.0,436.0,0.0,0.3,37.8,29.0,0.0,0.01,0.42,100.0,2329.0,24.7,0.0,1219.0,202.0,1285.0,779.0,0.05,0.0,3.12,79.0,0.0,0.0,0.0,0.3,37.8,0.0,24.7,0.0,0.2,102.0,1251.0,2158.0,724.0,1584.0,637.0,296.0,0.03,1903.0,733.0,0.01,0.32,1.02,220.0,3.26,440.0,440.0,478.0,0.3
"latte di vacca, intero, in polvere",13.9,46.0,120.0,8.0,2.4,0.24,0.0,7.61,0.83,14.59,0.0,2095.0,0.0,0.0,0.0,0.0,6004.0,0.76,0.48,0.35,2.56,0.48,6.43,6.36,0.69,2.79,2.7,3.2,0.0,0.0,818.0,1050.0,288.0,810.0,109.0,1371.0,0.0,728.0,0.0,0.0,545.0,0.0,42.0,24.9,84.0,0.0,0.0,0.7,100.0,2889.0,25.7,0.0,1581.0,440.0,1106.0,1277.0,0.48,4.0,3.2,240.0,0.0,0.0,0.0,42.0,24.9,0.0,25.7,0.0,0.7,1270.0,1495.0,2765.0,631.0,1815.0,724.0,389.0,0.02,2118.0,927.0,0.24,1.31,0.61,170.0,2.21,484.0,484.0,290.0,42.0
feta,2.4,23.0,29.0,15.0,1.1,0.5,0.0,4.39,0.56,14.19,0.0,855.0,0.0,0.0,0.0,0.0,2658.0,1.1,0.31,0.25,2.62,0.0,3.77,4.89,0.37,0.36,1.41,56.5,0.0,0.0,516.0,360.0,91.0,2350.0,70.0,741.0,0.0,280.0,0.0,0.1,106.0,0.0,1.4,20.2,20.0,0.0,0.0,0.2,100.0,1513.0,15.6,0.0,1283.0,1440.0,733.0,699.0,0.07,0.0,0.9,200.0,0.0,0.0,0.0,1.5,20.2,0.0,15.6,0.0,0.2,95.0,882.0,1531.0,404.0,1169.0,436.0,220.0,0.07,1338.0,702.0,0.04,0.21,0.37,33.0,3.68,250.0,250.0,220.0,1.5
anona o cherimolia,1.1,23.0,0.0,0.6,0.0,0.0,0.4,0.08,0.03,0.03,0.0,493.0,0.0,0.0,0.0,0.0,173.0,0.0,0.03,0.0,0.0,0.0,0.08,0.02,0.0,0.23,0.01,78.2,0.0,0.0,40.0,17.0,7.0,37.0,0.0,47.0,2.2,35.0,5.6,0.0,60.0,5.4,0.0,0.2,34.0,0.0,0.09,0.8,72.0,40.0,1.8,3.9,73.0,4.0,7.0,40.0,0.2,43.0,0.2,6.0,0.0,0.0,1.2,14.9,0.0,0.2,0.0,1.8,0.3,250.0,40.0,93.0,7.0,80.0,33.0,7.0,0.15,87.0,80.0,0.05,0.08,0.27,0.0,0.0,74.0,69.0,0.0,16.1
brandy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,0.0,0.0
arance,1.0,31.0,2.0,1.0,0.0,0.0,0.0,0.04,0.04,0.03,0.0,114.0,0.0,0.0,0.0,0.0,99.0,0.0,0.03,0.01,0.0,0.0,0.03,0.02,0.01,0.37,0.0,87.2,0.0,0.0,52.0,49.0,10.0,3.0,0.0,30.0,1.6,22.0,2.2,0.0,83.0,2.0,0.0,0.2,10.0,0.0,0.0,0.2,80.0,45.0,0.7,3.6,23.0,3.0,17.0,12.0,0.1,50.0,0.2,10.0,0.0,0.0,0.0,7.8,0.0,0.2,0.0,0.7,0.2,200.0,23.0,22.0,12.0,31.0,12.0,6.0,0.07,43.0,51.0,0.06,0.05,0.24,426.0,0.0,37.0,34.0,0.0,7.8
biscotti per l'infanzia,0.0,10.0,0.0,0.0,0.0,2.5,0.0,4.8,0.72,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.03,0.0,0.0,4.8,0.0,0.0,0.0,0.0,5.3,0.0,0.05,0.0,22.0,0.0,0.0,0.0,0.0,0.2,157.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.5,100.0,0.0,13.8,0.0,0.0,410.0,0.0,0.0,0.6,40.0,1.1,0.0,0.0,0.0,40.4,35.7,4.0,4.5,3.5,10.3,0.9,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.46,0.0,0.0,417.0,417.0,0.0,76.1
taleggio,7.6,102.0,46.0,3.0,1.1,0.18,0.0,8.01,0.87,15.36,0.0,1245.0,0.0,0.0,0.0,0.0,4151.0,0.8,0.51,0.36,2.69,0.51,6.77,6.7,0.73,0.36,2.84,51.8,0.0,0.0,667.0,433.0,88.0,1120.0,90.0,901.0,0.0,328.0,0.0,0.0,374.0,0.0,0.9,26.2,22.0,0.0,0.0,1.0,100.0,1742.0,19.0,0.0,894.0,873.0,987.0,632.0,0.13,0.0,2.0,230.0,0.0,0.0,0.0,0.9,26.2,0.0,19.0,0.0,0.1,89.0,955.0,1690.0,566.0,1187.0,535.0,229.0,0.4,1424.0,540.0,0.05,0.22,0.62,46.0,2.33,315.0,315.0,443.0,0.9
sego di bue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34,3.86,48.06,0.0,78.0,0.0,0.0,0.0,0.0,127.0,0.87,2.99,0.58,3.57,0.0,34.74,24.03,4.05,0.0,18.24,2.0,0.0,0.29,52.0,0.0,10.0,4.0,109.0,34.0,0.0,7.0,0.0,0.0,41.0,0.0,0.0,96.5,0.0,0.0,0.0,0.0,100.0,36.0,0.8,0.0,33.0,0.0,29.0,36.0,0.0,1.0,0.0,9.0,0.29,0.0,0.0,0.0,96.5,0.0,0.8,0.0,0.3,0.0,39.0,66.0,21.0,43.0,25.0,9.0,0.08,71.0,48.0,0.0,0.0,2.7,0.0,0.0,872.0,872.0,224.0,0.0
"bovino, vitellone, 15-18 mesi, scamone, senza grasso visibile",1.0,16.0,11.0,3.0,2.0,0.5,0.0,1.2,0.74,1.23,0.1,2076.0,0.0,0.04,0.08,0.09,3649.0,0.0,0.35,0.07,0.08,0.06,0.93,0.64,0.09,0.67,0.45,73.8,0.0,0.1,1284.0,4.0,233.0,39.0,60.0,873.0,0.0,180.0,0.0,0.0,1064.0,0.0,0.0,3.7,16.0,0.0,0.0,4.8,100.0,880.0,21.4,0.0,875.0,40.0,758.0,873.0,0.66,0.0,3.9,210.0,0.0,0.0,0.0,0.0,3.7,0.0,21.4,0.0,1.3,337.0,924.0,1840.0,614.0,1034.0,826.0,240.0,0.05,1947.0,1316.0,0.07,0.2,0.05,0.0,0.0,119.0,119.0,0.0,0.0
olio di oliva extravergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.95,7.52,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.73,0.0,0.0,71.87,10.64,0.79,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.76,0.0,0.0,0.0,99.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,21.42,216.0,0.0,899.0,899.0,0.0,0.0
"uovo di gallina, intero, sodo",16.0,39.0,53.0,5.8,1.1,1.75,0.0,2.58,1.26,3.17,0.16,1209.0,0.0,0.0,0.0,0.0,1508.0,0.0,1.06,0.04,0.03,0.0,2.35,1.9,0.23,1.3,1.21,77.1,0.0,0.0,767.0,48.0,323.0,160.0,371.0,662.0,0.0,210.0,0.0,0.0,416.0,0.0,0.0,8.7,13.0,0.0,0.0,0.1,100.0,496.0,12.4,0.0,842.0,137.0,503.0,623.0,0.12,0.0,1.2,180.0,0.0,0.0,0.0,0.0,8.7,0.0,12.4,0.0,1.5,133.0,657.0,1041.0,437.0,823.0,298.0,197.0,0.06,880.0,719.0,0.07,0.22,1.11,84.0,0.0,128.0,128.0,211.0,0.0
"pollo, fuso (coscia), senza pelle, cotto al forno",3.0,10.0,7.0,16.0,0.0,0.2,0.0,1.58,1.73,1.98,0.46,2852.0,0.0,0.12,0.02,0.0,4243.0,0.0,0.84,0.03,0.14,0.08,1.3,1.11,0.18,1.39,0.69,62.3,0.0,0.27,2057.0,15.0,383.0,75.0,109.0,1277.0,0.0,220.0,0.0,0.0,1387.0,0.0,0.0,6.2,34.0,0.0,0.02,9.2,64.0,1232.0,29.9,0.0,1331.0,128.0,1067.0,1459.0,0.36,0.0,3.1,140.0,0.01,0.0,0.0,0.0,6.2,0.0,29.9,0.0,1.4,406.0,1495.0,2524.0,945.0,1642.0,1038.0,335.0,0.23,2769.0,1773.0,0.07,0.16,0.23,0.0,0.0,175.0,175.0,0.0,0.0
"caffe' solubile, decaffeinato, in polvere",67.0,0.0,0.0,17.3,0.0,0.0,0.0,0.02,0.1,0.1,0.0,456.0,0.0,0.0,0.0,0.0,1937.0,0.0,0.09,0.01,0.0,0.0,0.02,0.08,0.0,0.1,0.02,3.2,0.0,0.0,50.0,140.0,193.0,65.0,0.0,250.0,0.0,286.0,0.0,0.0,421.0,0.0,0.0,0.2,311.0,0.0,1.22,28.1,100.0,335.0,11.6,0.0,121.0,23.0,158.0,136.0,0.0,0.0,0.11,110.0,0.0,0.0,42.6,0.0,0.0,0.2,0.0,11.6,3.8,3501.0,164.0,456.0,22.0,263.0,158.0,28.0,0.07,92.0,320.0,0.0,1.36,0.0,0.0,0.0,208.0,208.0,0.0,42.6
"sgombro, filetti sott'olio",3.9,1.0,41.0,10.6,6.8,2.9,0.0,4.96,2.02,2.31,0.12,3056.0,0.0,0.92,0.53,0.72,4091.0,0.0,0.32,0.14,0.36,0.0,3.28,1.64,0.45,0.49,0.31,59.0,0.0,0.0,1968.0,32.0,0.0,507.0,94.0,1088.0,0.0,280.0,0.0,0.0,1553.0,1.0,0.0,10.7,11.0,0.0,0.08,6.0,88.0,388.0,25.3,0.0,1165.0,224.0,906.0,1476.0,0.12,0.0,0.5,203.0,0.52,0.0,0.0,1.0,8.1,2.6,25.3,0.0,0.9,92.0,1424.0,2434.0,700.0,2020.0,1165.0,0.0,0.04,2046.0,1994.0,0.15,0.22,1.06,1.0,0.0,201.0,201.0,124.0,1.0
"capriolo, coscia",0.0,4.0,6.0,9.0,6.3,0.4,0.0,0.2,0.46,0.4,0.12,2220.0,0.0,0.0,0.02,0.0,3753.0,0.0,0.22,0.04,0.0,0.0,0.16,0.24,0.04,0.0,0.16,74.4,0.0,0.06,1550.0,5.0,181.0,64.0,50.0,1070.0,0.0,210.0,0.0,0.0,1081.0,0.0,0.0,1.6,25.0,0.0,0.03,6.4,100.0,1021.0,22.2,0.0,856.0,55.0,833.0,1110.0,0.37,0.0,2.4,320.0,0.0,0.0,0.0,0.0,1.6,0.0,22.2,0.0,3.3,340.0,1132.0,2065.0,408.0,1608.0,818.0,322.0,0.21,1960.0,1466.0,0.22,0.25,0.2,0.0,0.0,103.0,103.0,0.0,0.0
"panna, 20% di lipidi (da cucina)",1.8,7.0,3.0,0.0,0.3,0.14,0.0,6.2,0.54,11.64,0.0,228.0,0.0,0.0,0.0,0.0,654.0,0.64,0.26,0.28,2.07,0.26,5.12,4.79,0.49,0.28,2.07,72.0,0.0,0.0,89.0,87.0,31.0,80.0,66.0,149.0,0.0,59.0,0.0,0.0,59.0,0.0,3.9,20.0,9.0,0.0,0.0,0.1,100.0,315.0,2.8,0.0,172.0,34.0,120.0,139.0,0.05,1.0,0.5,24.0,0.0,0.0,0.0,3.9,20.0,0.0,2.8,0.0,0.1,91.0,163.0,301.0,69.0,198.0,79.0,42.0,0.0,231.0,101.0,0.03,0.14,0.4,110.0,1.69,206.0,206.0,200.0,3.9
"struzzo, senza grasso visibile",1.0,8.0,6.0,34.0,4.9,0.3,0.0,0.29,0.27,0.28,0.05,1955.0,0.0,0.0,0.01,0.0,3203.0,0.0,0.15,0.05,0.0,0.0,0.03,0.16,0.0,1.15,0.12,76.1,0.0,0.01,1430.0,6.0,214.0,39.0,57.0,862.0,0.0,204.0,0.0,0.0,1397.0,0.0,0.0,0.9,21.0,0.0,0.02,4.67,100.0,1089.0,20.9,0.0,836.0,83.0,680.0,916.0,0.51,0.0,3.59,160.0,0.26,0.0,0.0,0.0,0.9,0.0,20.9,0.0,3.9,297.0,993.0,1698.0,584.0,1032.0,525.0,186.0,0.13,1846.0,1341.0,0.19,0.28,0.2,0.0,0.0,92.0,92.0,0.0,0.0
"mandorle dolci, secche",64.0,48.0,2.0,1.5,0.0,0.0,0.0,39.44,10.85,4.59,0.0,2453.0,0.0,0.0,0.0,0.0,5377.0,0.0,10.54,0.3,0.05,0.0,39.06,3.48,0.38,0.44,0.94,5.1,0.0,0.01,2171.0,240.0,290.0,18.0,0.0,1063.0,12.7,550.0,0.0,0.0,1263.0,0.0,0.0,55.3,264.0,0.0,1.7,3.0,24.0,1058.0,22.0,3.7,1047.0,14.0,618.0,565.0,0.15,0.0,2.5,150.0,0.0,0.11,0.9,3.7,0.0,55.3,0.0,22.0,3.0,780.0,843.0,1450.0,194.0,1041.0,647.0,394.0,0.92,484.0,913.0,0.23,0.4,26.0,6.0,0.0,628.0,603.0,0.0,4.6
brodo di dado,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,98.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,100.0,0.0,0.3,0.0,0.0,366.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.3,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,5.0,5.0,0.0,0.1
