,acidi grassi saturi totali | g,acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,biotina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0÷c10:0 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",carboidrati disponibili | g,carboidrati | %,cistina | g,cloro | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,folati totali | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,ß-carotene equivalente | g
"stoccafisso, ammollato",0.13,0.0,0.0,2.265,0.0,0.26,0.13,0.0,0.0,0.0,,3.35,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.00027,0.0,76.1,1.4140000000000001,0.0,0.0,0.0,0.0,1.3969999999999998,1e-06,,,,,,,,,,,,,,,,,0.0,0.009000000000000001,92.0,92.0,0.3,1.0,0.248,0.076,0.05,1.072,0.0006,0.0,0.0,0.0,1.2e-05,0.163,0.0,0.0,0.99,0.3,,0.00011,0.9940000000000001,0.623,0.0,1.807,0.9,0.9,0.0,9.0,2.161,0.022000000000000002,0.0,1e-05,0.716,0.13,0.001,85.0,0.39,0.34,0.8300000000000001,20.7,20.7,0.0,90.0,2e-05,,8e-05,0.0,,2.8000000000000013e-05,1.057,0.051,0.0,1e-05,0.8300000000000001,1.0959999999999999,0.237,1.1079999999999999,0.0,1e-06,0.00017999999999999998,0.0,0.0,0.00044,0.0,0.0004,0.2,0.3,0.0
"maiale, pesante, spalla",2.97,0.0,0.18,1.953,0.0,0.0,0.02,0.09,0.0,0.0,,2.81,0.06,1.33,0.1,0.11,0.0,3.29,1.77,0.16,0.0014199999999999998,1.0,70.6,1.129,0.0,0.0,0.0,0.0,1.18,2e-06,0.06,0.11,0.0,1.77,0.16,1.0,3.29,1.33,0.1,0.0,0.09,0.18,0.02,0.0,0.0,0.0,0.0,0.006,156.0,156.0,0.0,0.0,0.21600000000000005,0.051,0.083,0.711,0.0012,0.0,0.0,0.0,1e-06,0.15,0.0,0.0,0.961,0.0,,5e-06,1.0,0.649,0.0,1.5590000000000002,8.9,8.9,0.0,51.0,1.608,0.017,0.0,0.0,0.499,3.54,0.003,94.0,1.63,0.185,0.7909999999999999,19.0,19.0,0.0,49.0,0.00015,0.5,0.00033999999999999997,0.0,2.97,1.4000000000000001e-05,0.77,0.073,0.0,0.00026000000000000003,0.638,0.81,0.183,1.11,6e-06,1e-06,0.00054,0.0,6e-07,5e-05,0.0,0.0018000000000000004,0.16,0.0,0.0
germe di grano,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.45,0.75,0.0,0.0,1.37,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.01,0.04,1.66,1.41,5.38,0.68,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,439.0,408.0,55.0,51.0,0.0,0.0,0.0,0.0,0.01,,,15.6,0.000331,1.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,22.0,0.0,0.1275,0.0,0.0,0.0,1.43,0.006200000000000001,100.0,6.13,0.8270000000000001,0.0,0.0,28.0,28.0,27.0,0.000475,3.5,0.00061,0.0,1.73,1.95e-06,0.0,0.003,0.0,0.00244,0.0,0.0,0.0,0.0,5e-06,0.0,0.0033,0.0,0.0,0.019000000000000003,0.0,0.00911,0.0,19.7,0.00144
albicocche,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,,0.045,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.0,0.00023999999999999998,0.0,86.3,0.019,0.0,0.0,0.0,0.0,0.013,2e-07,,,,,,,,,,,,,,,,,0.0,0.016,31.0,28.0,6.8,91.0,0.001,0.003,0.0,0.015,0.0005,0.83,0.71,1.5,5e-06,0.016,0.9,0.0,0.011000000000000001,1.5,,1e-06,0.012,0.008,0.0,0.022000000000000002,0.0,0.1,0.1,3.0,0.027999999999999997,0.011000000000000001,0.0,0.0001,0.002,0.04,0.0005,94.0,0.02,0.32,0.028999999999999998,0.0,0.4,0.4,6.0,0.00011999999999999999,,2.9999999999999997e-05,4.3,,1e-06,0.024,0.001,0.0,2.9999999999999997e-05,0.008,0.013,0.004,0.013,0.00018,0.0,8e-05,0.013,0.0,0.0008900000000000002,3.3e-06,0.0001,0.006,6.8,0.00216
carpa,1.37,0.0,0.19,1.936,0.0,0.14,0.3,0.09,0.51,0.0,,2.822,0.0,0.66,0.34,0.14,0.0,1.46,0.84,0.84,0.00017999999999999998,0.24,72.4,1.143,0.0,0.0,0.18,0.0,1.131,3e-06,,,,,,,,,,,,,,,,,0.0,0.034,140.0,140.0,0.0,0.0,0.20199999999999999,0.045,0.07,0.738,0.001,0.0,0.0,0.0,1.7e-05,0.22,0.0,0.0,0.907,0.0,,1.3000000000000001e-05,0.871,0.557,0.0,1.536,7.1,7.1,0.0,46.0,1.736,0.044000000000000004,0.0,5e-05,0.56,2.95,0.0015,50.0,1.81,0.28600000000000003,0.669,18.9,18.9,0.0,54.0,7.000000000000001e-05,,4e-05,0.0,,3.4e-05,0.772,0.05,0.0,7.000000000000001e-05,0.638,0.8290000000000001,0.212,0.9740000000000001,4.4e-05,2e-06,0.00022,0.001,1.0599999999999997e-05,0.00093,0.0,0.0017,0.22,0.0,0.0
camembert,14.91,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,,4.42,0.43,0.44,0.27,2.62,0.0,5.62,7.06,0.86,0.00036,2.47,50.7,0.865,0.0,0.0,0.0,0.0,0.74,7.599999999999997e-06,,,,,,,,,,,,,,,,,0.0,0.35000000000000003,297.0,297.0,0.0,0.0,0.115,1.12,0.0765,1.166,0.0002,0.0,0.0,0.0,0.000102,0.31,0.0,0.0,0.4,0.0,,4.6e-05,1.022,0.721,0.0,1.942,23.7,23.7,0.0,72.0,1.864,0.021,0.0,0.0,0.596,6.86,0.001,100.0,0.71,0.1,2.476,20.9,20.9,0.0,28.0,7.000000000000001e-05,,0.0005200000000000001,0.0,,3e-06,1.176,0.65,1.59,5e-05,1.209,0.757,0.324,1.35,0.0002565,1.1e-06,0.00022,0.0,1.8e-07,0.0006500000000000001,0.0,0.0027,0.23,0.0,0.000315
mandarini,0.04,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.068,0.0,0.05,0.02,0.0,0.0,0.05,0.03,0.01,0.0002,0.0,81.4,0.031,0.0,0.0,0.0,0.0,0.076,5e-07,,,,,,,,,,,,,,,,,0.0,0.032,76.0,72.0,17.6,91.0,0.002,0.002,0.0,0.02,0.0003,1.03,0.67,1.7,1.8e-05,0.019,3.4,0.0,0.021,3.0,,0.0,0.019,0.012,0.0,0.031,0.0,0.3,0.3,4.0,0.036000000000000004,0.01,0.0,0.0,0.002,0.06,0.0003,80.0,0.06,0.21,0.08199999999999999,0.0,0.9,0.9,5.0,8.999999999999999e-05,,7.000000000000001e-05,11.3,,1e-07,0.037000000000000005,0.001,0.0,8e-05,0.017,0.018000000000000002,0.002,0.023,9e-06,0.0,7.000000000000001e-05,0.042,0.0,0.0002,0.0,0.0001,0.01,17.6,0.00010800000000000001
salame cacciatore,10.8,0.0,0.29,2.741,0.0,0.0,0.0,0.35,0.0,0.0,4.287,4.287,0.0,4.17,0.21,0.58,0.0,14.91,6.72,1.0,0.0016600000000000002,3.41,30.6,1.6680000000000001,0.0,0.0,0.23,0.0,1.7480000000000002,7.000000000000003e-06,0.0,0.58,0.0,6.72,1.0,3.41,14.91,4.17,0.21,0.0,0.35,0.29,0.0,0.0,0.0,0.0,0.0,0.043,424.0,424.5,1.2,1.0,0.33899999999999997,3.27,0.099,1.189,0.0017,0.0,0.0,0.0,3e-06,0.35600000000000004,0.0,0.0,1.571,1.2,0.094,1.5e-05,1.355,0.978,0.0,1.29,34.0,34.0,0.0,72.0,2.384,0.034,0.0,4e-05,0.7040000000000001,16.33,0.0025,100.0,4.9,0.435,1.358,28.5,28.5,0.0,27.0,0.00016999999999999999,0.5,0.00016,0.0,10.8,3.05e-06,1.178,1.4980000000000002,0.0,0.00028000000000000003,0.995,1.2830000000000001,0.294,1.526,0.0,2e-06,0.00036,0.0,9.000000000000002e-07,0.00022999999999999998,0.0,0.0036000000000000008,0.193,1.2,0.0
"trota, surgelata, cotta al forno",0.48,0.0,0.02,2.089,0.0,0.39,0.11,0.04,0.05,0.0,,3.045,0.0,0.16,0.0,0.06,0.0,0.4,0.34,0.12,0.00224,0.08,74.1,1.2329999999999999,0.0,0.0,0.06,0.0,1.22,3e-06,0.0,0.06,0.0,0.34,0.12,0.08,0.4,0.16,0.0,0.0,0.04,0.02,0.11,0.0,0.05,0.39,0.0,0.017,105.0,105.0,0.0,0.0,0.218,0.065,0.06,0.797,0.0023,0.0,0.0,0.0,1.5e-05,0.25,0.0,0.0,0.9790000000000001,0.0,,1.5e-05,0.94,0.601,0.0,1.658,2.6,2.6,0.0,22.0,1.874,0.027999999999999997,0.0,0.00109,0.604,0.61,0.00577,55.0,0.74,0.53,0.722,20.4,20.4,0.0,78.0,0.00023999999999999998,1.5,0.00042,0.0,0.48,1.6e-05,0.8320000000000001,0.048,0.0,0.00043,0.6890000000000001,0.894,0.228,1.051,0.0,7.4999999999999985e-06,0.00022999999999999998,0.0,1.1e-05,0.00101,0.0,0.00138,0.21,0.0,0.0
"nocciole, secche",4.16,0.09,0.0,1.651,0.0,0.0,0.0,0.03,0.0,0.0,3.1460000000000004,3.1460000000000004,0.0,5.09,0.11,0.74,0.0,38.46,2.45,0.13,0.00151,0.88,4.5,0.579,0.0,0.0,0.0,1.9,2.0420000000000003,7.599999999999999e-05,0.0,0.74,0.0,2.45,0.13,0.88,38.46,5.09,0.11,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.15,671.0,655.0,6.1,4.0,0.278,0.018000000000000002,0.0,0.595,0.0033,,,8.1,7.2e-05,0.322,0.1,0.0,0.556,0.2,0.051,1.7e-05,0.514,0.29600000000000004,0.0,0.93,0.0,64.1,64.1,88.0,0.408,0.16,0.0,0.004900000000000001,0.206,38.61,0.0028,42.0,5.2,0.466,0.513,0.0,13.8,13.8,8.0,0.0013000000000000002,1.3,0.0001,3.8,4.16,2e-06,0.612,0.011000000000000001,0.0,0.0005099999999999999,0.397,0.524,0.125,0.659,1.5e-05,0.0,0.00059,0.004,0.0,0.01999,1.4199999999999994e-05,0.002,0.12,4.1,0.00017999999999999998
aranciata in lattina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,38.0,38.0,10.0,99.0,0.0,0.003,0.0,0.0,0.0003,0.0,0.0,0.0,1e-06,0.005,2.0,0.0,0.0,2.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.018000000000000002,0.0,0.0,0.1,0.1,1.0,2e-05,,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0002,0.003,10.0,9.4e-05
"bovino, cuore",2.11,0.01,0.2,1.435,0.0,0.0,0.0,0.02,0.0,0.0,2.301,2.301,0.0,0.6,0.02,0.1,0.01,1.61,0.95,0.09,0.0024,0.95,75.5,1.19,0.0,0.0,0.01,0.0,1.1059999999999999,2e-06,,,,,,,,,,,,,,,,,0.0,0.009000000000000001,123.0,123.0,0.5,1.0,0.17500000000000002,0.044000000000000004,0.15,0.81,0.0046,0.0,0.0,0.0,4e-06,0.203,0.0,0.0,0.893,0.5,0.1,3e-05,0.857,0.4320000000000001,0.0,1.557,6.0,6.0,0.0,44.0,1.486,0.022000000000000002,0.0,4e-05,0.39899999999999997,1.73,0.008199999999999999,100.0,0.83,0.32,0.0,16.8,16.8,0.0,55.0,0.00037,,0.0008900000000000002,0.0,,3e-06,0.8230000000000001,0.095,0.0,0.00058,0.605,0.805,0.213,0.9940000000000001,3e-06,1.3000000000000001e-05,0.00022999999999999998,0.006,1e-06,0.0007700000000000001,0.0,0.0018000000000000004,0.13,0.5,0.0
"pollo, fuso (coscia), con pelle, cotto al forno",2.53,0.0,0.52,3.02,0.0,0.13,0.04,0.05,0.0,0.0,,4.452,0.0,1.09,0.06,0.1,0.02,2.0,1.57,0.33,0.00121,0.84,58.7,1.8969999999999998,0.0,0.0,0.37,0.0,2.147,3e-06,,,,,,,,,,,,,,,,,0.0,0.008,201.0,201.0,0.0,0.0,0.368,0.085,0.091,1.267,0.0012,0.0,0.0,0.0,1.1e-05,0.18,0.0,0.0,1.719,0.0,,7.000000000000003e-06,1.541,1.026,0.0,2.487,8.5,8.5,0.0,38.0,2.799,0.033,0.0,1e-05,0.952,2.43,0.005,62.0,2.22,0.413,1.351,31.2,31.2,0.0,62.0,0.00015,,0.00028000000000000003,0.0,,1.6e-05,1.3730000000000002,0.136,0.0,7.000000000000001e-05,1.051,1.435,0.34900000000000003,1.675,0.0,1e-06,0.0004,0.0,2e-07,0.00022999999999999998,0.0,0.003315,0.14,0.0,0.0
