name,"acidi grassi, trans | g","acidi grassi, trans-monoenoici | g","acidi grassi, trans-polienoico | g",acqua | g,ceneri | g,destrosio | g,fibre | g,fruttosio | g,galattosio | g,grassi | g,idrossiprolina | g,zuccheri | g,c4:1 | g,c5:1 | g,c6:1 c | g,c6:1 t | g,c7:1 | g,c8:1 c | g,c8:1 t | g,c0:1 | g,c2:1 c | g,c2:1 t | g,c4:1 c | g,c0:5 n-3 | g,c1:5 | g,c2:5 n-3 | g,c8:2 clas | g,c8:2 i | g,"c8:2 n-6 c,c | g",c8:2 t not further defined | g,"c8:2 t,t | g","c8:3 n-3 c,c,c | g","c8:3 n-6 c,c,c | g",c8:3i | g,c8:4 | g,"c0:2 n-6 c,c | g",c0:3 n-3 | g,c0:3 n-6 | g,c2:4 | g,c4:0 | g,c6:0 | g,c8:0 | g,c0:0 | g,c2:0 | g,c3:0 | g,c5:0 | g,c7:0 | g,c2:6 n-3 | g,c6:1 not further defined | g,c8:1 not further defined | g,c2:1 not further defined | g,c8:2 not further defined | g,c8:3 not further defined | g,c0:3 not further defined | g,c0:4 not further defined | g,acidi grassi monoinsaturi totali | g,acidi grassi saturi totali | g,acidi grassi polinsaturi totali | g,proteine totali | g,lattosio (mse) | g,maltosio (mse) | g,saccarosio (mse) | g,"calorie, ricalcolata | kcal",carboidrati disponibili | g,amido | g,prolina | g,isoleucina | g,leucina | g,metionina | g,valina | g,istidina | g,triptofano | g,lisina | g,glicina | g,alanina | g,arginina | g,treonina | g,tirosina | g,acido aspartico | g,fenilalanina | g,serina | g,cistina | g,acido folico (vit. b9 o m o folacina) | g,alpha-tocoferolo (vit. e) | g,beta-sistosterolo | g,betaina | g,calcio | g,campesterolo | g,"carotene, alfa | g",colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fitosteroli | g,fluoro | g,folato alimentare | g,fosforo | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,potassio | g,rame | g,selenio | g,sodio | g,stigmasterolo | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g",vitamina d2 | g,vitamina d3 | g,"vitamina e, aggiunta | g",zinco | g,folati totali | g,acido pantotenico | g,vitamina k | g,vitamina b12 | g,vitamina b6 | g,niacina | g,vitamina c | g,vitamina d | g,colecalcifenolo (vit. d) | g,ß-carotene equivalente | g,retinolo equivalente | g,vitamina a retinolo eq. | g,riboflavina | g,tiamina | g,acido glutamico | g
pane irlandese con bicarbonato di sodio,,,,30.1,1.9,,2.6,,,5.0,,,,,,,,,,0.001,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.008,0.005,0.003,0.006,0.006999999999999999,,,,0.002,0.018000000000000002,1.976,0.0,1.396,0.07400000000000001,,0.006,1.999,1.111,1.4780000000000002,6.6,,,,289.91,56.0,,0.597,0.234,0.436,0.138,0.2830000000000001,0.159,0.07200000000000002,0.219,0.188,0.226,0.29,0.201,0.201,0.39,0.3,0.29600000000000004,0.122,3.7e-05,,,,0.081,,,0.018000000000000002,,,0.00269,0.013000000000000001,,1e-05,0.114,,,0.023,0.000355,0.266,0.00013000000000000002,1.6e-05,0.398,,,,,,,,,0.00057,4.7e-05,0.00025,,5e-08,8.300000000000001e-05,0.002405,0.0008,,,,4.5e-05,5.820000000000001e-05,0.000269,0.000298,1.825
granarolo - centrale del latte milano yogurt - yogurt centrale del latte di milano banana,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0999999046325697,,,,107.0,15.1000003814697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gelato confezionato- fior di latte, in vaschetta",,,,59.8,0.9,,0.7,,,13.0,,21.16,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.39,0.23,0.13,0.3,0.34,,,,0.0,0.27,3.22,0.0,0.28,0.18,,0.0,3.49,7.48,0.45,4.1,,,,222.28,22.2,,0.374,0.215,0.353,0.091,0.241,0.099,0.048,0.29600000000000004,0.163,0.16399999999999998,0.172,0.16899999999999998,0.17,0.3,0.17600000000000005,0.21600000000000008,0.03600000000000001,0.0,0.00061,,,0.131,,5e-06,0.091,0.026000000000000002,5e-06,0.00021,,,9e-06,0.116,0.0,0.00015099999999999998,0.012,5e-06,0.177,3e-05,3e-06,0.061,,,,,0.0,,7e-07,0.0,0.0005200000000000001,9e-06,0.0005059999999999999,9.000000000000002e-07,5e-07,4.8e-05,9.5e-05,0.0008,7e-07,7.25e-07,2.9999999999999997e-05,0.00015900000000000002,0.00017669999999999999,0.000182,4.900000000000001e-05,0.745
granarolo - centrale del latte milano latte e panna - latte parzialmente scremato uht,,,,,,,,,,1.60000002384186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0999999046325697,,,,47.0,4.9499998092651385,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle - baby pappa lattea biscottata,,,,,,,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,416.0,66.5,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,0.0075,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
"fianchetto di manzo, crudo",,,,69.46,1.02,,0.0,,,8.29,0.223,0.0,,,,,,,,0.008,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.016,0.016,,,,0.0,0.34299999999999997,3.029,0.0,0.195,0.094,,0.031,3.38,3.443,0.32,21.22,,,,165.39,0.0,,1.011,0.965,1.6880000000000002,0.552,1.052,0.677,0.139,1.793,1.2919999999999998,1.29,1.372,0.847,0.6759999999999999,1.932,0.838,0.836,0.274,0.0,0.00033,,0.013000000000000001,0.027000000000000003,,0.0,0.068,0.0886,0.0,0.0015500000000000002,,2.24e-05,1.2e-05,0.193,0.0,0.0,0.022,1.3000000000000001e-05,0.33,7.099999999999999e-05,2.33e-05,0.054000000000000006,,0.0,0.0,0.0,0.0,,1e-07,0.0,0.00381,1.2e-05,0.0006190000000000001,1.3e-06,1.18e-06,0.0005710000000000001,0.006842000000000001,0.0,1e-07,1e-07,0.0,0.0,0.0,8.999999999999999e-05,5.5999999999999986e-05,3.185
"cavallo, carne cruda",,,,72.63,0.99,,0.0,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.31,1.3,,0.29,0.36,,,1.61,1.44,0.65,21.39,,,,132.89,0.0,,0.994,1.014,1.696,0.473,1.108,0.8220000000000002,0.265,1.823,1.033,1.228,1.401,0.9590000000000001,0.67,2.104,0.879,0.8170000000000002,0.299,,,,,0.006,,,0.052000000000000005,,,0.003820000000000001,,,,0.221,,,0.024,1.9e-05,0.36,0.00014400000000000006,1.01e-05,0.053,,,,,,,,,0.0029,,,,3e-06,0.00038,0.0046,0.001,,,,0.0,0.0,0.0001,0.00013000000000000002,3.116
granarolo - centrale del latte milano latte e panna - panna uht da cucina,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4000000953674303,,,,222.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"muffin, mcdonald's",0.331,,,36.26,2.25,0.65,2.6,0.56,0.0,7.87,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.936,1.554,4.092,9.26,0.0,1.3,0.07,285.37,44.36,,,,,,,,,,,,,,,,,,,,0.00044,,,0.292,,,0.0,,,0.00319,,,,0.12,,,0.023,0.0004570000000000001,0.128,0.000123,,0.485,,,,,,,,,0.0008100000000000001,0.000127,0.000453,,0.0,7.400000000000001e-05,0.004654,0.0,,,,,6.78e-05,0.000333,0.0004440000000000001,
granarolo più giorni - latte granarolo più giorni intero,,,,,,,,,,3.5999999046325697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1500000953674303,,,,48.0,4.980000019073491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
