name,acido aspartico | g,acido fitico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,amido | g,aminoacido limitante,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,calcio | g,carboidrati disponibili | g,categoria,cistina | g,codice alimento,colesterolo | g,energia | kj,energia | kcal,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,indice chimico,isoleucina | g,istidina | g,leucina | g,lipidi | g,lisina | g,magnesio | g,metionina | g,niacina | g,nome scientifico,potassio | g,prolina | g,proteine | g,rame | g,rapporto polinsaturi/saturi,riboflavina | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
cocomero,,0.0,,95.3,,0.0,0.0,,,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,3.7,Frutta,,7040.0,0.0,65.0,16.0,,0.0002,0.2,0.02,0.2,0.002,,,,,,0.05,,,,0.0001,Cocos nucifera,0.28,,0.4,,1.0,2e-05,,,0.003,2e-05,,,,,3.7e-05,0.008,,,3.7
"patate, cotte, fritte",,,,55.5,,0.0,26.6,,,,,,,,,,,,,,,,,,,0.011,29.9,Verdure e Ortaggi,,6517.0,0.0,787.0,188.0,,0.0008,,,2.2,0.062,,,,,,6.7,,,,0.0007,Solanum tuberosum,0.66,,3.9,,,2e-05,,,0.012,0.00024,,,,,5e-08,0.009000000000000001,,,0.6
peperoncini piccanti,,,,87.8,,0.0,2.1,,,,,,,,,,,,,,,,,,,0.018000000000000002,3.8,Verdure e Ortaggi,,6830.0,0.0,109.0,26.0,,0.0005,,,,0.018000000000000002,,,,,,0.5,,,,0.003,Caspicum annuum (frutescens),0.23,,1.8,,,0.00023,,,0.007,8.999999999999999e-05,,,,,0.000824,0.229,,,1.5
"coratella di vitello  [cuore, polmoni, fegato, milza, reni]",,0.0,,78.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.8,Frattaglie,,115130.0,,419.0,100.0,,,0.0,0.0,0.0,,,,,,,3.2,,,,,Bos taurus,,,17.1,,,,,,,,,,,,,,,,0.8
cocco,,1.38,,50.9,,0.0,0.0,,,16.18,5.36,0.0,3.05,0.14,0.81,2.24,0.61,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,9.4,Frutta,,7520.0,0.0,1524.0,364.0,,0.0017,,,,0.095,,,,,,35.0,,0.046,,0.0005,Cocos nucifera,0.256,,3.5,0.00032,0.0,2e-05,8e-07,,0.023,5e-05,,,,,0.0,0.003,,0.0005,9.4
"pollo, fuso con pelle crudo",1.772,0.0,2.708,74.9,1.1280000000000001,0.0,0.0,Trip.,1.242,0.0,0.01,0.03,0.99,0.18,0.6,1.36,0.79,0.03,0.0,0.02,0.38,0.03,0.0,0.0,0.11,0.008,0.0,Carni Fresche,0.226,106400.0,0.094,523.0,125.0,0.727,0.0007,0.0,0.0,0.0,,0.994,95.0,0.926,0.532,1.476,5.7,1.617,0.021,0.537,,Gallus gallus,0.28800000000000003,0.8150000000000001,18.4,8.999999999999999e-05,1.0,,,0.8320000000000001,0.08700000000000001,,0.591,0.878,0.193,0.988,5e-08,0.0,,0.00174,0.0
"prosciutto crudo, disossato, magro [privato del grasso visibile]",,0.0,,57.8,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.016,0.0,Carni Trasformate e Conservate,,110550.0,,664.0,159.0,,0.0013000000000000002,0.0,0.0,0.0,0.19,,,,,,4.6,,,,0.006500000000000001,,0.495,,29.3,,,0.0002,,,2.44,0.00058,,,,,5e-08,0.0,,,0.0
"tacchino, fesa cruda",2.4170000000000003,0.0,3.511,73.9,1.512,0.0,0.0,Trip.,1.536,0.0,0.03,0.01,0.21,0.03,0.13,0.25,0.19,0.01,0.0,0.0,0.07,,0.0,0.0,0.03,0.008,0.0,Carni Fresche,0.28300000000000003,106850.0,0.05,447.0,107.0,0.97,0.0008,0.0,0.0,0.0,0.2,1.03,100.0,1.21,0.922,2.0020000000000002,1.2,2.254,0.032,0.6980000000000001,0.0067,Meleagris gallopavo,0.382,0.893,24.0,7.000000000000001e-05,0.9,0.0002,7e-06,1.068,0.052000000000000005,0.0001,0.8140000000000001,1.202,0.28600000000000003,1.416,5e-08,0.0,,0.0011,0.0
maionese,,0.0,,15.0,,0.0,0.0,,,0.0,0.0,0.0,5.18,0.14,0.21,13.72,40.88,5.18,0.07,0.14,0.0,0.0,0.0,0.14,0.0,0.018000000000000002,2.1,Prodotti Vari,,502760.0,0.07,2741.0,655.0,,0.0005,0.0,0.0,0.0,0.028,,,,,,70.0,,,,5e-05,,,,4.3,,6.6,4e-05,,,,2e-05,,,,,8.4e-05,5e-05,,,2.1
zucchine crude,0.132,,0.159,93.6,0.083,0.0,0.1,Treo.,0.095,,,,,,,,,,,,,,,,,0.021,1.4,Verdure e Ortaggi,0.012,5730.0,0.0,47.0,11.0,0.081,0.0005,,,1.2,0.065,0.077,77.0,0.07100000000000001,0.029,0.13,0.1,0.083,,0.026000000000000002,0.0007,Cucurbita pepo,0.264,0.059000000000000004,1.3,,,0.00012,,0.059000000000000004,0.022,8e-05,0.064,0.066,0.017,0.081,6e-06,0.011,,,1.3
