name,acido aspartico | g,acido fitico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,amido | g,aminoacido limitante,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,calcio | g,carboidrati disponibili | g,categoria,cistina | g,codice alimento,colesterolo | g,energia | kj,energia | kcal,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,indice chimico,isoleucina | g,istidina | g,leucina | g,lipidi | g,lisina | g,magnesio | g,metionina | g,niacina | g,nome scientifico,potassio | g,prolina | g,proteine | g,rame | g,rapporto polinsaturi/saturi,riboflavina | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
lattuga a cappuccio,,,,92.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.053,3.0,Verdure e Ortaggi,,5420.0,0.0,80.0,19.0,,0.0012,1.11,0.18,1.3,0.025,,,,,,0.2,,,,0.0003,Lactuca sativa L.,,,1.5,,,0.00017999999999999998,,,,8e-05,,,,,0.000237,0.027,,,3.0
emmenthal,,0.0,,34.6,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.145,3.6,Formaggi e latticini,,161610.0,,1686.0,403.0,,0.0003,0.0,0.0,0.0,0.7000000000000001,,,,,,30.6,,,,0.0001,,0.107,,28.5,,,0.00045000000000000004,,,0.45,1e-05,,,,,0.000343,0.001,,,3.6
"topinambur, cotto [bollito in acqua distillata senza aggiunta di sale]",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Verdure e Ortaggi,,6596.0,0.0,,,,,2.01,0.66,2.7,,,,,,,,,,,,Brassica rapa cv. rapifera,,,,,,,,,,,,,,,,,,,
"fichi, secchi",,0.4,,19.4,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.186,58.0,Frutta,,7070.0,0.0,1070.0,256.0,,0.003,11.01,1.94,13.0,0.111,,,,,,2.7,,,,0.0006,Ficus carica,1.01,,3.5,,,0.0001,,,0.08700000000000001,0.00014000000000000001,,,,,8e-06,0.0,,,58.0
"bieta, cotta [in forno a microonde senza aggiunta di acqua e di sale]",,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,Verdure e Ortaggi,,5084.0,0.0,,,,,,,,,,,,,,,,0.08,,,"Beta vulgaris, cv. Cicla",,,,0.00025,,,5e-08,,,,,,,,,0.022,,0.00176,
"spinaci, cotti [in forno a microonde senza aggiunta di acqua e di sale]",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Verdure e Ortaggi,,5704.0,0.0,,,,,,,,,,,,,,,,0.08,,,Spinacia oleracea,,,,0.00015,,,1e-06,,,,,,,,,,,0.00143,
bastoncini di crusca di frumento,,3.5,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Cereali e Derivati,,3000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
"fagiolini a corallo, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Legumi,,4305.0,0.0,,,,,2.14,0.71,2.9,,,,,,,,,,,,Phaseolus vulgaris,,,,,,,,,,,,,,,,0.0,,,
torrone alla mandorla,,,,6.9,,0.0,0.05,,,,,,,,,,,,,,,,,,,0.08,52.0,Dolci,,202800.0,,2006.0,479.0,,0.0035,,,1.9,,,,,,,26.8,,,,,,,,10.8,,,,,,,,,,,,,,,,52.0
fave secche sgusciate crude,,,,11.3,,0.0,45.4,,,0.0,0.0,0.0,0.4,0.0,0.06,0.6,1.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,54.8,Legumi,,4420.0,0.0,1428.0,341.0,,0.005,,,7.0,0.42,,,,,,3.0,,,,0.0026000000000000003,Vicia faba,,,27.2,,2.5,0.00028000000000000003,,,,0.0005,,,,,9.999999999999999e-06,0.004,,,4.9
"latte di vacca, evaporato non zuccherato",,0.0,,74.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.24,8.6,Latte e Yogurt,,135520.0,0.031,561.0,134.0,,0.0001,0.0,0.0,0.0,0.2,,,,,,8.2,,,,0.0002,,0.323,,7.0,,,0.00035,,,0.15,6e-05,,,,,9.6e-05,0.001,,,8.6
riso brillato crudo,0.657,,1.354,12.0,0.401,0.0,72.9,Lis.,0.543,0.0,0.0,0.0,0.09,0.0,0.01,0.13,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,80.4,Cereali e Derivati,0.108,100.0,0.0,1389.0,332.0,0.36,0.0008,0.89,0.08,1.0,0.094,0.31,66.0,0.306,0.165,0.59,0.4,0.257,0.02,0.149,0.0013000000000000002,Oryza sativa,0.092,0.333,6.7,0.00017999999999999998,1.8,3e-05,9.999999999999999e-06,0.34800000000000003,0.005,0.00011,0.228,0.246,0.084,0.438,0.0,0.0,5e-05,0.0013000000000000002,0.2
"tacchino, fesa, cotta [saltata in padella senza aggiunta di grassi e di sale]",3.016,0.0,4.567,67.5,1.788,0.0,0.0,Trip.,1.877,0.0,0.02,0.01,0.23,0.04,0.16,0.3,0.21,0.01,0.0,0.0,,,0.0,0.0,0.04,0.011,0.0,Carni Fresche,0.385,106856.0,0.062,548.0,131.0,1.193,0.0015,0.0,0.0,0.0,0.23,1.222,100.0,1.557,1.024,2.519,1.4,2.64,0.039,0.8200000000000001,0.0108,Meleagris gallopavo,0.457,1.2550000000000001,29.6,8e-05,0.9,0.0001,,1.228,0.068,0.0001,1.036,1.282,0.337,1.649,5e-08,0.0,,0.00128,0.0
italico,,0.0,,49.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.2,Formaggi e latticini,,163200.0,,1323.0,316.0,,,0.0,0.0,0.0,,,,,,,25.2,,,,,,,,21.2,,,,,,,,,,,,0.00035,5e-05,,,1.2
rene di bovino,,0.0,,76.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.009000000000000001,0.8,Frattaglie,,115710.0,0.375,494.0,118.0,,0.008,0.0,0.0,0.0,0.22,,,,,,4.6,,0.016,,0.0058,Bos taurus,0.23,,18.4,0.0008100000000000001,,0.0022500000000000003,0.000145,,0.18,0.00037,,,,,0.000345,0.013000000000000001,,0.0026000000000000003,0.8
oca,,0.0,,49.1,,0.0,0.0,,,0.0,0.19,0.0,7.41,1.43,1.79,17.1,3.93,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,Carni Fresche,,106150.0,,1560.0,373.0,,0.0018000000000000002,0.0,0.0,0.0,0.197,,,,,,34.4,,,,0.0064,Anser anser,0.406,,15.8,,0.4,0.0002,,,0.12,7.000000000000001e-05,,,,,8.999999999999999e-05,0.0,,,0.0
"cuore di tacchino, cotto",,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,Frattaglie,,115269.0,0.23800000000000002,,,,,0.0,0.0,0.0,,,,,,,,,,,,Meleagris gallopavo,,,,,,,,,,,,,,,,,,,
storione,1.92,0.0,2.7800000000000002,72.5,1.1,0.0,0.0,Trip.,1.16,0.0,0.25,0.01,1.36,0.49,0.14,1.96,0.21,0.06,0.0,0.45,0.05,0.39,0.0,0.24,0.63,0.018000000000000002,0.0,Prodotti della pesca,0.19,123300.0,0.066,608.0,145.0,0.79,0.0005,0.0,0.0,0.0,0.23900000000000002,1.03,66.0,0.92,0.8200000000000001,1.46,7.6,1.75,,0.56,0.0056,Acipenser spp.,0.33,0.77,19.2,,0.9,,,0.75,0.044,,0.65,0.8300000000000001,0.14,0.96,,0.0,,,0.0
clementine,,0.0,,87.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.031,8.7,Frutta,,8020.0,0.0,155.0,37.0,,0.0001,,,1.2,0.018000000000000002,,,,,,0.1,,,,0.0003,Citrus reticulata var. clementine,0.13,,0.9,,,4e-05,,,0.004,8.999999999999999e-05,,,,,1.2e-05,0.054,,,8.7
halibut,,0.0,,74.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,Prodotti della pesca,,121010.0,0.05,477.0,114.0,,,0.0,0.0,0.0,,,,,,,3.5,,,,,Hippoglossus hippoglossus,,,20.6,,,,,,,,,,,,,5e-05,,,0.0
"minestre in scatola, crema di asparagi",,,,92.9,,0.0,,,,,,,,,,,,,,,,,,,,0.011,4.2,Prodotti Vari,,900010.0,0.0,109.0,26.0,,0.0003,,,,0.016,,,,,,0.7,,,,0.0003,,0.05,,1.0,,,4e-05,,,0.41000000000000003,2e-05,,,,,1.3e-05,0.0,,,
"maiale, pesante, coscio",,0.0,,72.9,,0.0,0.0,,,0.02,0.05,0.0,1.03,0.09,0.58,1.87,0.6,0.03,0.0,0.02,0.17,0.03,0.0,0.0,0.0,0.008,0.0,Carni Fresche,,105600.0,0.089,533.0,128.0,,0.0017,0.0,0.0,0.0,0.176,,,,,,5.1,,,,0.0038,Sus scrofa domestica,0.37,,20.4,,0.5,0.00031,,,0.076,0.00031,,,,,4.9999999999999996e-06,0.0,,,0.0
"tacchino, fuso, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",,0.0,,61.6,,0.0,0.0,,,0.0,0.12,0.04,1.56,0.3,1.12,2.01,1.62,0.11,0.0,0.03,0.44,0.03,0.0,0.0,0.13,0.015,0.0,Carni Fresche,,106913.0,0.107,796.0,190.0,,0.0017,0.0,0.0,0.0,,,,,,,8.7,,0.028,,,Meleagris gallopavo,0.394,,28.0,0.00021,0.9,,,,0.131,,,,,,5e-08,0.0,,0.00512,0.0
"anguilla d'allevamento, filetti",,0.0,,55.6,,0.0,0.0,Trip.,,0.0,1.43,0.18,4.5,2.26,0.86,7.46,1.64,0.08,0.0,1.61,0.83,1.3,0.0,0.31,2.26,0.02,0.5,Prodotti della pesca,,120250.0,0.08700000000000001,1334.0,319.0,1.039,,0.0,0.0,0.0,0.48,,100.0,0.582,0.628,1.0070000000000001,28.9,1.224,,0.552,,Anguilla anguilla,,,14.2,,1.1,,1.7e-05,,,,,0.616,0.166,0.636,,5e-05,0.00082,,0.5
aringa fresca,,0.0,,60.1,,0.0,0.0,,,0.0,1.03,0.0,2.11,1.55,0.19,2.35,0.22,0.19,0.0,2.04,0.1,1.09,0.0,2.69,1.01,0.063,0.0,Prodotti della pesca,,120300.0,0.085,905.0,216.0,,0.0009000000000000001,0.0,0.0,0.0,0.113,,,,,,16.7,,,,0.0035,Clupea harengus,0.32,,16.5,,0.8,0.00017999999999999998,,,,0.00012,,,,,1.2e-05,5e-05,,,0.0
marsala tipico,5e-05,0.0,5e-05,57.8,5e-05,14.0,0.0,,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,Bevande Alcooliche,5e-05,406010.0,0.0,850.0,203.0,5e-05,5e-05,0.0,0.0,0.0,,5e-05,,5e-05,5e-05,5e-05,0.0,5e-05,,5e-05,,,5e-05,5e-05,0.05,,,,,5e-05,5e-05,,5e-05,5e-05,5e-05,5e-05,0.0,0.0,0.0,,28.0
"bieta, cotta [bollita in acqua distillata senza aggiunta di sale]",,,,76.8,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.13,6.0,Verdure e Ortaggi,,5085.0,0.0,150.0,36.0,,0.002,1.37,0.2,1.6,0.062,,,,,,0.2,,0.052000000000000005,,,"Beta vulgaris, cv. Cicla",0.22,,2.8,,,,,,0.02,,,,,,,0.018000000000000002,,0.0015,6.0
"fegato di tacchino, cotto",,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,Frattaglie,,115389.0,0.599,,,,,0.0,0.0,0.0,,,,,,,,,,,,Meleagris gallopavo,,,,,,,,,,,,,,,,,,,
wurstel crudo,1.26,0.0,2.06,58.9,0.891,0.0,1.3,Trip.,0.859,0.0,0.34,0.0,4.03,0.53,2.35,9.83,3.57,0.27,0.22,0.45,0.59,0.0,0.0,0.0,0.0,0.014,1.4,Carni Trasformate e Conservate,0.109,110900.0,0.062,1129.0,270.0,0.549,0.0012,0.0,0.0,0.0,0.13,1.17,65.0,0.606,0.367,1.033,23.3,0.972,0.011,0.314,0.00272,,0.14,0.9500000000000001,13.7,8e-05,0.6,0.0003,,0.595,0.793,0.00015,0.457,0.558,0.098,0.73,5e-08,0.0,,0.0016,0.0
semola,0.458,,4.181,14.0,0.336,0.0,68.2,Lis.,0.404,0.0,0.0,0.0,0.09,0.0,0.01,0.05,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,76.9,Cereali e Derivati,0.28200000000000003,310.0,0.0,1418.0,339.0,0.562,0.0013000000000000002,,,3.6,0.165,0.35100000000000003,36.0,0.424,0.23600000000000002,0.8130000000000001,0.5,0.24,,0.179,0.002,Triticum durum,0.17,1.2650000000000001,11.5,,2.0,0.00015,,0.561,0.012,0.00019,0.294,0.319,0.113,0.498,0.0,0.0,5e-05,,1.9
"minestrone, cotto",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Verdure e Ortaggi,,905010.0,0.0,,,,,1.5,0.56,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mascarpone,,0.0,,44.4,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.068,0.3,Formaggi e latticini,,164800.0,,1902.0,455.0,,0.0002,0.0,0.0,0.0,0.097,,,,,,47.0,,,,0.0001,,0.053,,7.6,,,0.00022,,,0.08600000000000001,1e-05,,,,,0.00043,0.0,,,0.3
cefalo muggine,1.485,0.0,2.133,73.4,0.964,0.0,0.0,Trip.,0.9480000000000001,0.0,0.28,0.0,0.8,0.64,0.7,0.82,0.39,0.0,0.0,0.11,0.39,0.76,0.0,0.0,0.52,0.026000000000000002,0.7,Prodotti della pesca,0.063,120510.0,0.053,531.0,127.0,0.664,0.0018000000000000002,0.0,0.0,0.0,0.22,0.727,91.0,0.758,0.964,1.311,6.8,1.359,0.021,0.47400000000000003,0.0073,Mugil cephalus,,0.6,15.8,0.001,1.2,0.0001,,0.585,,6e-05,0.6,0.743,0.158,0.9480000000000001,1.7e-05,5e-05,,0.002,0.7
"margarina -2 3 di grassi animali, 1 3 di grassi vegetali",,0.0,,12.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.4,Olii e Grassi,,9110.0,0.05,3181.0,760.0,,,0.0,0.0,0.0,,,,,,,84.0,,,,,,,,0.7,,,,,,,,,,,,,0.0,,,0.4
castagne,0.556,0.05,0.521,55.8,0.133,0.0,25.3,Trip.,0.154,,,,,,,,,,,,,,,,,0.03,36.7,Frutta,0.073,8520.0,0.0,688.0,165.0,0.126,0.0009000000000000001,4.33,0.37,4.7,0.081,0.136,83.0,0.108,0.081,0.171,1.7,0.17500000000000002,,0.035,0.00111,Castanea vulgaris,0.395,0.098,2.9,0.0004,,0.00028000000000000003,,0.123,0.009000000000000001,8e-05,0.093,0.109,0.026000000000000002,0.14400000000000002,0.0,,,,8.9
formaggio cremoso spalmabile,,0.0,,59.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.11,0.05,Formaggi e latticini,,162050.0,0.09,1311.0,313.0,,0.0001,0.0,0.0,0.0,0.13,,,,,,31.0,,,,0.0001,,0.15,,8.6,,,0.00017,,,0.33,3e-05,,,,,,5e-05,,,0.05
basilico,,,,92.3,,0.0,0.05,,,,,,,,,,,,,,,,,,,0.25,5.1,Verdure e Ortaggi,,6800.0,0.0,162.0,39.0,,0.0055,,,,0.037,,,,,,0.8,,,,0.0011,Ocimum basilicum,0.3,,3.1,,,0.00031,,,0.009000000000000001,8e-05,,,,,0.000658,0.026000000000000002,,,5.1
fragole,,0.0,,90.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.035,5.3,Frutta,,7730.0,0.0,113.0,27.0,,0.0008,1.13,0.45,1.6,0.028,,,,,,0.4,,,,0.0005,Fragaria vesca,0.16,,0.9,,,4e-05,,,0.002,2e-05,,,,,5e-08,0.054,,,5.3
rape crude,,,,93.3,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,3.8,Verdure e Ortaggi,,5660.0,0.0,76.0,18.0,,0.0006,2.32,0.29,2.6,0.029,,,,,,0.0,,,,0.0009000000000000001,Brassica rapa cv. rapifera,,,1.0,,,7.000000000000001e-05,,,,2e-05,,,,,0.0,0.023,,,3.8
biscotti integrali arricchiti con fibra,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Cereali e Derivati,,940.0,,,,,,26.67,1.34,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
"pollo, sovracoscio con pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",,0.0,,59.1,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.02,0.0,Carni Fresche,,106603.0,,918.0,219.0,,0.0013000000000000002,0.0,0.0,0.0,,,,,,,12.5,,0.033,,,Gallus gallus,0.392,,26.7,0.0001,,,,,0.1,,,,,,5e-08,0.0,,0.0024300000000000003,0.0
"aringa, sotto sale",,0.0,,48.8,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.112,0.0,Prodotti della pesca,,120330.0,0.11,911.0,218.0,,,0.0,0.0,0.0,,,,,,,15.4,,,,0.003,Clupea harengus,,,19.8,,,0.00029,,,,4e-05,,,,,4.8e-05,5e-05,,,0.0
"funghi coltivati prataioli, cotti [saltati in padella senza aggiunta di grassi e di sale]",,,,86.4,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.005,1.5,Verdure e Ortaggi,,6006.0,0.0,115.0,27.0,,0.0008,3.09,0.22,3.3,0.07,,,,,,0.3,,,,,Agaricus campestris,0.32,,4.8,,,,,,0.005,7.000000000000001e-05,,,,,0.0,0.001,,,1.5
"carne bovina in gelatina, in scatola",1.175,0.0,1.956,83.2,0.724,0.0,0.0,Trip.,0.8200000000000001,0.0,0.03,0.0,0.33,0.05,0.25,0.51,0.11,0.05,0.0,0.01,0.01,0.04,0.0,0.01,0.02,0.008,0.0,Carni Trasformate e Conservate,0.149,113010.0,0.029,279.0,67.0,0.562,0.0012,0.0,0.0,0.0,0.1,0.643,91.0,0.589,0.389,1.031,1.8,1.071,0.008,0.358,0.0047,Bos taurus,0.074,0.5730000000000001,12.6,0.00015,0.4,0.00017999999999999998,,0.55,0.656,0.00015,0.466,0.5630000000000001,0.126,0.68,,0.0,,0.00298,0.0
"gelato confezionato- nocciola, in vaschetta",,,,62.4,,0.0,0.05,,,,,,,,,,,,,,,,,,,,25.2,Dolci,,206060.0,,767.0,183.0,,,0.0,0.0,0.0,,,,,,,8.4,,,,,,,,3.3,,,,,,,,,,,,,,,,25.2
"coniglio, coscio",,0.0,,72.0,,0.0,0.0,,,0.02,0.19,0.0,1.95,0.17,0.55,1.47,0.72,0.02,0.01,0.0,0.08,0.0,0.0,0.0,0.0,,0.0,Carni Fresche,,107030.0,0.06,574.0,137.0,,,0.0,0.0,0.0,,,,,,,5.9,,,,,Oryctolagus cuniculus,,,21.0,,0.3,,,,,,,,,,,0.0,,,0.0
"minestre in scatola, crema di pomodori",,,,90.5,,0.0,,,,,,,,,,,,,,,,,,,,0.006,6.4,Prodotti Vari,,900410.0,0.0,151.0,36.0,,0.0003,,,,0.014,,,,,,1.0,,,,0.0005,,0.094,,0.8,,,2e-05,,,0.396,2e-05,,,,,4.1e-05,0.005,,,
"bovino adulto o vitellone - pancia, biancostato, punta di petto - [tessuto muscolare privato del grasso visibile]",1.889,0.0,3.2800000000000002,69.0,1.237,0.0,0.0,Trip.,1.2570000000000001,0.0,0.22,0.32,1.66,0.22,1.16,2.25,1.13,0.2,0.0,0.0,0.34,0.13,0.0,0.24,0.13,0.006,0.0,Carni Fresche,0.223,101250.0,,714.0,171.0,0.774,0.0011,0.0,0.0,0.0,0.168,1.198,87.0,0.847,0.6900000000000001,1.621,10.2,1.747,0.014,0.542,0.0047,Bos taurus,0.28700000000000003,0.922,19.7,6e-05,0.7,0.00011,,0.776,0.057,7.000000000000001e-05,0.644,0.81,0.179,0.928,5e-08,0.0,,0.0038,0.0
minestrone liofilizzato,,,,3.9,,0.0,29.4,,,,,,,,,,,,,,,,,,,0.12,47.6,Prodotti Vari,,905100.0,0.0,1247.0,298.0,,0.0028,,,,0.16,,,,,,8.8,,,,0.0031000000000000003,,0.8,,10.1,,,0.00015,,,5.6000000000000005,0.00021,,,,,,0.0,,,15.0
"prosciutto cotto, magro [privato del grasso visibile]",,0.0,,69.7,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.007,1.0,Carni Trasformate e Conservate,,110410.0,,553.0,132.0,,0.0009000000000000001,0.0,0.0,0.0,0.28,,,,,,4.4,,,,0.0031000000000000003,,0.254,,22.2,,,0.00025,,,0.726,0.0005200000000000001,,,,,5e-08,0.0,,,1.0
"merendine, con marmellata",0.402,,1.478,19.7,0.23900000000000002,0.0,21.0,Lis.,0.243,,,,,,,,,,,,,,,,,0.011,69.6,Dolci,0.17400000000000002,210030.0,,1497.0,358.0,0.295,0.0008,,,,0.055,0.192,66.0,0.261,0.116,0.45,8.3,0.21,,0.12,,,0.098,0.433,5.5,,,,,0.34,,,0.193,0.20800000000000002,0.07100000000000001,0.319,,0.0,,,46.5
sgombro o maccarello fresco,2.053,0.0,2.749,69.8,1.34,0.0,0.0,,1.322,0.0,0.5,0.0,1.76,0.59,0.35,1.84,0.16,0.15,0.0,0.71,0.16,0.73,0.0,0.99,1.26,0.038,0.5,Prodotti della pesca,,123000.0,0.095,710.0,170.0,0.731,0.0012,0.0,0.0,0.0,0.264,1.044,,0.9570000000000001,0.783,1.6360000000000001,11.1,1.375,0.021,0.47000000000000003,0.0076,Scomber scombrus,0.36,0.261,17.0,0.0007,0.9,0.00025,9.800000000000001e-06,0.783,0.13,0.0001,0.609,0.992,,1.357,4.4999999999999996e-05,5e-05,,0.002,0.5
cardi crudi,,,,94.3,,0.0,0.2,,,,,,,,,,,,,,,,,,,0.096,1.7,Verdure e Ortaggi,,5140.0,0.0,42.0,10.0,,0.0002,,,1.5,0.011,,,,,,0.1,,,,0.0002,Cynara cardunculus,0.293,,0.6,,,4e-05,,,0.023,2e-05,,,,,5e-08,0.004,,,1.5
caciotta toscana,,0.0,,42.8,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.531,0.8,Formaggi e latticini,,160840.0,,1539.0,368.0,,0.0006,0.0,0.0,0.0,,,,,,,29.6,,,,,,0.145,,24.6,,,,,,0.514,,,,,,0.000453,5e-05,0.00049,,0.8
farina di castagne,,,,11.4,,0.0,,,,,,,,,,,,,,,,,,,,0.05,76.2,Prodotti Vari,,504010.0,0.0,1437.0,343.0,,0.0032,,,,0.164,,,,,,3.7,,,,0.001,Castanea vulgaris,0.847,,6.1,,,0.00037,,,0.011,0.00023,,,,,0.0,0.0,,,
prosciutto crudo di parma,,0.0,,50.6,,0.0,0.0,,,0.01,0.21,0.0,3.93,0.53,1.95,7.67,1.58,0.0,0.03,0.19,0.01,0.0,0.05,0.0,0.0,0.016,0.0,Carni Trasformate e Conservate,,110510.0,0.07200000000000001,1120.0,268.0,,0.0007,0.0,0.0,0.0,0.261,,,,,,18.4,,0.026000000000000002,,0.0055,,0.373,,25.5,0.00017,0.3,0.0002,,,2.578,0.00177,,,,,5e-08,0.0,,0.0032300000000000002,0.0
"patatine fritte, in busta",,,,12.1,,0.0,51.8,,,,,,,,,,,,,,,,,,,0.028,58.5,Verdure e Ortaggi,,6570.0,0.0,2123.0,507.0,,0.0018000000000000002,,,,0.158,,,,,,29.6,,,,0.0046,Solanum tuberosum,1.06,,5.4,,,7.000000000000001e-05,,,1.07,0.00011,,,,,0.0,0.027,,,1.0
lattuga da taglio,,,,95.6,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.046,2.2,Verdure e Ortaggi,,5430.0,0.0,57.0,14.0,,0.0009000000000000001,,,1.5,0.022,,,,,,0.1,,,,0.0004,Lactuca sativa L.,,,1.1,,,8.999999999999999e-05,,,,4e-05,,,,,0.000194,0.059000000000000004,,,2.2
succo di frutta [albicocca e pera],,0.0,,84.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.008,14.5,Frutta,,8930.0,0.0,236.0,56.0,,0.0003,0.0,0.05,0.05,0.011,,,,,,0.1,,,,0.0003,,,,0.3,,,3e-05,,,,1e-05,,,,,,,,,14.5
scamorza,,0.0,,44.9,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.512,1.0,Formaggi e latticini,,167200.0,,1398.0,334.0,,0.0003,0.0,0.0,0.0,0.299,,,,,,25.6,,,,,,,,25.0,,,,,,,,,,,,0.000352,5e-05,0.00048,,1.0
robiola,,0.0,,46.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,2.3,Formaggi e latticini,,166850.0,,1414.0,338.0,,,0.0,0.0,0.0,,,,,,,27.7,,,,,,,,20.0,,,,,,,,,,,,,0.0,,,2.3
uva,0.084,,0.14300000000000002,80.3,0.029,0.0,0.0,Leu.,0.051000000000000004,,,,,,,,,,,,,,,,,0.027,15.6,Frutta,0.011,7380.0,0.0,257.0,61.0,0.014,0.0004,,,1.5,0.004,0.021,42.0,0.006,0.025,0.014,0.1,0.015,,0.023,0.0004,Vitis vinifera,0.192,0.023,0.5,0.00027,,3e-05,,0.033,0.001,3e-05,0.012,0.019,0.003,0.019,4e-06,0.006,5e-05,0.00012,15.6
capra [tessuto muscolare privato del grasso visibile],,0.0,,,,0.0,0.0,,,0.0,0.03,0.0,0.4,0.06,0.31,0.77,0.13,0.03,0.01,0.0,0.05,0.02,0.0,0.0,0.0,,,Carni Fresche,,104250.0,,,,,,0.0,0.0,0.0,,,,,,,2.3,,,,,Capra hireus,,,,,0.4,,,,,,,,,,,,,,
prosciutto crudo di montagna,,0.0,,44.8,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,Carni Trasformate e Conservate,,110500.0,,1267.0,303.0,,,0.0,0.0,0.0,,,,,,,22.0,,,,,,,,26.2,,,,,,,,,,,,5e-08,0.0,,,0.0
pappa reale,1.51,0.0,0.9500000000000001,66.0,0.35000000000000003,0.0,0.0,Leu.,0.55,,,,,,,,,,,,,,,,,,14.0,Prodotti Vari,0.23,507100.0,0.0,613.0,147.0,0.47000000000000003,,0.0,0.0,0.0,,0.34,100.0,0.5,0.27,0.77,6.0,0.8300000000000001,,0.39,0.00039000000000000005,,,0.51,10.0,,,0.00075,,0.5700000000000001,,0.00013000000000000002,0.42,0.42,0.18,0.61,5e-08,5e-05,,,14.0
"pollo, sovracoscio senza pelle crudo",1.833,0.0,2.798,74.1,1.174,0.0,0.0,Trip.,1.245,,,,,,,,,,,,,,,,,0.008,0.0,Carni Fresche,0.223,106610.0,0.073,550.0,132.0,0.767,0.0008,0.0,0.0,0.0,,0.9520000000000001,94.0,0.896,0.555,1.5090000000000001,6.3,1.689,0.025,0.582,,Gallus gallus,0.323,0.774,18.7,8.999999999999999e-05,,,9.999999999999999e-06,0.868,0.067,,0.645,0.911,0.193,0.98,5e-08,0.0,,0.0016899999999999999,0.0
"melanzane, cotte [saltate in padella senza aggiunta di grassi e di sale]",,,,74.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,,3.4,Verdure e Ortaggi,,5506.0,0.0,170.0,41.0,,,2.31,1.19,3.5,,,,,,,1.4,,,,,Solanum melongena,,,3.8,,,,,,,,,,,,,,,,3.4
