name,"acidi grassi, monoinsaturi | g","acidi grassi, polinsaturi | g","acidi grassi, saturi | g",acido ascorbico (vit. c) | g,acido folico (vit. b9 o m o folacina) | g,acido pantotenico (vit. b5) | g,alpha-tocoferolo (vit. e) | g,amido | g,beta-sistosterolo | g,betaina | g,caffeina | g,calcio | g,calorie | kcal,campesterolo | g,carboidrati | g,"carotene, alfa | g","carotene, beta | g",category,cobalamina (vit. b12) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fibre | g,fillochinone (vit. k) | g,fitosteroli | g,fluoro | g,"folati, totali | g",folato alimentare | g,fosforo | g,galattosio | g,grassi | g,lattosio | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,niacina (vit. b3) | g,piridossina (vit. b6) | g,potassio | g,proteine | g,rame | g,retinolo (vit. a) | g,riboflavina (vit. b2) | g,selenio | g,sodio | g,stigmasterolo | g,teobromina | g,tiamina (vit. b1) | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g","vitamina e, aggiunta | g",zinco | g
"carne di anatra, cruda",,,,0.0045000000000000005,,,,,,,,,136.0,,,,,pollo,5.4e-05,0.515,,,,,,,,0.0007379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
"longan, secchi",,,,0.028,,,,,,,,,286.0,,,,,frutta e succhi,0.0,0.0,,,,,,,,,,,,,,,,,,0.001,,,,,,0.0005,,,,,4e-05,,,,,,
pure di patate,,,,,,,0.00012,,,,0.0,,113.0,,,0.0,9e-06,verdure,,0.011,0.0135,0.0,,,2e-06,,,,,,,,,0.0,7e-06,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,
agnesi pasta di semola corta - mezze penne rigate,,,,,,,,,,,,,367.0,,74.3000030517578,,,cereali e pasta,,,,,,,,,,,,,,1.29999995231628,,,,,,,,,13.5,,,,,,,,,,,,,,
"agnello, coscia e spalla, grassa, brasata",,,,,,,0.0002,,,,0.0,,223.0,,,0.0,0.0,"agnello, vitello, cacciagione",,0.108,0.12930000000000003,0.0,,,4.4e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
granarolo - centrale del latte milano latte e panna - panna uht da cucina,,,,,,,,,,,,,222.0,,3.5,,,latticini e uova,,,,,,,,,,,,,,22.0,,,,,,,,,2.4000000953674303,,,,,,,,,,,,,,
danone - activia frutta - more lamponi,,,,,,,,,,,,,100.0,,12.6999998092651,,,latticini e uova,,,,,,0.30000001192092896,,,,,,,,3.4000000953674303,,,,,,,,,3.70000004768372,,,,,,,,,,,,,,
kellogs cereali - kellogg's tresor,,,,,,,,,,,,,440.0,,66.0,,,cereali per colazione,8.299999833106991e-07,,,,0.008,4.0,,,,,,,,16.0,,,,,,0.0148999996185303,0.0017000000476837202,,8.0,,,0.00129999995231628,,0.45,,,0.0012000000476837201,,,,,,
chayote,,,,,,,0.00012,,,,0.0,,19.0,,,0.0,0.0,verdure,,0.0,0.0092,0.0,,,4.1e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
"leone marino, carne mista",,,,,,,,,,,,,120.0,,,,,cibi etnici,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
