name,acqua | g,calorie | kcal,fibra alimentare | g,proteine totali | g,proteine animali | g,proteine vegetali | g,glucidi disponibili | g,glucidi solubili | g,amido | g,lipidi totali | g,lipidi animali | g,lipidi vegetali | g,lipidi saturi totali | g,acido oleico | g,monoinsaturi totali | g,acido linoleico | g,acido linolenico | g,altri polinsaturi | g,polinsaturi totali | g,colesterolo | g,alcool | g,ferro | g,calcio | g,sodio | g,potassio | g,fosforo | g,zinco | g,tiamina (vit.b1) | g,vitamina b6 | g,riboflavina | g,niacina (vit. pp) | g,vitamina c | g,acido folico | g,retinolo (equivalente) | g,retinolo | g,carotene | g,vitamina d | g,vitamina e | g
olio di colza,0.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,99.9,6.31,55.84,61.52,20.54,20.54,0.0,41.08,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222
spremuta di pompelmo,90.0,30.0,0.0,0.3,0.0,0.3,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.013000000000000001,0.009000000000000001,0.123,0.013000000000000001,0.0004,3e-05,0.0,2e-05,0.0002,0.0,0.024,1e-06,0.0,6e-06,0.0,0.00017
"funghi gallinacci, secchi",10.0,93.0,60.5,16.5,0.0,16.5,1.8,0.9,0.9,2.2,0.0,2.2,0.52,0.02,0.03,0.23,0.23,0.0,0.46,0.0,0.0,0.0172,0.085,0.032,5.37,0.581,0.0004,0.0001,0.0,0.00013000000000000002,0.004200000000000001,0.002,0.0,0.0,0.0,0.0,2.1e-06,0.00012
carpa [cyprinus carpio],72.4,140.0,0.0,18.9,18.9,0.0,0.0,0.0,0.0,7.1,7.1,0.0,1.37,1.46,2.95,0.66,0.66,0.82,2.14,0.07,0.0,0.001,0.034,0.05,0.28600000000000003,0.22,0.0017,7.000000000000001e-05,0.0,4e-05,0.0015,0.001,0.0,4.4e-05,4.4e-05,0.0,1.0599999999999998e-05,0.00093
dadi per brodo,4.6,152.0,0.2,15.7,15.7,0.0,5.0,1.0,4.0,18.7,18.7,0.0,9.09,6.76,7.61,0.59,0.59,0.0,1.18,0.01,0.0,0.0012,0.06,16.982,0.446,0.32,0.0008,7.000000000000001e-05,0.0,0.00024,0.0045000000000000005,0.0,0.0,1.4999999999999999e-05,1.4999999999999999e-05,0.0,0.0,0.0
"caffe' bar, in tazza",95.4,4.0,0.0,0.4,0.0,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.006,0.002,0.251,0.017,0.0002,0.0,0.0,2e-05,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luccio [esox lucius],79.0,80.0,0.0,18.7,18.7,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.1,0.07,0.14,0.03,0.03,0.13,0.19,0.034,0.0,0.0011,0.02,0.063,0.25,0.22,0.0011,8.999999999999999e-05,0.0,7.000000000000001e-05,0.0017,0.004,0.015,0.0,0.0,0.0,1.0599999999999998e-05,0.00017
surimi,76.3,99.0,0.0,15.2,15.2,0.0,6.9,0.0,6.9,0.9,0.9,0.0,0.17,0.06,0.21,0.0,0.0,0.36,0.36,0.03,0.0,0.0003,0.009000000000000001,0.14300000000000002,0.112,0.28200000000000003,0.0003,2e-05,0.0,2e-05,0.0002,0.0,0.002,1.9999999999999998e-05,1.9999999999999998e-05,0.0,0.0,0.00044
aperitivi (fino a 22 %vol),0.0,186.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uovo di oca,69.7,189.0,0.0,13.8,13.8,0.0,1.0,1.0,0.0,14.4,14.4,0.0,3.6,5.35,5.74,0.68,0.68,0.28,1.64,0.852,0.0,0.0026000000000000003,0.052000000000000005,0.138,0.21,0.2,0.0013000000000000002,0.0001,0.0,0.0003,0.0001,0.0,0.076,0.00032983,0.000318,7.099999999999999e-05,4.9999999999999996e-06,0.00074
biscotti 'petit beurre',4.0,415.0,0.4,6.0,2.2,3.8,84.7,30.1,54.6,8.2,6.6,1.6,4.67,2.07,2.25,0.3,0.3,0.01,0.61,0.08700000000000001,0.0,0.001,0.032,0.241,0.111,0.14400000000000002,0.0006,0.00017999999999999998,0.0,0.00014000000000000001,0.0009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0014
"orzo [hordeum vulgare], perlato",12.2,318.0,9.1,10.4,0.0,10.4,70.5,0.0,70.5,1.4,0.0,1.4,0.29,0.14,0.14,0.7,0.7,0.0,1.4,0.0,0.0,0.0007,0.014,0.003,0.12,0.189,0.0021000000000000003,8.999999999999999e-05,0.0,8e-05,0.0031000000000000003,0.0,0.02,0.0,0.0,0.0,0.0,0.00033
"prosciutto crudo, magro",54.8,218.0,0.0,28.6,28.6,0.0,0.0,0.0,0.0,11.5,11.5,0.0,3.78,4.67,5.13,1.14,1.14,0.17,2.45,0.066,0.0,0.0022,0.023,2.733,0.373,0.19,0.005200000000000001,0.00058,0.0,0.00025,0.006500000000000001,0.0,0.001,0.0,0.0,0.0,9e-07,0.00011
"succo di ananas, conservato",85.5,56.0,0.2,0.3,0.0,0.3,13.6,13.6,0.0,0.1,0.0,0.1,0.01,0.01,0.01,0.02,0.02,0.0,0.04,0.0,0.0,0.0003,0.017,0.001,0.134,0.008,0.0001,6e-05,0.0,2e-05,0.0003,0.0,0.023,0.0,0.0,0.0,0.0,2e-05
"ceci [cicer arietinum], secchi",13.0,334.0,13.8,21.8,0.0,21.8,54.3,3.7,50.6,4.9,0.0,4.9,0.63,1.35,1.36,2.59,2.59,0.0,5.18,0.0,0.0,0.0060999999999999995,0.117,0.006,0.8,0.299,0.0033,0.00035999999999999997,0.0,0.00014000000000000001,0.0017,0.005,0.0,2.9999999999999997e-05,0.0,0.00017999999999999998,0.0,0.00261
camembert,50.7,297.0,0.0,20.9,20.9,0.0,0.0,0.0,0.0,23.7,23.7,0.0,14.91,5.62,6.86,0.44,0.44,0.0,0.88,0.075,0.0,0.0002,0.35000000000000003,0.65,0.1,0.31,0.0027,5e-05,0.0,0.0005200000000000001,0.0009000000000000001,0.0,0.0,0.0002825,0.00022999999999999998,0.00031499999999999996,1.8e-07,0.0006500000000000001
pasta sfoglia,7.7,560.0,1.6,5.6,0.1,5.5,45.9,0.9,45.0,40.6,26.6,14.0,15.77,12.13,16.78,2.87,2.87,1.91,7.65,0.015,0.0,0.0013000000000000002,0.084,0.46,0.094,0.069,0.0005,0.00014000000000000001,0.0,2e-05,0.001,0.0,0.007,0.000183,0.000175,4.8e-05,1.7599999999999999e-06,0.00195
pomodori maturi [solanum lycopersicum],94.0,19.0,0.9,1.0,0.0,1.0,3.5,3.5,0.0,0.2,0.0,0.2,0.03,0.03,0.03,0.08,0.08,0.0,0.16,0.0,0.0,0.0003,0.009000000000000001,0.006,0.297,0.025,0.0002,2e-05,0.0,0.0,0.0008,0.025,0.015,0.000135,0.0,0.00081,0.0,0.0010600000000000002
coppa parma,36.9,398.0,0.0,23.6,23.6,0.0,0.6,0.6,0.0,33.5,33.5,0.0,10.98,13.78,15.1,4.05,4.05,0.35,8.45,0.096,0.0,0.0019,0.017,2.285,0.65,0.17,0.0053,0.00014000000000000001,0.0,0.00016,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.00023
marmellata (normali e tipo frutta viva),36.0,222.0,2.2,0.5,0.0,0.5,58.7,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.018000000000000002,0.012,0.1,0.007,0.0002,2e-05,0.0,2e-05,0.0009000000000000001,0.004,0.0,0.0,0.0,0.0,0.0,0.0
pane grattugiato,10.0,354.0,3.4,11.6,0.0,11.6,77.5,2.6,74.9,1.9,0.0,1.9,0.44,0.21,0.21,1.1,1.1,0.0,2.2,0.0,0.0,0.0028,0.13,0.76,0.15,0.12,0.0009000000000000001,0.0002,0.0,4e-05,0.0021000000000000003,0.0,0.025,0.0,0.0,0.0,0.0,0.0
burro,14.1,758.0,0.0,0.8,0.8,0.0,1.1,1.1,0.0,83.4,83.4,0.0,48.78,20.68,23.72,1.57,1.57,0.0,3.14,0.25,0.0,0.0,0.015,0.007,0.015,0.016,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.000806,0.000731,0.00045,8e-07,0.002
capretto [capra hireus],74.8,122.0,0.0,19.2,19.2,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.54,2.03,2.23,0.22,0.22,0.13,0.57,0.056,0.0,0.001,0.009000000000000001,0.082,0.385,0.22,0.002,0.00025,0.0,0.0001,0.0057,0.0,0.0,0.0,0.0,0.0,4e-07,8.999999999999999e-05
avena [avena sativa],8.2,389.0,10.6,16.9,0.0,16.9,55.7,2.8,52.9,6.9,0.0,6.9,1.22,2.17,2.18,2.42,2.42,0.0,4.84,0.0,0.0,0.0047,0.054,0.002,0.429,0.523,0.004,0.00076,0.0,0.00014000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0007
pompelmo [citrus paradisi],91.2,26.0,1.6,0.6,0.0,0.6,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.017,0.001,0.23,0.016,0.0001,5e-05,0.0,3e-05,0.0002,0.04,0.021,0.0,0.0,0.0,0.0,0.00015
fichi d'india [opuntia ficus indica],83.2,53.0,5.0,0.8,0.0,0.8,13.0,13.0,0.0,0.1,0.0,0.1,0.01,0.01,0.01,0.04,0.04,0.0,0.08,0.0,0.0,0.0004,0.03,0.005,0.23800000000000002,0.025,0.0007,1e-05,0.0,3e-05,0.0005,0.002,0.0,9.999999999999999e-06,0.0,5.9999999999999995e-05,0.0,1e-05
"rosmarino, secco",9.3,331.0,17.7,4.9,0.0,4.9,46.4,46.4,0.0,15.2,0.0,15.2,3.94,0.76,0.99,1.56,1.56,0.0,3.12,0.0,0.0,0.0293,1.28,0.05,0.9500000000000001,0.07,0.0032,0.0001,0.0,0.00032,0.001,0.0,0.0,0.00031332999999999996,0.0,0.00188,0.0,0.00915
"tacchino, ala",68.2,193.0,0.0,22.3,22.3,0.0,0.0,0.0,0.0,11.5,11.5,0.0,3.48,3.67,4.22,2.3,2.3,0.21,4.81,0.078,0.0,0.0025,0.023,0.07,0.32,0.257,0.0018000000000000002,0.00011,0.0,0.00014000000000000001,0.0075,0.0,0.016,0.0,0.0,0.0,4e-07,1e-05
uva [vitis vinifera],80.3,61.0,1.5,0.5,0.0,0.5,15.6,15.6,0.0,0.1,0.0,0.1,0.03,0.0,0.0,0.02,0.02,0.0,0.04,0.0,0.0,0.0004,0.027,0.001,0.192,0.004,0.0001,3e-05,0.0,3e-05,0.0001,0.0,0.002,4e-06,0.0,2.4e-05,0.0,0.0
seppia surgelata,82.0,63.0,0.0,14.1,14.1,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.11,0.0,0.06,0.0,0.0,0.11,0.11,0.11,0.0,0.0008,0.027,0.094,0.273,0.14300000000000002,0.0012,0.0001,0.0,4e-05,0.0009000000000000001,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.0012
cheddar,38.5,381.0,0.0,25.0,25.0,0.0,0.5,0.5,0.0,31.0,31.0,0.0,18.52,7.64,8.52,0.5,0.5,0.0,1.0,0.1,0.0,0.0005,0.81,0.61,0.12,0.545,0.0023,1e-05,0.0,0.00045000000000000004,0.0001,0.0,0.0,0.00041933,0.000376,0.00026,2.6e-07,0.0005
pomodori sott'olio,53.8,213.0,5.8,5.1,0.0,5.1,17.5,17.5,0.0,14.1,0.0,14.1,1.89,8.53,8.66,1.98,1.98,0.0,3.96,0.0,0.0,0.0027,0.047,0.266,1.565,0.139,0.0008,0.00019,0.0,0.00038,0.0036000000000000003,0.10200000000000001,0.023,0.000129,0.0,0.000774,0.0,0.00193
pastorella,41.3,364.0,0.0,26.9,26.9,0.0,0.0,0.0,0.0,28.5,28.5,0.0,17.69,7.8,9.22,0.59,0.59,0.0,1.18,0.117,0.0,0.0006,0.36,0.463,0.069,0.3,0.0019,5e-05,0.0,0.00035999999999999997,0.0001,0.0,0.019,0.0002925,0.00027499999999999996,0.00010499999999999999,1.7000000000000001e-07,0.00024
rucola [eruca sativa],91.7,25.0,1.6,2.6,0.0,2.6,2.1,2.1,0.0,0.7,0.0,0.7,0.09,0.05,0.05,0.13,0.13,0.0,0.26,0.0,0.0,0.0015,0.16,0.027,0.369,0.052000000000000005,0.0004,4e-05,0.0,8.999999999999999e-05,0.0003,0.0,0.097,0.000237,0.0,0.0014219999999999999,0.0,0.00043
tiramisu',38.8,411.0,7.5,13.2,7.5,5.7,33.5,21.1,12.4,25.8,19.6,6.2,14.32,7.8,8.71,0.99,0.99,0.06,2.04,0.197,0.0,0.0046,0.055,0.303,0.46,0.28800000000000003,0.0024,7.000000000000001e-05,0.0,0.00023,0.0006,0.0,0.027,0.00015067,0.000133,0.000106,6e-07,0.00102
arance [citrus aurantium],87.2,34.0,1.6,0.7,0.0,0.7,7.8,7.8,0.0,0.2,0.0,0.2,0.03,0.03,0.04,0.03,0.03,0.0,0.06,0.0,0.0,0.0002,0.049,0.003,0.2,0.022,0.0002,6e-05,0.0,5e-05,0.0002,0.05,0.0,7.099999999999999e-05,0.0,0.000426,0.0,0.00024
"wakame [undaria spp], secca",12.2,71.0,47.1,12.4,0.0,12.4,0.0,0.0,0.0,2.4,0.0,2.4,0.49,0.08,0.22,0.04,0.04,0.77,0.85,0.0,0.0,0.0116,0.66,3.22,0.22,0.31,0.0017,0.00011,0.0,0.00014000000000000001,0.0046,0.0,0.196,8.583e-05,0.0,0.0005149999999999999,0.0,0.001
"timo [thymus vulgaris], fresco",69.3,95.0,12.3,3.0,0.0,3.0,15.1,15.1,0.0,2.5,0.0,2.5,0.69,0.12,0.12,0.13,0.13,0.0,0.26,0.0,0.0,0.0412,0.63,0.018000000000000002,0.27,0.067,0.0021000000000000003,0.00016,0.0,0.00022,0.0016,0.0,0.04,0.00012667,0.0,0.0007599999999999999,0.0,0.0017
formaggino,52.6,309.0,0.0,11.2,11.2,0.0,6.0,6.0,0.0,26.9,26.9,0.0,16.08,7.07,8.58,0.36,0.36,0.0,0.72,0.093,0.0,0.0003,0.43,1.0,0.108,0.65,0.0032,2e-05,0.0,0.0003,0.0001,0.0,0.0,0.00026,0.00023999999999999998,0.00011999999999999999,2.0999999999999997e-07,0.00055
melone d'estate [cucumis melo],90.1,33.0,0.9,0.8,0.0,0.8,7.4,7.4,0.0,0.2,0.0,0.2,0.05,0.0,0.0,0.03,0.03,0.0,0.06,0.0,0.0,0.0003,0.019,0.008,0.333,0.013000000000000001,0.0003,5e-05,0.0,4e-05,0.0006,0.032,0.004,0.00018899999999999999,0.0,0.001134,0.0,0.00012
pasta di olive,52.2,331.0,2.2,1.4,0.0,1.4,4.5,4.5,0.0,34.3,0.0,34.3,5.02,24.09,24.41,3.35,3.35,0.0,6.7,0.0,0.0,0.0032,0.063,1.175,0.258,0.023,0.0004,0.0,0.0,8.999999999999999e-05,0.0011,0.018000000000000002,0.0,2.7e-05,0.0,0.00016199999999999998,0.0,0.0023
pane di soia,31.0,276.0,4.5,12.0,0.0,12.0,41.7,3.3,38.4,6.8,0.0,6.8,1.04,1.42,1.44,3.43,3.43,0.0,6.86,0.0,0.0,0.0022,0.061,0.61,0.482,0.234,0.0013000000000000002,0.00032,0.0,8.999999999999999e-05,0.0011,0.0,0.096,3e-06,0.0,1.8e-05,0.0,0.00049
yogurt di latte magro alla frutta,77.0,90.0,0.2,4.1,4.1,0.0,17.9,17.9,0.0,0.7,0.7,0.0,0.39,0.14,0.16,0.02,0.02,0.0,0.04,0.004,0.0,0.0001,0.15,0.064,0.21,0.12,0.0005,5e-05,0.0,0.00021,0.0001,0.0,0.016,1.067e-05,9.999999999999999e-06,4e-06,1e-08,1e-05
polpo [octopus vulgaris],82.0,57.0,0.0,10.6,10.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23,0.06,0.16,0.01,0.01,0.23,0.25,0.14,0.0,0.0,0.14400000000000002,0.23,0.35000000000000003,0.189,0.0017,3e-05,0.0,4e-05,0.0021000000000000003,0.0,0.016,2.4999999999999998e-05,2.4999999999999998e-05,0.0,0.0,0.0012
mora di gelso [morus nigra],85.0,36.0,1.7,1.3,0.0,1.3,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.036000000000000004,0.002,0.26,0.048,0.0002,5e-05,0.0,4e-05,0.0004,0.01,0.033,0.0,0.0,0.0,0.0,0.00055
riso soffiato,11.7,369.0,1.1,6.1,0.0,6.1,89.7,10.6,79.1,0.9,0.0,0.9,0.2,0.23,0.23,0.32,0.32,0.0,0.64,0.0,0.0,0.0067,0.02,1.26,0.15,0.13,0.0011,0.001,0.0,0.0015,0.016,0.0,0.25,0.0,0.0,0.0,0.0,0.0006
merendine farcite,14.2,414.0,1.0,6.2,4.3,1.9,67.6,45.7,21.9,15.1,14.5,0.6,5.51,3.4,6.53,0.75,0.75,1.43,2.93,0.152,0.0,0.0018000000000000002,0.017,0.35000000000000003,0.18,0.17200000000000001,0.0007,8.999999999999999e-05,0.0,0.00012,0.0005,0.0,0.01,0.00031082999999999995,0.00027499999999999996,0.000215,2.6099999999999996e-06,0.00283
"te' deteinato, in foglie",9.3,108.0,0.0,19.6,0.0,19.6,3.0,3.0,0.0,2.0,0.0,2.0,0.44,0.0,0.22,0.22,0.22,0.0,0.44,0.0,0.0,0.0152,0.43,0.045,2.16,0.63,0.003,0.00014000000000000001,0.0,0.0012,0.0075,0.0,0.003,0.0,0.0,0.0,0.0,0.0
gamberetti surgelati,83.0,63.0,0.0,13.6,13.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17,0.12,0.18,0.05,0.05,0.22,0.32,0.178,0.0,0.0024,0.11800000000000001,0.34400000000000003,0.068,0.136,0.0009000000000000001,0.0,0.0,2e-05,0.0005,0.0,0.0,2e-06,2e-06,0.0,0.0,0.00285
"bovino, fegato",70.0,146.0,0.0,21.0,21.0,0.0,5.9,5.9,0.0,4.4,4.4,0.0,1.62,0.59,0.7,0.24,0.24,0.6,1.08,0.3,0.0,0.0088,0.007,0.081,0.32,0.35000000000000003,0.004,0.00026000000000000003,0.0,0.0033,0.0135,0.031,0.0,0.0165,0.016207,0.001758,6.2e-07,0.00024
peperoni dolci [capsicum annuum],92.3,22.0,1.9,0.9,0.0,0.9,4.2,4.2,0.0,0.3,0.0,0.3,0.05,0.02,0.02,0.14,0.14,0.0,0.28,0.0,0.0,0.0007,0.017,0.002,0.21,0.028,0.0002,5e-05,0.0,7.000000000000001e-05,0.0005,0.151,0.024,0.000139,0.0,0.000834,0.0,0.0006500000000000001
brioches con crema,23.5,391.0,2.3,6.9,2.0,4.9,55.6,12.1,43.5,17.1,9.0,8.1,9.44,4.32,4.71,0.82,0.82,0.02,1.66,0.054,0.0,0.0013000000000000002,0.018000000000000002,0.355,0.058,0.077,0.001,0.00017,0.0,0.00016,0.0018000000000000002,0.0,0.0,3.067e-05,2.9999999999999997e-05,4e-06,1.8999999999999998e-07,5e-05
mela cotogna [pyrus cydonia],84.3,34.0,5.9,0.3,0.0,0.3,6.3,6.3,0.0,1.0,0.0,1.0,0.1,0.36,0.36,0.49,0.49,0.0,0.98,0.0,0.0,0.0001,0.004,0.003,0.2,0.014,0.0005,2e-05,0.0,3e-05,0.0007,0.014,0.003,0.0,0.0,0.0,0.0,0.00055
rana [rana esculenta],81.9,64.0,0.0,15.5,15.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.006,0.02,0.055,0.31,0.43,0.002,0.00016,0.0,6e-05,0.0012,0.0,0.01,0.0,0.0,0.0,5e-07,0.0008
indivia [chicorium endivia],93.0,16.0,1.6,0.9,0.0,0.9,2.7,2.7,0.0,0.3,0.0,0.3,0.07,0.01,0.01,0.11,0.11,0.0,0.22,0.0,0.0,0.0017,0.093,0.01,0.38,0.031,0.0004,5e-05,0.0,0.0003,0.0005,0.035,0.0,0.000213,0.0,0.0012779999999999998,0.0,0.00057
"cavolfiore [brassica oleracea, cv botrytis cauliflaura]",90.5,25.0,2.4,3.2,0.0,3.2,2.7,2.4,0.3,0.2,0.0,0.2,0.03,0.01,0.01,0.02,0.02,0.0,0.04,0.0,0.0,0.0008,0.044,0.008,0.35000000000000003,0.069,0.0007,0.0001,0.0,0.0001,0.0012,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998
marmellata di arance,28.0,261.0,0.7,0.1,0.0,0.1,69.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.035,0.018000000000000002,0.044,0.013000000000000001,0.0001,0.0,0.0,0.0,0.0,0.01,0.005,8.33e-06,0.0,4.9999999999999996e-05,0.0,0.0
capperi sott'aceto,93.7,20.0,1.5,2.6,0.0,2.6,2.1,2.1,0.0,0.1,0.0,0.1,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.0009000000000000001,0.019,1.5170000000000001,0.24,0.02,0.0002,3e-05,0.0,0.0,0.0004,0.017,0.0,0.0,0.0,0.0,0.0,0.0
acciughe o alici sotto sale,53.8,128.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.82,0.4,0.76,0.06,0.06,0.99,1.11,0.07,0.0,0.006900000000000001,0.542,3.604,0.215,0.481,0.0017,6e-05,0.0,0.00026000000000000003,0.014,0.0,0.0,5.4999999999999995e-05,5.4999999999999995e-05,0.0,4.599999999999999e-06,0.00029
"pomodoro, concentrato (sostanza secca 25%)",75.0,71.0,2.5,4.4,0.0,4.4,16.4,16.4,0.0,0.6,0.0,0.6,0.09,0.09,0.09,0.23,0.23,0.0,0.46,0.0,0.0,0.0016,0.041,0.17200000000000001,0.213,0.052000000000000005,0.0008,0.00024,0.0,0.00019,0.0040999999999999995,0.042,0.054,0.0025,0.0,0.015,0.0,0.005370000000000001
"erba cipollina [allium schoenoprasum], fresca",91.0,23.0,1.9,2.8,0.0,2.8,1.7,1.7,0.0,0.6,0.0,0.6,0.12,0.08,0.08,0.21,0.21,0.0,0.42,0.0,0.0,0.0016,0.085,0.005,0.23,0.05,0.0004,0.0001,0.0,0.00017999999999999998,0.0007,0.045,0.0,0.00038333,0.0,0.0023,0.0,0.0016
torta al cioccolato,28.0,315.0,3.6,4.9,2.7,2.2,36.8,27.6,9.2,17.5,5.9,11.6,6.97,6.15,6.87,2.44,2.44,0.01,4.89,0.058,0.0,0.002,0.029,0.10300000000000001,0.199,0.125,0.0009000000000000001,0.00014000000000000001,0.0,0.00021,0.0011,0.0,0.01,4.0499999999999995e-05,3.7999999999999995e-05,1.4999999999999999e-05,2.3e-07,0.00159
lumache di mare [buccinidae spp],66.0,137.0,0.0,23.8,23.8,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.03,0.01,0.03,0.0,0.0,0.02,0.02,0.065,0.0,0.005,0.057,0.20600000000000002,0.34700000000000003,0.14100000000000001,0.0016,3e-05,0.0,0.00011,0.0011,0.004,0.006,2.6e-05,2.6e-05,0.0,0.0,0.00013000000000000002
radicchio rosso [cichorium intybus],94.0,13.0,3.0,1.4,0.0,1.4,1.6,1.6,0.0,0.1,0.0,0.1,0.02,0.0,0.0,0.04,0.04,0.0,0.08,0.0,0.0,0.0003,0.036000000000000004,0.007,0.18,0.03,0.0002,7.000000000000001e-05,0.0,5e-05,0.0003,0.01,0.013000000000000001,0.0,0.0,0.0,0.0,0.00057
spumanti demi-sec,0.0,71.0,0.0,0.1,0.0,0.1,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0005,0.009000000000000001,0.005,0.058,0.009000000000000001,0.0,0.0,0.0,1e-05,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tisana in tazza,99.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.002,0.0,0.009000000000000001,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
pancetta di maiale,19.3,661.0,0.0,8.4,8.4,0.0,1.0,1.0,0.0,69.3,69.3,0.0,24.3,23.44,26.28,17.75,17.75,0.92,36.42,0.101,0.0,0.0012,0.013000000000000001,0.108,0.18,0.108,0.0016,0.00035999999999999997,0.0,0.00011,0.0018000000000000002,0.0,0.002,0.0,0.0,0.0,0.0,7.000000000000001e-05
"caffe' crudo, in grani",10.2,190.0,49.5,11.2,0.0,11.2,6.7,6.7,0.0,13.1,0.0,13.1,5.16,1.05,1.07,4.72,4.72,0.0,9.44,0.0,0.0,0.02,0.16,0.002,1.86,0.16,0.0007,0.00021,0.0,0.00023,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"broccolo a testa [brassica oleracea, cv botrytis caput]",90.3,27.0,3.1,3.0,0.0,3.0,3.1,3.1,0.0,0.4,0.0,0.4,0.06,0.03,0.03,0.04,0.04,0.0,0.08,0.0,0.0,0.0008,0.028,0.012,0.34,0.066,0.0006,4e-05,0.0,0.00012,0.0018000000000000002,0.054,0.0,2e-06,0.0,1.2e-05,0.0,0.00088
birra scura,93.3,30.0,0.0,0.3,0.0,0.3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.007,0.016,0.033,0.011,0.0003,0.0,0.0,2e-05,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brie,48.6,319.0,0.0,19.3,19.3,0.0,0.0,0.0,0.0,26.9,26.9,0.0,16.92,6.38,7.79,0.5,0.5,0.0,1.0,0.1,0.0,0.0008,0.54,0.7000000000000001,0.1,0.39,0.0022,4e-05,0.0,0.00043,0.0004,0.0,0.0,0.00031999999999999997,0.000285,0.00020999999999999998,2e-07,0.00084
"soia, germogli",86.3,49.0,1.1,6.2,0.0,6.2,3.0,3.0,0.0,1.4,0.0,1.4,0.2,0.31,0.32,0.72,0.72,0.0,1.44,0.0,0.0,0.001,0.048,0.03,0.218,0.067,0.0012,0.00023,0.0,0.0002,0.0008,0.0,0.17200000000000001,2.4e-05,0.0,0.000144,0.0,0.0002
bra,40.0,328.0,0.0,30.7,30.7,0.0,0.0,0.0,0.0,22.8,22.8,0.0,14.15,6.24,7.38,0.47,0.47,0.0,0.94,0.09,0.0,0.0004,0.77,0.897,0.097,0.53,0.0022,3e-05,0.0,0.00035,0.0001,0.0,0.0,0.00019999999999999998,0.000175,0.00015,1.8999999999999998e-07,0.00048
"albicocche, polpa secca",14.7,188.0,21.6,4.8,0.0,4.8,43.4,43.4,0.0,0.7,0.0,0.7,0.05,0.3,0.3,0.14,0.14,0.0,0.28,0.0,0.0,0.0040999999999999995,0.092,0.056,1.8800000000000001,0.12,0.0007,0.0,0.0,0.0002,0.003,0.0,0.0,0.0001075,0.0,0.000645,0.0,0.0019
