name,acqua | g,calorie | kcal,fibra alimentare | g,proteine totali | g,proteine animali | g,proteine vegetali | g,glucidi disponibili | g,glucidi solubili | g,amido | g,lipidi totali | g,lipidi animali | g,lipidi vegetali | g,lipidi saturi totali | g,acido oleico | g,monoinsaturi totali | g,acido linoleico | g,acido linolenico | g,altri polinsaturi | g,polinsaturi totali | g,colesterolo | g,alcool | g,ferro | g,calcio | g,sodio | g,potassio | g,fosforo | g,zinco | g,tiamina (vit.b1) | g,vitamina b6 | g,riboflavina | g,niacina (vit. pp) | g,vitamina c | g,acido folico | g,retinolo (equivalente) | g,retinolo | g,carotene | g,vitamina d | g,vitamina e | g
"succo di arancia, concentrato",41.6,185.0,0.0,2.9,0.0,2.9,44.9,44.9,0.0,0.5,0.0,0.5,0.06,0.08,0.1,0.08,0.08,0.0,0.16,0.0,0.0,0.0004,0.036000000000000004,0.01,0.88,0.083,0.0002,0.00031,0.0,0.00013000000000000002,0.0013000000000000002,0.0,0.09,2.8329999999999998e-05,0.0,0.00016999999999999999,0.0,0.00068
"suino, carne magra",72.5,141.0,0.0,19.9,19.9,0.0,0.0,0.0,0.0,6.8,6.8,0.0,3.11,1.88,2.11,1.24,1.24,0.0,2.48,0.06,0.0,0.0017,0.008,0.076,0.37,0.176,0.0029,0.0004,0.0,0.00011,0.0048,0.0,0.001,0.0,0.0,0.0,5e-07,0.0
germe di grano,10.0,416.0,15.6,28.0,0.0,28.0,55.0,19.7,35.3,10.0,0.0,10.0,1.72,1.37,1.41,5.45,5.45,0.0,10.9,0.0,0.0,0.01,0.0,0.003,0.8270000000000001,1.1,0.017,0.00244,0.0,0.00061,0.006200000000000001,0.0,0.0,0.00023999999999999998,0.0,0.0014399999999999999,0.0,0.022
pizza con pomodoro e mozzarella,39.3,271.0,3.8,5.5,2.1,3.4,52.9,12.9,40.0,5.6,2.3,3.3,1.99,2.72,2.84,0.5,0.5,0.0,1.0,0.011,0.0,0.0,0.012,0.986,0.302,0.048,0.0014,0.0002,0.0,0.00019,0.0,0.007,0.052000000000000005,7.467e-05,3.2e-05,0.000256,2e-08,0.00128
"paprika [capsicum annuum], in polvere",10.0,306.0,20.9,14.8,0.0,14.8,34.8,34.8,0.0,13.0,0.0,13.0,2.11,1.11,1.23,7.45,7.45,0.0,14.9,0.0,0.0,0.023600000000000003,0.177,0.034,2.344,0.34500000000000003,0.0040999999999999995,0.00064,0.0,0.00174,0.015300000000000001,0.07100000000000001,0.0,0.006059999999999999,0.0,0.036359999999999996,0.0,0.0008
"stoccafisso [gadus poutassou], ammollato",76.1,92.0,0.0,20.7,20.7,0.0,0.3,0.3,0.0,0.9,0.9,0.0,0.13,0.13,0.13,0.0,0.0,0.39,0.39,0.05,0.0,0.0006,0.009000000000000001,0.136,0.40700000000000003,0.163,0.0004,1e-05,0.0,8e-05,0.001,0.0,0.012,0.0,0.0,0.0,0.0,0.00044
spremuta di arancia,89.3,33.0,0.0,0.5,0.0,0.5,8.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.015,0.002,0.18,0.017,0.0,5e-05,0.0,3e-05,0.0004,0.0,0.024,3.7999999999999995e-05,0.0,0.00022799999999999999,0.0,0.00015
cipolline sott'aceto,90.6,24.0,1.3,0.9,0.0,0.9,3.5,3.5,0.0,0.2,0.0,0.2,0.03,0.03,0.03,0.07,0.07,0.0,0.14,0.0,0.0,0.0002,0.022,0.45,0.093,0.023,0.0001,2e-05,0.0,0.0,0.0001,0.0,0.0,1.6699999999999999e-06,0.0,9.999999999999999e-06,0.0,0.00031
"latte di vacca, parzialmente scremato uht",88.5,49.0,0.0,3.6,3.6,0.0,4.9,4.9,0.0,1.8,1.8,0.0,0.89,0.43,0.47,0.05,0.05,0.0,0.1,0.007,0.0,0.0002,0.11,0.042,0.17,0.089,0.0005,4e-05,0.0,0.00017999999999999998,0.0001,0.0,0.0,2.05e-05,1.8e-05,1.4999999999999999e-05,1e-08,3e-05
mortadella di suino,52.3,317.0,0.0,14.7,14.7,0.0,1.5,1.5,0.0,28.1,28.1,0.0,9.22,11.67,12.75,3.46,3.46,0.3,7.22,0.07,0.0,0.0011,0.019,1.054,0.23600000000000002,0.18,0.0016,0.00019,0.0,0.00026000000000000003,0.0036000000000000003,0.0,0.004,0.0,0.0,0.0,0.0,8.999999999999999e-05
caramelle alla menta,0.2,393.0,0.0,0.5,0.0,0.5,102.7,102.7,0.0,0.7,0.0,0.7,0.18,0.02,0.02,0.05,0.05,0.0,0.1,0.0,0.0,0.0002,0.007,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pasta all'uovo, fresca",25.0,309.0,2.9,11.7,2.3,9.4,63.3,1.7,61.6,2.8,2.0,0.8,0.79,0.82,0.9,0.69,0.69,0.01,1.39,0.091,0.0,0.0012,0.024,0.027,0.14,0.169,0.0007,0.00022,0.0,8.999999999999999e-05,0.001,0.0,0.027,4.0499999999999995e-05,3.7999999999999995e-05,1.4999999999999999e-05,3.2e-07,0.00039000000000000005
rombo [rhombus maximum],79.5,81.0,0.0,16.3,16.3,0.0,1.2,1.2,0.0,1.3,1.3,0.0,0.17,0.12,0.25,0.0,0.0,0.56,0.56,0.07,0.0,0.0012,0.038,0.083,0.319,0.264,0.0002,5e-05,0.0,0.00011,0.0037,0.0,0.008,0.0,0.0,0.0,0.0,0.0004
salame cacciatore,30.6,424.0,0.0,28.5,28.5,0.0,1.2,1.2,0.0,34.0,34.0,0.0,10.8,14.91,16.33,4.17,4.17,0.52,8.86,0.099,0.0,0.0018000000000000002,0.059000000000000004,2.064,0.6,0.356,0.005,0.00028000000000000003,0.0,0.00016,0.0025,0.0,0.003,0.0,0.0,0.0,0.0,0.00028000000000000003
uovo di tacchina,72.6,147.0,0.0,12.8,12.8,0.0,1.0,1.0,0.0,10.2,10.2,0.0,3.64,3.9,4.57,1.17,1.17,0.13,2.47,0.801,0.0,0.0025,0.05,0.151,0.14200000000000002,0.2,0.0016,0.00015,0.0,0.0003,0.0001,0.0,0.07100000000000001,0.000225,0.00021099999999999998,8.4e-05,1.75e-06,0.00111
"panna, 30% di lipidi",64.0,292.0,0.0,2.6,2.6,0.0,3.2,3.2,0.0,30.0,30.0,0.0,17.55,7.44,8.53,0.56,0.56,0.0,1.12,0.09,0.0,0.0,0.078,0.034,0.1,0.061,0.0003,2e-05,0.0,0.00011,0.0,0.001,0.007,0.00026767,0.000234,0.000202,2.1999999999999998e-07,0.00086
"piselli [pisum sativum], freschi",76.1,76.0,5.2,7.0,0.0,7.0,12.4,4.4,8.0,0.2,0.0,0.2,0.08,0.06,0.06,0.02,0.02,0.0,0.04,0.0,0.0,0.0018000000000000002,0.047,0.001,0.202,0.101,0.0007,0.00042,0.0,0.00017999999999999998,0.001,0.028,0.062,4.9e-05,0.0,0.000294,0.0,0.00021
strutto o sugna,0.5,892.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,99.0,99.0,0.0,42.47,39.06,43.11,8.95,8.95,1.83,19.73,0.095,0.0,0.0,0.0,0.002,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
olio di palma,0.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,99.9,47.1,38.45,38.92,9.28,9.28,0.0,18.56,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033100000000000004
