name,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,"acidi grassi, trans | g","acidi grassi, trans-monoenoici | g","acidi grassi, trans-polienoico | g",acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido folico (vit. b9 o m o folacina) | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,alpha-tocoferolo (vit. e) | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,beta-sistosterolo | g,betaina | g,biotina | g,c0:0 | g,c0:1 | g,"c0:2 n-6 c,c | g",c0:3 n-3 | g,c0:3 n-6 | g,c0:3 not further defined | g,c0:4 not further defined | g,c0:5 n-3 | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c1:5 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c2:0 | g,c2:1 c | g,c2:1 not further defined | g,c2:1 t | g,c2:4 | g,c2:5 n-3 | g,c2:6 n-3 | g,c3:0 | g,c4:0 | g,c4:0÷c10:0 | g,c4:1 c | g,c4:1 | g,c5:0 | g,c5:1 | g,c6:0 | g,c6:1 c | g,c6:1 not further defined | g,c6:1 t | g,c7:0 | g,c7:1 | g,c8:0 | g,c8:1 c | g,c8:1 not further defined | g,c8:1 t | g,c8:2 clas | g,c8:2 i | g,"c8:2 n-6 c,c | g",c8:2 not further defined | g,c8:2 t not further defined | g,"c8:2 t,t | g","c8:3 n-3 c,c,c | g","c8:3 n-6 c,c,c | g",c8:3 not further defined | g,c8:3i | g,c8:4 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",campesterolo | g,carboidrati disponibili | g,carboidrati | %,"carotene, alfa | g",ceneri | g,cistina | g,cloro | g,colecalcifenolo (vit. d) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",destrosio | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fibre | g,fitosteroli | g,fluoro | g,folati totali | g,folato alimentare | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,grassi | g,idrossiprolina | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,licopene | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,luteina + zeaxantina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,retinolo equivalente | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",stigmasterolo | g,tiamina | g,tirosina | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,"vitamina b-12, aggiunta | g",vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,vitamina d2 | g,vitamina d3 | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,zuccheri | g,ß-carotene equivalente | g
"vitello, filetto, cotto [saltato in padella senza aggiunta di grassi e di sale]",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,56.9,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.34,0.16,2.89,0.68,1.4,4.52,0.22,0.14,,0.0,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,0.0,0.0,,,,,,0.099,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11.5,,40.0,,,,,,,5.47,,100.0,0.47,,,,38.6,,60.0,,0.1,,,,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
salame felino,,,9.51,,,,0.03,0.47,3.069,0.0,0.0,0.0,0.0,0.0,0.0,,4.944,4.944,0.0,3.49,0.37,0.39,0.0,11.26,6.1,0.62,0.0016600000000000002,2.91,35.2,1.96,0.0,0.0,,0.0,0.0,1.914,,,7.000000000000003e-06,,,,,,,,,0.0,0.39,0.0,6.1,0.62,2.91,11.26,3.49,0.37,,0.03,0.0,0.47,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.013999999999999999,375.0,375.0,,0.5,1.0,,,0.317,3.27,,0.095,,,,1.21,0.0019,0.0,0.0,0.0,,,,3e-06,,0.35600000000000004,0.0,0.0,1.74,0.5,,,0.09,1.5e-05,1.591,0.9229999999999999,0.0,2.64,,27.9,27.9,0.0,66.0,2.622,,0.031,0.0,4e-05,0.835,11.88,0.0025,100.0,4.33,0.486,1.32,30.5,30.5,0.0,33.0,0.00021,0.5,,0.00026000000000000003,0.0,9.51,3.05e-06,1.226,1.6969999999999998,0.0,,0.00033999999999999997,1.03,,,,1.259,0.302,1.679,0.0,,2e-06,0.00036,0.0,9.000000000000002e-07,,,0.00022999999999999998,0.0,0.0037,0.193,0.5,,0.0
"succo di arancia, concentrato",,,0.06,,,,0.0,0.0,0.309,0.0,0.0,0.0,0.0,0.0,,,,0.138,0.0,0.07,0.03,0.0,0.0,0.08,0.05,0.01,0.00073,0.0,41.6,0.062,,0.0,,0.0,0.0,0.195,,,5e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036000000000000004,184.0,184.0,,44.9,,,,0.022000000000000002,0.017,,0.0,,,,0.035,0.0004,,,0.0,,,,8.999999999999999e-05,,0.083,12.3,0.0,0.039,11.7,,,,1.1e-05,0.032,0.012,0.0,0.055999999999999994,,0.0,0.5,0.5,,0.038,,0.046,0.0,0.0001,0.015,0.09,0.0013000000000000002,100.0,0.1,0.88,0.18100000000000002,0.0,2.9,2.9,,0.00011,,,0.00013000000000000002,20.9,,5e-06,0.055,0.01,0.0,,0.00031,0.016,,,,0.033,0.008,0.046,0.0,,0.0,0.00025,0.21,0.0,,,0.0006799999999999999,4e-07,0.0002,0.027000000000000003,44.9,,0.00017
"farina di segale, semi-integrale",,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.48,0.08,0.0,0.0,0.14,0.0,0.0,0.0,0.0,13.6,0.0,,0.0,,0.0,61.6,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,315.0,299.0,,67.8,,,,0.0,0.0,,0.0,,,,0.0,0.0026000000000000003,,,8.0,,,,1.9e-05,,0.196,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.3,1.3,,0.0,,0.0,0.0,0.0,0.0,0.15,0.0012,100.0,0.56,0.297,0.0,0.0,8.3,8.3,,0.0,,,0.0001,0.0,,0.0,0.0,0.001,0.0,,0.00022,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.00027,0.0,0.0,,,0.0008699999999999999,0.0,0.0024,0.0,6.2,,0.0
"formaggio cremoso spalmabile, light",,,8.5,,,,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,,,2.149,0.44,0.28,0.2,1.49,0.28,3.75,3.71,0.4,0.00031,1.57,69.75,0.332,0.0,0.0,,0.0,0.0,0.293,,,2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,179.0,179.0,,3.1,6.0,,,0.103,0.6,,0.042,,,,0.491,0.0001,0.0,0.0,0.0,,,,1.3000000000000001e-05,,0.13,0.0,0.0,0.195,0.0,,,,2.8999999999999997e-05,0.535,0.259,3.1,0.99,,14.5,14.5,0.0,73.0,0.758,,0.009000000000000001,0.0,0.0,0.226,4.43,0.0001,100.0,0.48,0.15,1.034,9.2,9.2,0.0,21.0,0.0001,,,0.00016999999999999999,0.0,,3e-06,0.5660000000000001,0.33,1.29,,2.9999999999999997e-05,0.396,,,,0.457,0.139,0.65,0.0002095,,3e-07,5e-05,0.0,1.1e-07,,,0.00039000000000000016,0.0,0.0007,0.11,3.1,,0.000175
"cacao dolce, in polvere, solubile",,,4.82,,,,0.0,0.17,0.44799999999999995,0.0,0.0,0.0,0.0,0.0,,,,0.677,0.0,0.17,0.0,0.0,0.0,3.18,1.98,0.0,0.0011,2.84,3.0,0.208,,0.0,,0.0,5.4,0.255,,,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,364.0,349.0,,67.7,,,,0.055,0.13,,0.0,,,,0.21600000000000005,0.0044,,,7.3,,,,1e-05,,0.19,0.0,0.0,0.20199999999999999,0.0,,,,3e-06,0.17400000000000002,0.078,0.0,0.273,,0.0,8.6,8.6,,0.226,,0.15,0.0,0.0025,0.046,3.18,0.0005,100.0,0.34,0.41,0.192,0.0,4.5,4.5,,0.0011,,,0.00014,62.2,,1e-06,0.19399999999999998,0.25,0.0,,4e-05,0.16899999999999998,,,,0.17800000000000002,0.067,0.27,0.0,,0.0,2e-05,0.0,0.0,,,0.00017999999999999998,0.0,0.0019,0.06,62.2,,7.000000000000003e-06
dolcificante saccarina,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
caciotta toscana,,,17.35,,,,0.0,0.0,1.588,0.0,0.0,0.0,0.0,0.0,0.0,,,4.426,0.9,0.58,0.41,3.04,0.58,7.65,7.56,0.82,0.00047999999999999996,3.21,42.8,0.706,0.0,0.0,,0.0,0.0,0.7290000000000001,,,2.2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.531,368.0,368.0,,0.8,1.0,,,0.14200000000000002,0.99,,0.09,,,,1.203,0.0006,0.0,0.0,0.0,,,,1e-05,,0.496,0.0,0.0,0.434,0.0,,,,4e-06,1.197,0.623,0.8,2.275,,29.6,29.6,0.0,72.0,1.8230000000000002,,0.03,0.0,1e-05,0.732,9.04,0.00016,100.0,0.99,0.145,2.622,24.6,24.6,0.0,27.0,2.9999999999999997e-05,,,0.00032,0.0,,7.699999999999999e-06,1.198,0.514,2.63,,2e-05,1.291,,,,0.858,0.29100000000000004,1.564,0.000373,,1.5e-06,7.000000000000001e-05,0.0,1.6e-07,,,0.00049,0.0,0.0024,0.11,0.8,,0.000251
sarda fresca,,,1.02,,,,0.0,0.04,2.101,0.0,1.16,0.51,0.19,0.0,0.0,,3.016,3.016,0.0,0.06,0.0,0.15,0.0,0.69,0.65,0.32,0.0006799999999999999,0.22,73.0,1.29,0.0,0.0,,0.0,0.0,1.31,,,5e-06,,,,,,,,,0.0,0.15,0.0,0.65,0.32,0.22,0.69,0.06,0.0,,0.0,0.19,0.04,0.51,0.0,0.0,1.16,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,129.0,129.0,,1.5,5.0,,,0.083,0.109,,0.063,,,,0.957,0.0018000000000000004,0.0,0.0,0.0,,,,3e-06,,0.215,0.0,0.0,0.957,1.5,,,0.1,2.4e-05,1.04,0.7490000000000001,0.0,1.789,,4.5,4.5,0.0,31.0,1.893,,0.01,0.0,5e-05,0.6659999999999999,1.2,0.0097,70.0,1.77,0.63,0.6659999999999999,20.8,20.8,0.0,64.0,0.0002,1.7,,0.00025,0.0,1.02,2.8000000000000013e-05,0.8320000000000001,0.066,0.0,,2e-05,0.79,,,,0.957,0.25,1.227,2.8000000000000013e-05,,9e-06,0.00033,0.0,4.5e-06,,,0.00011999999999999999,0.0,0.00082,0.15,1.5,,0.0
cognac,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,,30.1,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,214.0,214.0,,0.9,,,,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.3,0.0,0.0,0.3,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00022999999999999998,,,0.0,0.3,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.9,,0.0
"cipolline, cotte [bollite in acqua distillata senza aggiunta di sale]",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68.8,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,22.6,84.0,,,,,,0.0,,,,,,1.2,0.59,1.8,,,,,,,,,,,,,,,,,,,,,0.3,,3.0,,,,,,,,,100.0,,,,,3.4,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,
"caramelle tipo ""mou""",,,10.71,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.39,0.25,0.0,0.0,4.33,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,,0.0,1.05,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,430.0,430.0,,71.1,62.0,,,0.0,0.0,,0.017,,,,0.0,0.0015,0.0,0.0,0.0,,,,0.0,,0.064,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,17.2,17.2,0.0,36.0,0.0,,0.0,0.0,0.0,0.0,4.97,0.0,100.0,0.64,0.21,0.0,2.1,2.1,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,0.32,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0003,0.0,70.0,,0.0
taleggio,,,15.36,,,,0.0,0.0,1.245,0.0,0.0,0.0,0.0,0.0,0.0,,4.151,4.151,0.8,0.51,0.36,2.69,0.51,6.77,6.7,0.73,0.00036,2.84,51.8,0.54,0.0,0.0,,0.0,0.0,0.667,,,7.599999999999997e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,315.0,315.0,,0.9,0.0,,,0.08800000000000001,1.12,,0.09,,,,0.9009999999999999,0.0001,0.0,0.0,0.0,,,,0.000102,,0.32799999999999996,0.0,0.0,0.374,0.0,,,0.098,4.6e-05,0.955,0.535,0.9,1.69,,26.2,26.2,0.0,75.0,1.4240000000000002,,0.022000000000000002,0.0,0.0,0.5660000000000001,8.01,0.001,100.0,0.87,0.08900000000000001,1.742,19.0,19.0,0.0,25.0,0.0004,,,0.00022,0.0,,3e-06,0.894,0.873,2.33,,5e-05,0.987,,,,0.632,0.22899999999999998,1.187,0.0004625,,1.1e-06,0.00013000000000000002,0.0,1.8e-07,,,0.00062,0.0,0.002,0.23,0.9,,4.6e-05
provolone,,,16.69,,,,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,,6.2479999999999976,6.2479999999999976,0.49,0.52,0.28,2.84,0.0,6.4,8.22,0.8,0.00047999999999999996,2.95,39.0,0.8320000000000001,0.0,0.0,,0.0,0.0,0.879,,,3e-06,,,,,,,,,0.49,2.84,0.0,8.22,0.8,2.95,6.4,0.52,0.28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,374.0,374.0,,2.0,2.0,,,0.136,1.03,,0.073,,,,1.393,0.0005,0.0,0.0,0.0,,,,1e-05,,0.521,0.0,0.0,0.496,0.0,,,0.092,3.9e-05,1.421,0.7240000000000001,2.0,2.45,,28.2,28.2,0.0,68.0,2.1630000000000003,,0.04,0.0,1e-05,0.8250000000000001,7.2,0.0006,100.0,0.8,0.139,2.645,28.1,28.1,0.0,30.0,2.9999999999999997e-05,0.0,,0.00022,0.0,16.69,1.305e-05,1.384,0.86,2.19,,2e-05,1.464,,,,0.882,0.336,1.8,0.0003415,,1.5e-06,7.000000000000001e-05,0.0,1.6e-07,,,0.0005200000000000001,0.0,0.0041800000000000006,0.23,2.0,,0.000251
pecorino siciliano,,,17.34,,,,0.0,0.0,1.956,0.0,0.0,0.0,0.0,0.0,0.0,,,5.686,1.14,0.29,0.31,3.08,0.0,7.04,7.36,0.42,0.00042,2.43,30.3,0.847,0.0,0.0,,0.0,0.0,0.7609999999999999,,,2.4e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.162,427.0,427.0,,2.4,2.0,,,0.147,2.35,,0.09,,,,1.4480000000000002,0.0003,0.0,0.0,0.0,,,,7.000000000000003e-06,,0.7979999999999999,0.0,0.2,0.512,0.0,,,,3.9e-05,1.525,0.715,2.2,2.9290000000000003,,33.6,33.6,0.0,71.0,2.268,,0.04,0.0,2e-05,0.88,7.94,0.0002,100.0,0.6,0.055,3.3680000000000003,28.9,28.9,0.0,27.0,2.9999999999999997e-05,,,0.00047000000000000004,0.0,,6e-06,1.416,0.45,2.84,,2.9999999999999997e-05,1.558,,,,0.993,0.365,2.061,0.0005729999999999999,,1.1e-06,8.999999999999999e-05,0.0,5e-07,,,0.00097,0.0,0.0034,0.23,2.4,,4e-06
tarassaco o dente di leone,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.316,,36.0,,3.7,39.0,,,,,,0.0,,,,,0.0032,,,0.4,,,,,,0.065,,,,,,,,,,,,,,,1.1,,27.0,,,,,,,,0.0008,100.0,,0.44,,,3.1,,34.0,,,,0.00016999999999999999,,,,,0.076,,,0.00018999999999999998,,,,,,,,0.000992,,,,0.052000000000000005,,,,,,,,3.7,,
capitone,,,5.78,,,,0.0,0.52,1.3319999999999999,0.0,0.0,0.0,0.26,0.06,0.0,,,1.9409999999999998,0.0,0.47,0.23,0.63,0.0,7.21,3.76,1.89,0.00014,0.93,62.0,0.7859999999999999,0.0,0.0,,3.78,0.0,0.778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,247.0,247.0,,0.5,1.0,,,0.14,0.057,,0.08700000000000001,,,,0.508,0.0006,0.0,0.0,0.0,,,,1.2e-05,,0.223,0.0,0.0,0.624,0.5,,,,7.999999999999999e-05,0.599,0.38299999999999995,0.0,1.057,,21.5,21.5,0.0,78.0,1.194,,0.027000000000000003,0.0,0.00016999999999999999,0.385,9.41,0.0026000000000000003,65.0,5.0,0.27,0.46,13.0,13.0,0.0,21.0,7.000000000000001e-05,,,0.00032,0.0,,1.8000000000000001e-06,0.531,0.08700000000000001,0.0,,0.00017999999999999998,0.439,,,,0.5700000000000001,0.146,0.67,0.00098,,1e-06,0.00025,0.002,4.9000000000000005e-06,,,0.00414,0.0,0.0025,0.0,0.5,,0.0
"pollo, sovracoscio, senza pelle, cotto al forno",,,2.64,,,,0.0,0.62,2.7,0.0,0.15,0.03,0.02,0.0,0.0,,,4.016,0.0,1.12,0.05,0.18,0.11,1.74,1.49,0.25,0.00139,0.92,61.3,1.6780000000000002,0.0,0.0,,0.35,0.0,1.9469999999999998,,,3e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.018000000000000002,188.0,188.0,,0.0,0.0,,,0.36200000000000004,0.075,,0.109,,,,1.208,0.0014,0.0,0.0,0.0,,,,1e-05,,0.22,0.0,0.0,1.3130000000000002,0.0,,,,7.000000000000003e-06,1.415,0.982,0.0,2.389,,8.3,8.3,0.0,40.0,2.6210000000000004,,0.040999999999999995,0.0,2e-05,0.894,2.12,0.0092,81.0,2.32,0.488,1.166,28.3,28.3,0.0,60.0,0.00011,,,0.00016,0.0,,1.6e-05,1.259,0.11199999999999999,0.0,,7.000000000000001e-05,1.01,,,,1.381,0.317,1.554,0.0,,0.0,0.00036,0.0,2e-07,,,0.00022999999999999998,0.0,0.0026000000000000003,0.14,0.0,,0.0
"maiale, leggero, spalla",,,2.24,,,,0.0,0.03,1.953,0.0,0.0,0.0,0.13,0.0,0.0,,2.81,2.81,0.01,1.35,0.0,0.13,0.0,1.86,1.63,0.13,0.00149,0.47,73.1,1.129,0.0,0.0,,0.0,0.0,1.18,,,1e-06,,,,,,,,,0.01,0.13,0.0,1.63,0.13,0.47,1.86,1.35,,,0.0,0.13,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.006999999999999999,133.0,133.0,,0.0,0.0,,,0.21600000000000005,0.054000000000000006,,0.067,,,,0.711,0.0012,0.0,0.0,0.0,,,,1e-06,,0.18,0.0,0.0,0.961,0.0,,,0.08700000000000001,3e-06,1.0,0.649,0.0,1.5590000000000002,,6.3,6.3,0.0,43.0,1.608,,0.024,0.0,2e-05,0.499,2.12,0.003,79.0,1.38,0.21,0.7909999999999999,19.0,19.0,0.0,57.0,0.00015,0.6,,0.00035,0.0,2.24,1.4000000000000001e-05,0.77,0.073,0.0,,0.00026000000000000003,0.638,,,,0.81,0.183,1.11,0.0,,1e-06,0.0005,0.0,5e-07,,,0.0,0.0,0.0018000000000000004,0.2,0.0,,0.0
"coniglio, frattaglie",,,3.12,,,,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,,,,2.948,0.0,0.74,0.13,0.2,0.0,1.4,2.24,0.17,0.0008,0.68,70.0,1.167,,0.0,,1.56,0.0,1.21,,,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,147.0,147.0,,0.4,,,,0.21100000000000002,0.07400000000000001,,0.0,,,,0.7879999999999999,0.008,,,0.0,,,,5e-06,,0.32,0.0,0.0,0.943,0.4,,,,5e-06,0.954,0.526,0.0,1.567,,7.9,7.9,0.0,,1.644,,0.022000000000000002,0.0,1e-05,0.511,1.56,0.0057,100.0,2.43,0.36,0.805,18.7,18.7,0.0,,5.9999999999999995e-05,,,0.0005,0.0,,1.7e-05,0.76,0.067,0.0,,0.00031,0.635,,,,0.8130000000000001,0.18100000000000002,1.126,0.004526,,1e-05,0.0005,0.009000000000000001,0.0,,,0.00013000000000000002,0.0,0.0039,0.19,0.4,,0.00014
salpa,,,0.35,,,,0.0,0.35,1.886,0.0,0.62,0.42,0.1,0.02,0.0,,,2.8360000000000003,0.0,0.0,0.14,0.06,0.0,0.25,0.23,0.15,0.00086,0.06,77.3,1.051,0.0,0.0,,0.0,0.0,1.087,,,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.027999999999999997,104.0,104.0,,2.0,8.0,,,0.141,0.14,,0.063,,,,0.6880000000000001,0.0043,0.0,0.0,0.0,,,,5e-06,,0.125,0.0,0.0,0.763,2.0,,,,3e-05,0.87,0.485,0.0,1.423,,2.7,2.7,0.0,23.0,1.725,,0.028999999999999998,0.0,4e-05,0.42,0.52,0.0043,69.0,1.52,0.54,0.609,18.0,18.0,0.0,69.0,0.0006,,,0.00014,0.0,,7e-05,0.8210000000000001,0.069,0.0,,4e-05,0.664,,,,0.845,0.231,0.9620000000000001,0.0,,2e-06,0.00018999999999999998,0.0,0.0,,,0.0004,0.0,0.0033,0.2,2.0,,0.0
"pollo, sovracoscio, con pelle",,,4.32,,,,0.0,0.33,1.716,0.0,0.09,0.03,0.01,0.0,0.0,,2.5460000000000003,2.5460000000000003,0.0,2.15,0.18,0.17,0.03,4.44,2.89,0.77,0.00099,1.24,67.4,1.075,0.0,0.0,,0.24,0.0,1.206,,,3e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,196.0,196.0,,0.0,0.0,,,0.204,0.1,,0.08199999999999999,,,,0.682,0.0008,0.0,0.0,0.0,,,,8e-06,,0.11,0.0,0.0,0.907,0.0,,,0.1,8e-06,0.87,0.498,0.0,1.375,,14.0,14.0,0.0,64.0,1.547,,0.021,0.0,1e-05,0.517,5.44,0.004900000000000001,86.0,3.02,0.27699999999999997,0.731,17.4,17.4,0.0,36.0,0.0001,,,0.00027,0.0,,1.3000000000000001e-05,0.7879999999999999,0.07100000000000001,0.0,,0.00011999999999999999,0.5670000000000001,,,,0.8390000000000001,0.2,0.893,0.0,,1e-06,0.00022999999999999998,0.0,5e-07,,,0.00016999999999999999,0.0,0.001475,0.14,0.0,,0.0
"latte di vacca, parzialmente scremato vitaminizzato",,,0.89,,,,0.0,0.0,0.253,0.0,0.0,0.0,0.0,0.0,,,,0.7240000000000001,0.05,0.05,0.03,0.17,0.0,0.43,0.45,0.04,0.00032,0.21,90.0,0.11199999999999999,,0.0,,0.0,0.0,0.099,,,2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,45.0,45.0,,5.0,,,,0.035,0.1,,0.006999999999999999,,,,0.165,0.0001,,,0.0,,,,7.999999999999999e-05,,0.09,0.0,0.0,0.066,0.0,,,,1.5e-05,0.18,0.08700000000000001,5.0,0.33299999999999996,,1.5,1.5,0.0,,0.256,,0.018000000000000002,0.0,0.0,0.076,0.47,0.001,100.0,0.08,0.17,0.34900000000000003,3.1,3.1,0.0,,2.9999999999999997e-05,,,0.00015,0.0,,1.6e-06,0.191,0.046,0.01,,0.0001,0.133,,,,0.154,0.047,0.21899999999999997,4.2e-05,,4e-07,0.00023999999999999998,0.015,2e-06,,,0.002,0.0,0.0005,0.031,5.0,,3.6e-05
