,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
camembert,0.35,0.0002,0.31,0.02,0.1,2e-05,0.0145,0.0023799999999999997,15.25,1.62,0.44,2.68,7.22,2.52,,,7.02,,0.88,5.75,0.0,0.0,0.72,0.45,0.27,0.0,0.0,0.0,0.0,5e-05,0.0005200000000000001,0.001,0.000283,0.0,,100.0,50.7,20.9,,,0.0,23.7,15.25,7.02,0.72,0.0,0.0,0.0,0.078,0.65,0.0,0.0,999.99,683.0,701.0,999.99,717.0,999.99,999.99,999.99,379.0,819.0,109.0,999.99,565.0,968.0,999.99,999.99,999.99,307.0,106,treonina,297.00
rombo (rhombus maximus),0.038,0.0012,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,79.5,16.3,1.2,1.2,0.0,1.3,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,81.00
sarago (diplodus vulgaris),,,,,,,,,0.28,0.0,0.0,0.02,0.18,0.06,0.0,0.0,0.21,0.0,0.04,0.11,0.02,0.0,0.31,0.01,0.01,0.04,0.05,0.0,1.1,,,,,,,,,,,,,1.2,0.28,0.21,0.31,0.0,0.0,0.0,0.065,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"pollo, sovracoscio con pelle crudo (gallus gallus)",0.01,0.0008,,0.021,0.277,0.0001,,0.00145,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,86.0,67.4,17.4,0.0,0.0,0.0,14.0,,,,0.0,0.0,0.0,0.082,0.07100000000000001,0.0,0.0,859.9914,428.28,859.9914,859.9914,721.54,677.68,859.9914,628.66,780.02,859.9914,175.44,767.98,444.62,748.1999999999999,859.9914,487.62,586.52,172.0,100,Trip.,196.00
"albicocche, secche (prunus armeniaca)",0.067,0.005,0.108,0.047,0.979,0.00041999999999999996,0.0022,0.00074,0.03,0.0,0.0,0.0,0.02,4.0,,,0.2,,0.0,0.2,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,2.8,1e-05,0.00016,0.0033,0.00109,0.012,,100.0,25.0,5.0,66.5,66.5,0.0,0.5,0.03,0.2,0.09,,,,0.0,0.026000000000000002,0.0,0.0,253.0,60.0,141.0,836.0,131.0,210.0,369.0,218.0,113.0,180.0,12.0,133.0,18.0,112.0,214.0,85.0,151.0,65.0,32,solforati,274.00
liquori da dessert,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,100.0,40.8,,31.1,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.2,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,314.00
lenti colorate ripiene di cioccolato,0.15,0.0015,0.16,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,0.00079,0.0003,2.8e-05,0.0,,100.0,1.5,5.4,73.9,70.8,2.8,17.5,,,,,,,,0.058,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,456.00
"fagiolini surgelati, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati] (phaseolus vulgaris)",0.056,0.0006,0.033,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,8.999999999999999e-05,0.0004,2.9999999999999997e-05,0.007,,100.0,90.0,1.7,4.6,2.1,2.3,0.1,,,,2.9,0.86,2.07,0.0,0.008,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,25.00
pomodori san marzano (solanum lycopersicum l.),0.004,0.0003,,0.01,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00061,0.024,,100.0,94.1,1.1,3.0,3.0,0.0,0.2,,,,,,,0.0,0.003,0.0,1e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,17.00
olive verdi (olea europeae l.),0.064,0.0016,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-05,8e-05,0.0005,4.8e-05,,,84.0,76.8,0.8,1.0,1.0,0.0,15.0,,,,3.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,142.00
italico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,,,100.0,49.2,21.2,1.2,1.2,0.0,25.2,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,316.00
"barbabietole rosse cotte al forno (beta vulgaris, cv. rapa forma rubra)",0.02,0.0004,0.041,,0.5,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,3e-05,2e-05,0.0002,,0.007,,100.0,80.3,1.1,8.0,8.0,0.0,,,,,3.6,,,0.0,0.16,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,40.00
banane (musa sapientium),0.007,0.0008,0.028,0.029,0.35,0.0001,0.0011,0.00016,0.18,1.0,2.0,3.0,0.12,6.0,,,0.04,,0.01,0.02,0.0,0.0,0.08,0.05,0.03,0.0,0.0,0.0,0.4,6e-05,6e-05,0.0007,4.4999999999999996e-05,0.016,0.00027,65.0,76.8,1.2,18.4,18.2,2.4,0.3,0.18,0.04,0.08,1.8,0.62,1.19,0.0,0.001,0.0,,31.85,58.5,58.5,81.9,26.650000000000002,30.55,71.5,31.85,32.5,34.45,20.8,31.200000000000003,15.600000000000001,22.75,36.4,105.95,30.55,9.1,70,Lis.,89.00
seitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,75.0,23.0,1.0,,,0.5,,,,0.0,,,0.0,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,100.00
rene di ovino (ovis agnus),,,,0.017,,0.0004,0.145,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
avocado (persea gratissima),0.013,0.0006,0.044,0.039,0.45,,0.0004,0.00041999999999999996,2.48,0.0,0.0,0.0,2.48,0.0,0.0,0.0,18.33,0.0,0.75,17.57,0.0,0.0,1.45,1.33,0.09,0.02,0.0,0.0,0.6,8.999999999999999e-05,0.00012,0.0011,1.4e-05,0.018000000000000002,0.0064,76.0,64.0,4.4,1.8,1.8,,23.0,2.48,18.33,1.45,3.3,,,0.0,0.002,0.0,,71.44,22.04,44.84,215.08,50.160000000000004,61.56,157.32,58.52,63.08,90.44,15.96,73.72,28.12,53.96,93.48,37.24,51.68,15.96,76,istidina,231.00
"pesche, secche (prunus persica)",0.048,0.006,0.117,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,0.00019,0.0053,0.00039,0.018000000000000002,,100.0,25.0,3.1,68.3,68.3,0.0,0.7,,,,2.8,,,0.0,0.016,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,275.00
ketchup,0.025,0.0002,0.043,,5.901,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.001,8.999999999999999e-05,0.0021000000000000003,0.00022999999999999998,0.002,,100.0,64.8,2.1,24.0,22.9,1.0,,,,,0.9,,,0.0,1.12,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,98.00
"pomodori, succo (solanum lycopersicum l.)",0.01,0.0004,0.019,,0.23,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,2e-05,0.0007,0.00019999999999999998,0.002,,100.0,93.8,0.8,3.0,3.0,,,,,,0.6,,,0.0,0.23,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"caramelle tipo ""mou""",0.095,0.0015,0.064,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,100.0,4.8,2.1,71.1,70.0,1.0,17.2,,,,0.0,0.0,0.0,,0.32,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,430.00
yogurt intero bianco,0.125,0.0001,0.105,0.012,0.17,0.009,0.002,0.00041,2.07,0.33,0.12,0.36,0.92,0.34,0.0,0.0,0.84,0.0,0.01,0.83,0.0,0.0,0.13,0.08,0.05,0.0,0.0,0.0,0.1,4e-05,0.00019,0.00011,3.7999999999999995e-05,0.001,8e-05,100.0,87.0,3.8,4.3,4.3,0.0,3.9,2.07,0.84,0.13,0.0,0.0,0.0,0.011,0.048,0.0,0.0,260.0,90.0,110.0,260.0,140.0,180.0,640.0,300.0,70.0,110.0,30.0,210.0,90.0,160.0,300.0,190.0,170.0,40.0,96,Trip.,66.00
"latte di vacca uht, intero",0.12,0.0002,0.095,0.011,0.15,,,0.0003,2.11,0.32,0.11,0.37,0.92,0.39,0.0,0.0,1.1,0.07,0.1,0.93,0.0,0.0,0.12,0.07,0.05,0.0,0.0,0.0,0.1,4e-05,,,4.9999999999999996e-05,0.001,7.000000000000001e-05,100.0,87.6,3.3,4.7,4.7,0.0,3.6,2.11,1.1,0.12,0.0,0.0,0.0,0.011,,0.0,0.0,272.0,93.0,105.0,269.0,164.0,203.0,771.0,371.0,70.0,119.0,37.0,233.0,81.0,192.0,355.0,142.0,176.0,50.0,100,Trip.,63.00
"vegetali misti, surgelati: piselli, mais, carote, fagioli",0.026,0.0014,0.066,,0.208,,,,,,,,,,,,,,,,,,,,,,,,,0.00013000000000000002,7.000000000000001e-05,0.0012,0.0005,0.009000000000000001,,100.0,82.1,3.3,13.7,,,0.3,,,,,,,0.0,0.059000000000000004,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,67.00
formaggino,0.43,0.0003,0.65,,0.108,,,,,,,,,,,,,,,,,,,,,,,,,2e-05,0.0003,0.0001,0.00037,0.0,,100.0,52.6,11.2,6.0,6.0,0.0,26.9,,,,0.0,0.0,0.0,,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,309.00
pandoro,0.149,0.003,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,26.9,8.4,45.2,22.9,30.3,19.7,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,390.00
crackers senza grassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,,,,,,3.3,1.48,1.84,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
farina di frumento duro (triticum durum),,0.0035,,0.12,0.004,5.9999999999999995e-05,0.0023,7.000000000000001e-05,0.27,0.0,,,0.26,0.01,,,0.2,,,0.2,,,0.75,0.71,0.03,,,,2.7,,,,,0.0,,100.0,12.5,12.9,63.2,3.2,54.5,2.8,0.27,0.2,0.75,3.5,,,0.0,0.002,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,314.00
maionese,0.018,0.0005,0.028,,,,,,6.93,0.0,0.0,0.0,5.18,0.21,0.07,0.0,14.14,0.0,0.14,13.72,0.14,0.14,46.06,40.88,5.18,0.0,0.0,0.0,6.6,2e-05,4e-05,,8.4e-05,,,100.0,15.0,4.3,2.1,2.1,0.0,70.0,6.93,14.14,46.06,0.0,0.0,0.0,0.07,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,655.00
farina d'orzo (hordeum vulgare),0.032,0.002,0.309,,0.096,0.00268,0.00037,0.296,0.33,0.0,4.0,8.0,0.28,0.01,,,0.2,,4.0,0.16,,,0.77,0.69,0.07,,,,2.3,0.00011,0.0,0.00626,0.0,,0.00034,100.0,12.11,10.5,64.42,,,1.6,0.33,0.2,0.77,10.1,,,0.0,0.004,,,391.0,236.0,526.0,655.0,356.0,443.0,999.99,999.99,380.0,409.0,232.0,515.0,202.0,383.0,713.0,301.0,589.0,175.0,0.0,,345.00
minestrone liofilizzato,0.12,0.0028,0.16,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.00021,0.00015,0.0031000000000000003,,0.0,,100.0,3.9,10.1,47.6,15.0,29.4,8.8,,,,,,,0.0,5.6000000000000005,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,298.00
"sardine, sott'olio (sardina pilchardus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,0.12,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"fagioli -cannellini secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati] (phaseolus vulgaris)",0.047,0.0017,0.143,,0.289,0.0002,,0.0015400000000000001,,,,,,,,,,,,,,,,,,,,,,0.0001,1e-05,0.0006,,0.0,,100.0,69.3,8.0,14.9,0.6,13.0,0.4,,,,7.8,1.05,6.78,0.0,0.002,0.0,,543.0,220.0,517.0,970.0,313.0,467.0,999.99,322.0,318.0,334.0,76.0,476.0,82.0,419.0,682.0,285.0,470.0,73.0,79,Solf.,91.00
mele fresche - annurche (pyrus malus (malus pumila)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,84.0,84.3,0.3,10.2,10.2,,0.1,,,,2.2,,,0.0,,0.0,6e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,40.00
"cuore di bovino, cotto (bos taurus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,0.274,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"uova di gallina, tuorlo, congelato",,,,,,,,,9.82,0.0,0.0,0.08,5.98,3.73,0.0,0.0,8.29,0.0,0.66,7.63,0.0,0.0,4.63,3.83,0.11,0.68,0.0,0.0,0.5,,,,,0.0,,100.0,,15.8,,,0.0,29.1,9.82,8.29,4.63,0.0,0.0,0.0,1.27,,0.0,0.0,999.99,394.0,999.99,999.99,826.0,999.99,999.99,685.0,490.0,878.0,328.0,993.0,422.0,842.0,999.99,663.0,707.0,237.0,100,Ist.,325.00
stracchino,0.567,0.0003,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,53.5,18.5,,,0.0,25.1,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,300.00
"coniglio, coscio (oryctolagus cuniculus)",,,,,,,,,2.76,0.03,0.02,0.19,1.95,0.55,0.01,0.0,1.64,0.0,0.17,1.47,0.0,0.0,0.82,0.72,0.02,0.08,0.0,0.0,0.3,,,,,0.0,,83.0,72.0,21.0,0.0,0.0,0.0,5.9,2.76,1.64,0.82,0.0,0.0,0.0,0.06,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,137.00
"salsiccia di suino, fresca",0.02,0.0028,0.173,0.014,0.2,8e-05,0.0248,0.0017900000000000001,11.27,0.08,0.06,0.56,6.64,3.93,,,14.34,,1.49,12.86,0.0,0.0,4.03,3.62,0.41,0.0,0.0,0.0,0.3,0.00034,3e-05,0.004,0.0,0.0,,100.0,53.6,15.4,0.6,0.6,0.0,26.7,11.27,14.34,4.03,0.0,0.0,0.0,0.076,1.1,0.0,0.0,999.99,565.0,999.99,999.99,653.0,642.0,999.99,876.0,949.0,994.0,191.0,812.0,393.0,737.0,999.99,520.0,614.0,132.0,78,Trip.,304.00
biscotti per l'infanzia,0.104,0.0019,0.225,,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,5.3,13.8,75.7,35.7,36.4,8.5,,,,,,,,0.2,0.0,,477.0,292.0,411.0,820.0,473.0,687.0,999.99,999.99,355.0,428.0,254.0,710.0,239.0,625.0,999.99,462.0,644.0,133.0,60,Lis.,416.00
uva (vitis vinifera),0.027,0.0004,0.004,,0.192,0.00027,,0.00011999999999999999,,,,,,,,,,,,,,,,,,,,,,3e-05,3e-05,0.0004,4e-06,0.006,,94.0,80.3,0.5,15.6,15.6,0.0,0.1,,,,1.5,,,0.0,0.001,0.0,,14.1,23.5,47.94,78.96,17.86,31.02,134.42,21.619999999999997,19.74,27.259999999999998,10.34,17.86,21.619999999999997,5.64,13.16,11.28,13.16,2.82,42,Leu.,61.00
caciotta romana di pecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00037999999999999997,,,100.0,32.5,27.7,2.1,2.1,0.0,27.3,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,364.00
"trota, surgelata (salmo trutta)",0.015,0.0021000000000000003,0.22,0.025,0.47,,,0.0012,0.41,0.0,0.0,0.06,0.28,0.07,0.0,0.0,0.49,0.0,0.07,0.3,0.07,0.05,0.7,0.16,0.0,0.02,0.1,0.37,1.7,8e-05,6e-05,0.003,,,,55.0,77.2,17.8,0.0,0.0,0.0,2.3,0.41,0.49,0.7,0.0,0.0,0.0,0.056,0.042,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,92.00
ciccioli,0.03,0.0014,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022,0.00019,0.002,,0.0,,100.0,12.0,40.8,0.0,0.0,0.0,40.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,523.00
"fave fresche, cotte [saltate in padella senza aggiunta di grassi e di sale] (vicia faba)",0.026,0.002,0.11,,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,81.0,6.1,5.3,2.6,2.5,0.5,,,,5.9,1.08,4.86,0.0,0.02,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,49.00
brie,0.54,0.0008,0.39,,0.1,,,,17.41,1.85,0.5,3.06,8.24,2.88,,,8.01,,1.0,6.56,0.0,0.0,0.82,0.51,0.31,0.0,0.0,0.0,0.0,4e-05,0.00043,0.0004,0.00031999999999999997,,,100.0,48.6,19.3,,,0.0,26.9,17.41,8.01,0.82,0.0,0.0,0.0,0.098,0.7000000000000001,0.0,0.0,999.99,716.0,735.0,999.99,751.0,999.99,999.99,999.99,397.0,859.0,114.0,999.99,592.0,999.99,999.99,999.99,999.99,322.0,106,treonina,319.00
"pasta di semola, cotta e condita al ragu'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,2.1,0.41,1.64,0.03,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"patate novelle, cotte [bollite in acqua distillata senza aggiunta di sale] (solanum tuberosum)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,1.4,0.38,1.05,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"tonno, sott'olio (euthynnus pelamis)",,,,,,,,,3.93,0.0,0.0,0.0,3.57,0.36,0.0,0.0,8.57,0.0,0.0,8.57,0.0,0.0,8.01,7.65,0.19,0.0,0.0,0.17,2.0,,,,,0.0,,100.0,,,0.0,0.0,0.0,20.5,3.93,8.57,8.01,0.0,0.0,0.0,0.055,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"pollo, fuso senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (gallus gallus)",0.015,0.0014,,0.034,0.406,0.00023,,0.00309,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,64.0,62.3,29.9,0.0,0.0,0.0,6.2,,,,0.0,0.0,0.0,,0.128,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,175.00
trota (salmo trutta),0.014,0.002,0.22,0.025,0.465,,,0.0011899999999999999,0.7,0.0,0.0,0.13,0.35,0.22,0.0,0.0,0.77,0.0,0.25,0.52,0.0,0.0,1.17,0.37,0.1,0.05,0.15,0.5,1.7,8e-05,6e-05,0.003,,,,55.0,80.5,14.7,0.0,0.0,0.0,3.0,0.7,0.77,1.17,0.0,0.0,0.0,0.055,0.04,0.0,0.0,549.9945,245.85000000000002,457.05,549.9945,353.1,314.6,549.9945,306.35,469.70000000000005,504.35,81.95,431.20000000000005,211.20000000000002,366.3,549.9945,245.85000000000002,301.40000000000003,89.10000000000001,100,Trip.,86.00
"tacchino, sovracoscio, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (meleagris gallopavo)",0.008,0.0015,,0.035,0.475,0.00019,,0.0049299999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,84.0,61.0,30.2,0.0,0.0,0.0,6.8,,,,0.0,0.0,0.0,0.108,0.114,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,182.00
"ceci secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati] (cicer arietinum)",0.058,0.0022,0.148,0.037,0.302,0.0003,0.001,0.0017,,,,,,,,,,,,,,,,,,,,,,0.0002,4e-05,0.0009000000000000001,4e-06,,,100.0,63.6,7.0,18.9,1.3,16.0,2.4,,,,5.8,0.47,5.29,0.0,0.005,0.0,,498.0,184.0,677.0,795.0,259.0,366.0,999.99,273.0,273.0,490.0,80.0,320.0,73.0,306.0,542.0,199.0,425.0,76.0,87,Solf.,120.00
gorgonzola,0.401,0.0003,0.326,0.02,0.111,,0.0073,0.00281,13.1,1.91,0.59,2.03,5.64,2.93,0.0,0.0,7.1,0.0,0.74,6.36,0.0,0.0,0.73,0.45,0.28,0.0,0.0,0.0,0.1,1e-05,0.00017999999999999998,0.0009000000000000001,0.000287,0.0,0.0005200000000000001,100.0,50.8,19.1,1.0,1.0,0.0,27.1,13.1,7.1,0.73,0.0,0.0,0.0,0.07,0.6,0.0,0.0,999.99,490.0,530.0,999.99,710.0,930.0,999.99,999.99,360.0,600.0,140.0,999.99,600.0,900.0,999.99,999.99,920.0,210.0,100,Trip.,324.00
"uova di gallina, intero, congelato",,,,,,,,,3.17,0.0,0.0,0.03,1.9,1.21,0.0,0.0,2.58,0.0,0.23,2.35,0.0,0.0,1.26,1.06,0.04,0.16,0.0,0.0,0.4,,,,,0.0,,100.0,77.1,12.4,,,0.0,8.7,3.17,2.58,1.26,0.0,0.0,0.0,0.37,,0.0,0.0,880.0,298.0,767.0,999.99,623.0,842.0,999.99,496.0,416.0,719.0,323.0,823.0,437.0,657.0,999.99,503.0,662.0,197.0,100,Lis.,128.00
"prosciutto crudo, disossato",0.015,0.0012,0.177,0.026,0.454,0.00016,0.0056,0.0025,4.24,0.0,0.0,0.18,2.67,1.22,,0.0,5.76,0.0,0.37,5.24,0.11,0.0,1.59,1.28,0.12,0.11,0.0,0.0,0.4,0.0006,0.0002,0.005,,0.0,,100.0,53.0,26.9,0.0,0.0,0.0,12.9,4.24,5.76,1.59,0.0,0.0,0.0,0.066,2.238,0.0,0.0,999.99,970.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,312.0,999.99,675.0,999.99,999.99,882.0,999.99,282.0,95,Trip.,224.00
cacao amaro in polvere,0.051,0.0143,0.685,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,0.0003,0.0017,7e-06,0.0,,100.0,2.5,20.4,11.5,,10.5,25.6,,,,,,,0.0,,0.0,0.00192,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,355.00
pane di tipo 1,0.013,0.0014,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,7.000000000000001e-05,,0.0,0.0,,100.0,34.0,8.9,59.7,2.2,52.3,0.6,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,265.00
"sedano, cotto [in forno a microonde senza aggiunta di acqua e di sale] (apium graveolens)",,,,0.018,,0.0001,0.003,0.00125,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
vino da pasto bianco,0.009,0.001,0.074,,0.061,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1e-05,5e-05,0.0,0.0,0.0,0.0,100.0,89.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,10.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,70.00
marmellate 50% zuccheri,0.018,0.0014,0.007,,0.1,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,2e-05,0.0009000000000000001,0.0,0.004,,100.0,36.0,0.5,50.0,50.0,0.0,,,,,2.2,,,0.0,0.012,0.0,0.0,,,,,,,,,,,,,,,,,,,,,200.00
carciofi crudi (cynara scolymus),0.086,0.001,0.067,0.045,0.376,0.00023999999999999998,0.0002,0.00095,0.03,0.0,2.0,2.0,0.02,3.0,,,5.0,,0.0,5.0,0.0,0.0,0.06,0.04,0.01,0.0,0.0,0.0,1.8,6e-05,0.0001,0.0005,1.8e-05,0.012,0.00019,34.0,91.3,2.7,2.5,1.9,0.5,0.2,0.03,5.0,0.06,5.5,,,0.0,0.133,0.0,,27.540000000000003,13.260000000000002,57.46,140.42000000000002,41.480000000000004,47.260000000000005,102.00000000000001,46.24,43.18,48.96,12.920000000000002,51.00000000000001,14.620000000000001,41.14,66.64,23.46,39.1,5.78,52,Lis.,22.00
latte di soia 2% zuccheri,0.013,0.0004,0.047,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,0.00027,0.0001,0.0,0.0,,100.0,89.7,2.9,2.0,2.0,,1.9,,,,,,,0.0,0.032,0.0,,,,,,,,,,,,,,,,,,,,,,40.00
"tonno, ventresca, in salamoia, sgocciolata (euthynnus pelamis)",,,,,,,,,0.96,0.0,0.0,0.1,0.57,0.26,0.0,0.01,1.31,0.0,0.25,0.8,0.03,0.14,1.72,0.07,0.04,0.06,0.32,0.9,1.8,,,,,0.0,,100.0,,,,,0.0,5.7,0.96,1.31,1.72,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
