,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
total cobalamin,,2.783425662449221,76929956313.53268,72960.56755358854,2.1931900288058883,24090.801878679416,3.2803241504560854e+21,24122.82141136497,1.264076660721322e+33,71900.88106595672,0.0,57.67201276001408,858.1842140238966,64.40753192294024,9.03240073620849,3.1164433666822413,7.849288461515146e+31,1.5350339572619734e+49,5.2590766985791765e+32,8.491990707514503e+30,43.06341669731156,1.2750226830164532e+21,450340175790809.4,2.133587758298931,1.0221526300108608e+44,1270652202346.943,5415504758.487309
total iron fe,,377.14580013802356,161121212.37417606,355.64679830865293,58734.95767635067,221.98389012027002,1.596105441943425e+19,488.30131477917894,1.3302830091045951e+31,219.45194612122572,57.67201276001408,0.0,3.081905671922696,2.5741301607525258,5.49664939997494,549.69415793279,1.0089484472228485e+30,1.9998255110771495e+48,6.881479398672195e+30,2.1756199281911934e+29,3.253568258380786,8.540095857856028e+18,1128913817533.1025,1976112.0830702686,3.7608122856409255e+42,7351528499.0639715,65724829.34796173
zinc zn,,37090.08617160809,539777140.9079806,281.5369533935652,46342579.98650214,290.35710359925014,7.585428869951294e+20,620.1404350759343,2.4074692412158825e+33,137.14939108099225,858.1842140238966,3.081905671922696,0.0,2.242273416841753,24.843069063689263,15016.594499805225,1.3818463297625524e+32,3.526079060097e+50,3.442873978204403e+33,3.263933455750084e+31,2.4129285600404224,1.0583184489308599e+21,39037264855966.83,11429232610.614773,1.4533453671981797e+46,26251903974.777897,134354034.82268056
polyunsaturated fats,,176.7069224563259,250600498.6071746,330.6934768759819,1769.3109682146005,152.55013871024997,2.0260527586893326e+20,437.35480082496184,1.012151598857478e+34,81.27918825332912,64.40753192294024,2.5741301607525258,2.242273416841753,0.0,5.532327410068253,85.2445108077159,6.2138866540313674e+32,7.056120079775085e+50,9.59118302039576e+32,5.333662109530156e+31,2.4772745338920323,9.026714857965765e+19,824220954530.0558,9048.802898158794,4.2719217733916223e+46,18362788704.27738,101068327.77204596
vitamin e,,6.879881877303911,210127030.51494452,987.6478324576294,25.908578715039553,542.4735178253187,2.4870218276406596e+19,550.7750845784801,3.820740099420636e+32,1114.4785065065385,9.03240073620849,5.49664939997494,24.843069063689263,5.532327410068253,0.0,6.601236773666358,1.7336214059383394e+31,3.2247931278765265e+49,5.987573390743111e+31,1.1063219090898498e+30,7.032308158478757,1.2808406018966657e+19,770647037869.402,81.1474765505589,3.1298522048609627e+44,19232802591.393795,61161524.33657992
alpha-linolenic acids,,2.250263288184874,58014755.30796907,5660.505941898804,9.935946777956595,8372.917298750375,3747620807182877.0,3156.2510227674993,9.668448608545165e+22,142840.98097266888,3.1164433666822413,549.69415793279,15016.594499805225,85.2445108077159,6.601236773666358,0.0,2.4007751795322867e+22,3.1837222956324125e+41,6.787780905503512e+23,5.628282460312787e+21,69.3027062751532,1.342251288174888e+16,174219383452.0051,58.33524337721715,3.0541691456016104e+30,962608285.7865779,6411830.837660868
total phosphorus,,3.5446625545428344e+31,8.407382347581455e+27,4.633570987554145e+28,5.698172980191337e+31,7.186293188913078e+28,2.8367965266578372e+16,1.677143237140957e+29,906.9650257429131,4.449541866373283e+28,7.849288461515146e+31,1.0089484472228485e+30,1.3818463297625524e+32,6.2138866540313674e+32,1.7336214059383394e+31,2.4007751795322867e+22,0.0,21.90950158760907,231.24162080475443,388.1367101552358,4.880525740921604e+24,6.677280782026544e+16,2.2998301885192406e+26,4.411082072254372e+33,3.5989332158170304e+26,3.4914050456626225e+19,8.334882195824641e+23
quantity,,1.535033957261864e+49,3.2247931278765265e+49,1.185102829825551e+48,9.297036773663183e+48,1.9998255110771495e+48,2.124016174372098e+37,2.8622997668444358e+47,19073674.640598916,6.983486130412997e+47,1.535033957261864e+49,1.9998255110771495e+48,3.526079060097e+50,7.056120079775085e+50,3.2247931278765265e+49,3.1837222956324125e+41,21.909501587609103,0.0,838.5121330438693,673801.4958573929,8.80224589824734e+43,1.6139705142413495e+43,1.418667476147394e+49,3.526079060097e+50,8.15652111744529e+37,8.406807788911646e+42,3.2247931278765265e+49
vitamin a,,2.0358409997991072e+33,5.619378424235075e+24,8.621649599713645e+26,5.261397405422021e+33,1.2640121007213002e+27,696325405135.1724,3.784705447706925e+26,10798844.423313227,1.2084875228509401e+28,5.2590766985791765e+32,6.881479398672195e+30,3.442873978204403e+33,9.59118302039576e+32,5.987573390743111e+31,6.787780905503512e+23,231.24162080475443,838.5121330438693,0.0,3.411326216376708,6.486165837633807e+24,11044485918347.129,6.022951059933667e+22,5.479908982564242e+35,2.192002349875505e+31,1.1542106700641016e+16,6.1199692205748e+20
B-carotene,,3.6698320182379786e+30,1.475667754521904e+24,5.028940306035965e+26,5.057377413891274e+30,7.271765019187265e+26,8527727659.460687,2.4407153948507038e+26,6020657.135187025,1.7195552156276109e+27,8.491990707514503e+30,2.1756199281911934e+29,3.263933455750084e+31,5.333662109530156e+31,1.1063219090898498e+30,5.628282460312787e+21,388.1367101552358,673801.4958573929,3.411326216376708,0.0,3.646881257138733e+23,97615668418.35623,4.9158836033969e+21,2.5475599739031377e+32,9.157986981286987e+28,241428692150004.53,9.082626114166041e+18
linoleic acids,,115.71983828279727,662913.5928885562,58.888325863521054,710.3905400944022,34.11112556314259,246557889387101.78,67.56382694338797,4.9400708180280794e+25,18.202739276035114,43.06341669731156,3.253568258380786,2.4129285600404224,2.4772745338920323,7.032308158478757,69.3027062751532,4.880525740921604e+24,8.80224589824734e+43,6.486165837633807e+24,3.646881257138733e+23,0.0,292664185730572.06,128423073.43225838,1960.3601177946814,1.1106477580584159e+35,17973186.65957764,433204.1390074939
total iodine i,,6.771813477235515e+21,696729232.246331,48527654554375.65,1.3453360671736396e+23,55535585182030.15,2.0895974035876566,4328713139954.631,2.216568698130571e+20,1895201884280385.5,1.2750226830164532e+21,8.540095857856028e+18,1.0583184489308599e+21,9.026714857965765e+19,1.2808406018966657e+19,1.342251288174888e+16,6.677280782026544e+16,1.6139705142413495e+43,11044485918347.129,97615668418.35623,292664185730572.06,0.0,1673266.267430549,3.444383316981285e+24,4.347911897385515e+40,108.09083544922917,28448.821211118324
lipids,,4217697864129383.5,8.60340959713065,49262.16652445362,2.553382598346313e+16,115385.42300308422,1112031.8847419836,4638.419084667436,2.2885315689034486e+28,8989573.716381408,450340175790809.4,1128913817533.1025,39037264855966.83,824220954530.0558,770647037869.402,174219383452.0051,2.2998301885192406e+26,1.418667476147394e+49,6.022951059933667e+22,4.9158836033969e+21,128423073.43225838,1673266.267430549,0.0,4.739363874732164e+17,4.6819887963852546e+45,25.309709985565178,2.448506066114103
total vitamin b1,,50.64517101450883,952543439168.718,1178482.3262306135,4.806657079161536,5271633.188562896,8.965897723184402e+23,374598.70260050305,6.981531007011087e+34,2132993914.125774,2.133587758298931,1976112.0830702686,11429232610.614773,9048.802898158794,81.1474765505589,58.33524337721715,4.411082072254372e+33,3.526079060097e+50,5.479908982564242e+35,2.5475599739031377e+32,1960.3601177946814,3.444383316981285e+24,4.739363874732164e+17,0.0,1.4533453671981797e+46,82324297054630.4,25241544754.19733
calories,,1.0221526300108608e+44,2.9241869327279216e+44,1.519866894104237e+42,4.562708940295867e+43,3.263435365374658e+42,2.542656159829883e+43,3.458579563641464e+43,7895515996783610.0,6.664668238031443e+41,1.0221526300108608e+44,3.7608122856409255e+42,1.4533453671981797e+46,4.2719217733916223e+46,3.1298522048609627e+44,3.0541691456016104e+30,3.5989332158170304e+26,8.15652111744529e+37,2.192002349875505e+31,9.157986981286987e+28,1.1106477580584159e+35,4.347911897385515e+40,4.6819887963852546e+45,1.4533453671981797e+46,0.0,2.1099303178682008e+41,6.447022209963673e+43
dietary folate,,1254835458438.4233,486.594272165003,1119891.9304780958,9424019095441.324,1559622.6054559925,160.32925777314185,292717.8008157525,7.433500896681252e+22,9784799.475578392,1270652202346.943,7351528499.0639715,26251903974.777897,18362788704.27738,19232802591.393795,962608285.7865779,3.4914050456626225e+19,8.406807788911404e+42,1.1542106700641016e+16,241428692150004.53,17973186.65957764,108.09083544922917,25.309709985565178,82324297054630.4,2.1099303178682008e+41,0.0,12.231497724804063
total complex sugars,,2458517729.6720977,10.902877619724096,9544.996221160693,5903024114.186216,14141.489270086111,65018.55342216837,2286.8210376310535,7.341637686046543e+26,80114.7847844879,5415504758.487309,65724829.34796173,134354034.82268056,101068327.77204596,61161524.33657992,6411830.837660868,8.334882195824641e+23,3.2247931278765265e+49,6.1199692205748e+20,9.082626114166041e+18,433204.1390074939,28448.821211118324,2.448506066114103,25241544754.19733,6.447022209963673e+43,12.231497724804063,0.0
