,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
lipid,,467005039346.5552,2.4580492423252305,2397.881586082812,4632791314626.05,3572.094677275491,376320605.4142434,350.8444241645673,1.1938163913025883e+32,39534.58007618648,155807326620.91727,209551934.37303448,1081301633.1480591,262927663.4504683,497874630.0686221,185061777.01350847,9.445071310637954e+29,2.3079214021325833e+53,3.481181928107739e+26,1.4464335899126725e+25,357315.50481636776,504825505.4367105,6.673391050256015,49644340087571.016,1.252993282637634e+50,305.6518766570014,8.089428085035365
total 12-octadecadienoic acid,,10.415188845493189,93762972.96574037,945.8488892091095,54.31291418434732,450.9137912833477,3.8390416163210214e+17,756.1026662460567,2.1683796717271576e+28,466.69980149220316,8.517899406780005,3.878605857639851,9.08973117751723,4.620911902654587,2.108174039358047,11.75047161206602,2.383302587664564e+27,4.5820360133513195e+45,7.871578699599238e+27,5.1101623018425666e+26,5.737278121180581,2.497930520417824e+17,157443394057.22598,169.19593276812256,1.323070159384356e+38,3048909360.126621,30812507.19497006
starches,,8412393.308220504,2.8487324692724,49.9432269257261,31815850.748602144,80.93040770477026,80233592.25496683,29.03655832191721,3.7743815014509325e+31,207.81613969295685,3533408.6351011484,47996.86133515523,82466.97033663034,49153.99678623648,75297.81998836118,110121.17747236918,9.206980095845958e+28,1.88801051425744e+53,1.0205979211402447e+26,1.1872248660224078e+24,1859.7516481248529,37507970.21473661,12.178709226715844,159854140.46127316,5.572246706914895e+49,348.780223751045,14.1303851710629
total sodium,,1.797668979540941e+44,9.747391365131204e+41,1.4553614690253066e+41,9.915580035819622e+43,2.4916230730058496e+41,2.364380818959637e+34,1.3006178176044872e+42,29.254715134173953,1.139823527198207e+41,1.6889896373790354e+44,3.039783444209424e+42,1.7473488640050847e+46,4.937904801765264e+46,2.0884295618587446e+44,1.3683647873571673e+30,48100523.783892795,1.0696140106982752e+17,890815561887991.0,97039459876792.81,2.166048290681394e+34,1.8329187052495894e+33,9.539338725194005e+41,5.206364185953593e+46,1353079240463887.8,6.245029892354724e+34,3.5844508592897865e+39
potassium k,,2.2395544849821604e+43,4.4780205490758565e+42,1.5276155642998436e+41,1.0696183813623996e+43,2.193319514226497e+41,8.652588248259973e+33,1.0294522474863586e+42,5.555453035633201,1.0111792191097456e+41,2.2395544849821604e+43,8.26063233711968e+41,3.400541977806522e+45,7.94059355582769e+45,4.0550142012988066e+43,8.436380934268931e+29,1268702.041847391,189634453418.5201,11077212989189.334,2338857087457.5425,1.7033622224149456e+34,2.2253201153744786e+33,1.8089824036802354e+42,3.400541977806522e+45,1.1261778400106203e+17,3.5325913543265603e+34,2.8519622194615466e+39
total vitamin d,,4.857598291162143,39817768918.593704,15203.20740041467,21.28596703594823,9451.834676415912,3.549852036328059e+22,7084.337764181512,3.7581698569699776e+35,21714.530617834716,5.554724207334205,19.281879891841793,229.36984643901351,18.667655039141074,3.0166520199001763,4.29181393938029,1.5843014257325408e+34,8.21257490440568e+51,3.1382609406542875e+35,1.411718489660971e+33,18.27498389907532,2.7048126368085386e+22,2086140549138538.5,88.98003731451915,1.8386300965524312e+48,1512352138771.0178,2875340866.7976227
water,,2.993197254654158e+32,1.0655679418597874e+27,1.3844512123833058e+28,4.291895207228014e+32,9.298736868255331e+27,13179608643.362776,1.6827222782651654e+28,693565409517022.8,2.5934322162705467e+28,1.9830769411348112e+32,2.340328739669563e+30,6.726214883404449e+32,1.540126224275799e+33,4.106143818788619e+31,2.2325006839370964e+22,26466178.33054204,1.5586008977912707e+38,1445.876266490063,30.924196838821636,2.3669544145260004e+24,6234736430752.943,1.0101437946517576e+24,6.469361921006869e+34,1.0576468635177312e+43,1.2433479800888504e+16,5.336244479488097e+21
total selenium,,1605675.9160641283,2.682707026476321,407.99946113585855,3799693.3806942473,745.4187852493781,50622343.65277165,175.66029819963828,6.472796871651675e+32,1375.3043354136485,8483250.559799304,144989.78763360318,212307.90524065288,456089.21979980054,163756.63085467953,27054.634379369094,1.709789452777698e+30,4.430618337133662e+53,1.1588136673105223e+26,3.1008440031676744e+24,5577.1357071187385,45558867.16504156,4.054226737190234,14800901.757282326,8.544935153765791e+51,228.46900115341631,7.008765915005179
total sugars,,4524.298632860569,32.80589156740867,4.661894328434337,17427.421494061186,5.986582971562389,198929059703.17648,2.956187202404479,2.391940709833137e+32,8.544968311524261,6886.292646509425,290.5634900215123,282.72595093004554,293.71984576232785,347.2907636549432,799.0035346650909,1.8354049360112627e+30,5.127673964895032e+50,1.6531820186532438e+27,1.2937536849147182e+26,51.565697505851645,38804872113.96676,429.6963438811778,53491.06450415219,1.0278387056792127e+48,32958.98478477158,420.7080006428187
total polyunsaturated lipids,,582.1595471631151,23938288.610514242,79.73618154260038,6986.409704302466,43.69526329451448,1.1644575715439364e+20,98.2659107451081,3.621657631707282e+35,26.023861431936112,289.6607115887869,4.524979714793664,2.6568659350667407,3.430770888693141,14.678492704250779,185.43579876892827,1.3282298457459404e+34,5.54075204247786e+52,9.581544227505456e+33,3.483014230570245e+32,2.5170437586699816,4.645133052327417e+19,87919012538.78798,35134.05629452952,2.9970651243470707e+49,4805234662.215526,16218521.833184125
folate,,1.84360968189303e+20,200195463004.5828,3458797923836030.0,3.6462819432676957e+20,3724932158328293.0,7.6028035582499065,1052085906829346.5,7.397779077943647e+18,2.5478031323206108e+16,9.942171686121742e+20,6.20544368025292e+18,1.86599587438518e+20,4.0146597615901363e+20,1.6213248577393215e+19,123701671350296.75,69557736599793.64,1.8794110835869208e+36,5748274505.024478,63661274.244293064,444168131265984.2,11.591601714915816,429554219.6208592,1.0737050927274628e+22,1.1564408929590964e+43,3581.542303388392,3899186.6504940894
total cholesteryl alcohol,,4.7498517748865884e+19,6964620.039402977,861559993407.365,1.898033437537106e+20,1280237046182.6177,3.0270729726154615,59404455065.96366,6.556591970981938e+21,26584929072640.63,5.9374247268532265e+19,1.9501472637357952e+17,7.629431339980509e+18,3.015674695163457e+18,3.2748216071853824e+17,45389492062153.4,5.571084023425387e+16,3.4235633076256463e+34,1189166183279.6084,23731650277.959038,7803823043654.2705,2.3661383964945477,54606.30829035199,3.412938030639465e+21,3.493580787565849e+45,49.49884455862659,5946.642204997794
total zinc zn,,8493.22569451649,441380387.3804874,271.4167006859117,3456379.0861667935,237.91836387831057,5.428890463368608e+20,494.0318984355545,3.5124388241569244e+33,114.18671787924849,488.8140882700982,3.2043707591293695,2.0541333266753337,2.1617769630157606,17.260745439094126,4818.5325492145475,1.9705224488333726e+32,4.448718661106212e+50,3.055060941786162e+33,4.516002438361705e+31,2.295353854030494,5.7215542807418156e+20,21271241580033.832,207644550.53039268,2.0872918949331566e+46,23596284507.33584,138477619.8785248
total iodine i,,15913559391131.018,15479.557868596325,87206995.44979675,69429546028443.85,116807867.97419378,50.1557748820141,29758344.252678648,3.0581755960635927e+25,477235103.34391296,41220872461250.414,253357877426.33246,1372663672640.7385,1856232373040.7554,477995582106.7652,2314038817.200112,5.13682188107865e+21,3.997209972384602e+48,1.0694832160680133e+18,3226000003193966.5,383691674.8055766,41.123679968170805,280.7966229508971,791602784635957.8,3.269896097166866e+46,3.415673095462239,62.47636353322559
total B-carotene,,4.613349604725121e+31,1.047521667084765e+24,1.805720384181327e+26,1.3230711998688184e+32,3.0586064376743392e+26,53035844650.51809,2.411649072160433e+26,4980129.53572975,9.402962182228386e+26,7.058505743523978e+31,2.6968340628135177e+29,9.408688707069994e+31,1.6358707097134328e+32,4.5166238262692557e+30,7.12858607056594e+21,198.52489604791262,6247.172548386781,2.3832308677821445,2.7319309774782026,2.706365891029939e+23,175710986841.99942,5.375023282198037e+21,1.7178530403209e+34,3.4788499825159075e+30,1016935228442645.8,5.089437423431727e+19
total calcium,,3.803986166456067e+21,7133558644375.346,1.081769312580157e+17,5.492905023429401e+21,9.252463942726571e+16,21.167487102226982,1.5947550147914266e+16,5.2285198203548563e+17,5.790677912633165e+17,2.328646973147617e+22,1.481402825483397e+20,6.494652851852287e+21,1.2138681559074707e+22,4.656092893743237e+20,888042925823270.9,6268170392956.995,3.110198649820066e+30,259267006.1081275,6968571.892249853,4733139954249879.0,29.00901923550801,8343426963.629072,1.0521212258832403e+23,1.3307368877256481e+42,17794.571164139586,30722212.802831035
vitamin a,,1.3531221695600309e+35,4.505153518816785e+29,1.2197735748773951e+31,1.2654000154886935e+35,1.0046774199632091e+31,1211862366311.089,2.0151508449897185e+31,1029421587.3542415,3.8598133948868357e+31,1.4027919920898934e+35,2.0973836025515054e+33,1.162352282936296e+36,2.9166117250549366e+36,2.7839543618318916e+34,8.617319746111339e+23,4031.1292727817813,4933976901.992582,7.747827510887769,2.583940589657864,2.0251740163152427e+26,13045682366273.406,1.8929330590334438e+26,2.189923970656692e+37,1.0561381644280249e+37,2.381885162718437e+17,1.5985040018031847e+23
total phosphorus p,,2.3111333896722902e+39,1.0296295558255658e+33,2.708257967204138e+34,2.5109703048476074e+39,5.727626516505733e+34,1.642394956591008e+18,5.897272716964502e+34,4548.888772331006,8.453251298314556e+34,4.430221935778616e+39,1.157081327192154e+37,1.8323665172748703e+40,6.041698945919586e+40,7.025659488006696e+38,5.1200920381774055e+26,2.4873524254785657,2.585753505325944,84.31197692760843,202.29164772595433,5.186122982313492e+29,5.631759803667122e+18,4.7055722820120645e+30,6.581895604048869e+41,3.667597399006946e+30,2.8366799398590124e+22,7.633951776235453e+27
