,label,vitamin b2,vitamin b6,dietary fiber,proteins,total cobalamin,total ascorbic acid,carbohydrate,total aneurine,total vitamin e,lipid,total 12-octadecadienoic acid,starches,total sodium,potassium k,total vitamin d,water,total selenium,total sugars,total polyunsaturated lipids,folate,total cholesteryl alcohol,total zinc zn,total iodine i,total B-carotene,total calcium,vitamin a,total phosphorus p
lipid,,1.4385037645045489e+27,5.84774473501074e+27,850748125823.374,1.6332949747393481,3.520466816311063e+16,195.45172746564768,27.892726288517668,1.5051490570377796e+30,1.6911728955009836e+16,0.0,3375296688086.1675,3.0097935942652403,3.295041335610572e+54,2.1888041443831175e+54,4.713761031654167e+19,6.206786761151277e+36,5.888902963255866,19.197222559872788,6854654164285.906,695858095845.4542,8526094.127459554,1.0931162733643324e+16,384077.3076901767,5.823153943176519e+29,202203569727974.8,5.95851113914174e+33,1.8987522033208858e+39
total 12-octadecadienoic acid,,37889.94988538403,2044543.1588350977,25.30571453801429,13168357449610.145,1.0221652482549157,422073.14985299075,3.937265785671842e+17,4166768.1149583617,1.2372523115314176,3375296688086.1675,0.0,1371980631.5599253,1.3146636941656976e+49,8.129932173458451e+48,3.8041133914634377,2.853766342537672e+37,44191159170083.516,192358431.66437876,2.261432181342838,4.260321752506581e+28,4.715796433305876e+23,35.72959762923673,1.1609150837241833e+19,2.0117839314294094e+35,1.3954013873900026e+30,1.2191274122106373e+41,1.3111017991703356e+42
starches,,1.0291805660978622e+23,2.4855791673293238e+23,187593529.37982288,15.666920923605048,1085836548181.8981,30.646852970471468,125.43702843793093,1.8073954175740216e+26,2907027084798.627,3.0097935942652403,1371980631.5599253,0.0,3.576096795413383e+49,3.165220826475631e+47,295337725524508.94,4.157597799501665e+28,3.4816126499088154,5.277889752679763,1671700069.178097,10303677722.730032,65401.098174925195,604843657570.3461,15038.260042693451,3.0105310417369444e+23,12884364721.775219,1.6276247858726935e+26,2.2433299749984633e+33
total sodium,,9.05703239450572e+65,3.8830776408111e+63,3.7710670725336384e+60,1.6281356808193835e+58,7.9057540776769765e+62,6.907840309469947e+52,2.4015204318020163e+44,1.2141170715691533e+63,4.281196609636546e+64,3.295041335610572e+54,1.3146636941656976e+49,3.576096795413383e+49,0.0,10.91774526928408,3.1125925666816024e+62,7.633838907099737e+37,3.5772651346333714e+51,6.24210263884349e+49,4.8586102932416285e+61,9.309264453818389e+32,2.9375957864229125e+33,3.896360758735802e+60,7.197326231398484e+43,6814890831154.862,4.0892313280975317e+30,3.792713699997386e+19,6157034.81230959
potassium k,,1.608089297322315e+64,4.112300984606253e+63,2.9413423431017104e+60,3.1337329729368384e+58,7.46785698604928e+62,3.8215242779506757e+53,9.460140024657202e+40,3.532163948901429e+61,2.1284515875739174e+64,2.1888041443831175e+54,8.129932173458451e+48,3.165220826475631e+47,10.91774526928408,0.0,5.007962221408786e+61,2.3740194841681343e+31,1.4757298299109519e+51,1.4314855626602174e+49,1.847709904962e+62,8.066049845202376e+29,2.698731565667045e+31,4.651018802321168e+60,6.76793809073807e+40,1561001394.9563437,1.5693915251103199e+28,719212169042064.2,120395.69912318331
total vitamin d,,4755.350466155186,17183.34591397499,20591.166826728186,1.899814873340651e+20,6.016157742178119,3377317017.790449,3.019832709282675e+26,378167.86630087456,1.410082460150914,4.713761031654167e+19,3.8041133914634377,295337725524508.94,3.1125925666816024e+62,5.007962221408786e+61,0.0,1.1170149670609745e+49,2.9521925828850223e+22,1676073295705.0642,99.52565286247598,6.325700161168164e+38,6.055016493439298e+34,24.570244275137963,1.6625921128819642e+26,3.4669814626227823e+47,5.355026070016847e+40,7.382903085201655e+53,2.844090999044905e+55
water,,5.16176866997778e+53,4.073246844890464e+51,7.315313490276663e+45,8.48655025526447e+39,8.320026876265977e+49,2.7606515483994502e+35,2.2538919923921365e+22,8.482562945311323e+52,6.774603037143536e+48,6.206786761151277e+36,2.853766342537672e+37,4.157597799501665e+28,7.633838907099737e+37,2.3740194841681343e+31,1.1170149670609745e+49,0.0,2.516652637442894e+33,1.8865386490602865e+33,3.069354666093643e+45,187759759203.7221,7101394839750.777,3.7193586627357435e+47,7.2016948119605764e+19,22822928.618043646,181324949714.4707,19124.066707566035,218478836617710.94
total selenium,,5.610568839030527e+27,1.8135362291878475e+26,18820709461769.95,50.134949289593756,1.7599986020692096e+18,4664.781034846459,9.876010217876162,6.990853601275901e+27,4.837943649292307e+18,5.888902963255866,44191159170083.516,3.4816126499088154,3.5772651346333714e+51,1.4757298299109519e+51,2.9521925828850223e+22,2.516652637442894e+33,0.0,21.286992590149257,187569448713309.88,2221117785.7564306,226624.9093303,1.0611258025855821e+18,3182.7650825750075,5.503092003165895e+26,356726805658.51373,3.331197871637281e+30,2.0491470105935722e+36
total sugars,,3.2894648003126206e+19,2.2247479036574728e+18,2836642.8471469637,91.97692050596231,37707342955.577484,3.9211894118775947,592.416091805296,1.1393478860702314e+20,14534353592.828478,19.197222559872788,192358431.66437876,5.277889752679763,6.24210263884349e+49,1.4314855626602174e+49,1676073295705.0642,1.8865386490602865e+33,21.286992590149257,0.0,6058073.010273486,292801670689643.7,111531979.60796382,5957806359.441537,11145493.164276134,2.783718534800579e+28,8920124929696374.0,6.509526972276e+34,3.329076599647518e+35
total polyunsaturated lipids,,20110862197.731503,528415743682.60376,3.3017218719936694,1370352617644.695,4.166160531991453,25758.034728869425,8.336423628746514e+17,24021938642310.426,21.975021694717995,6854654164285.906,2.261432181342838,1671700069.178097,4.8586102932416285e+61,1.847709904962e+62,99.52565286247598,3.069354666093643e+45,187569448713309.88,6058073.010273486,0.0,1.1179767309807642e+33,9.511774605502661e+24,12.237375914766064,2.4985459880680646e+21,1.816370246174326e+41,3.8413354585308614e+33,1.6475233271182241e+50,6.068921318254793e+51
folate,,4.599626785043398e+43,6.386789829394633e+41,1.4805429697987651e+32,26983610987876.51,3.3443873420030444e+37,2.1493543269073367e+18,211272.27156802674,2.7748888502342742e+42,3.3608768838757365e+36,695858095845.4542,4.260321752506581e+28,10303677722.730032,9.309264453818389e+32,8.066049845202376e+29,6.325700161168164e+38,187759759203.7221,2221117785.7564306,292801670689643.7,1.1179767309807642e+33,0.0,12.726424438494476,2.539097312103035e+36,55.43419133437545,595178510.6447752,1.0974329614427105,25048906.40272083,52263346004634.02
total cholesteryl alcohol,,1.0703019398857974e+42,3.4136072371861017e+39,6.79395607410342e+24,166055164.80832168,1.6572956954618762e+31,29199214151.541817,89.62044892266188,2.742211736550607e+41,4.612859066890513e+30,8526094.127459554,4.715796433305876e+23,65401.098174925195,2.9375957864229125e+33,2.698731565667045e+31,6.055016493439298e+34,7101394839750.777,226624.9093303,111531979.60796382,9.511774605502661e+24,12.726424438494476,0.0,3.425698837838457e+29,12.442667427686954,751506733.5407431,30.062158952748536,58681245776.38633,349486884988861.0
total zinc zn,,49776954.39859741,5095066409.540834,482.81818030753624,1.0799476153416786e+17,64.09300991199814,20544832.14068808,1.8009231664181976e+22,58000076392.15489,28.703321103603816,1.0931162733643324e+16,35.72959762923673,604843657570.3461,3.896360758735802e+60,4.651018802321168e+60,24.570244275137963,3.7193586627357435e+47,1.0611258025855821e+18,5957806359.441537,12.237375914766064,2.539097312103035e+36,3.425698837838457e+29,0.0,2.974404624850242e+24,4.6573335867585505e+44,2.503601696787143e+37,2.1058932155937346e+52,3.085480045300274e+54
total iodine i,,2.5797022101221036e+34,5.5624149191062764e+32,2.0309956496651606e+20,2051234.767598884,1.0774143145750867e+25,6447431085.610565,27.053030790101392,1.2561126269302357e+34,3.4297750921473655e+24,384077.3076901767,1.1609150837241833e+19,15038.260042693451,7.197326231398484e+43,6.76793809073807e+40,1.6625921128819642e+26,7.2016948119605764e+19,3182.7650825750075,11145493.164276134,2.4985459880680646e+21,55.43419133437545,12.442667427686954,2.974404624850242e+24,0.0,2.6170152525223924e+16,2798.463062595252,1269028492822083.2,9.867322864198764e+22
total B-carotene,,5.16176866997778e+53,4.073246844890464e+51,1.3548048537749708e+42,3.599131400198653e+32,1.7582575471587863e+46,7.518842498041966e+31,3.012652243099183e+17,1.426557563844228e+52,8.613249980374417e+45,5.823153943176519e+29,2.0117839314294094e+35,3.0105310417369444e+23,6814890831154.862,1561001394.9563437,3.4669814626227823e+47,22822928.618043646,5.503092003165895e+26,2.783718534800579e+28,1.816370246174326e+41,595178510.6447752,751506733.5407431,4.6573335867585505e+44,2.6170152525223924e+16,0.0,155259172.2683044,3.4788385210419936,15.983745735102934
total calcium,,9.649548803719021e+44,1.2702607185083129e+43,4.160780339348736e+32,1.2907801329950724e+16,3.0079662254689124e+39,1.4746220437250284e+18,6288004.5361131,5.588896053666465e+43,1.3575213470737191e+39,202203569727974.8,1.3954013873900026e+30,12884364721.775219,4.0892313280975317e+30,1.5693915251103199e+28,5.355026070016847e+40,181324949714.4707,356726805658.51373,8920124929696374.0,3.8413354585308614e+33,1.0974329614427105,30.062158952748536,2.503601696787143e+37,2798.463062595252,155259172.2683044,0.0,25812097.682002824,5848098623211.023
vitamin a,,1.3010849227030178e+57,5.266031426867174e+55,3.983221794111138e+50,3.8046547685174565e+36,1.4442496368576388e+54,2.3867876493486147e+38,1.1877239358838258e+21,7.895967515002173e+56,6.624120088235107e+53,5.95851113914174e+33,1.2191274122106373e+41,1.6276247858726935e+26,3.792713699997386e+19,719212169042064.2,7.382903085201655e+53,19124.066707566035,3.331197871637281e+30,6.509526972276e+34,1.6475233271182241e+50,25048906.40272083,58681245776.38633,2.1058932155937346e+52,1269028492822083.2,3.4788385210419936,25812097.682002824,0.0,5768.692343202806
total phosphorus p,,2.2302239205108868e+60,1.2520581015974633e+58,2.3814678076703604e+51,4.7986608798750726e+42,3.768820461021554e+56,7.772691335170364e+38,6.126446283613705e+24,2.913488133909186e+58,3.787187513400855e+55,1.8987522033208858e+39,1.3111017991703356e+42,2.2433299749984633e+33,6157034.81230959,120395.69912318331,2.844090999044905e+55,218478836617710.94,2.0491470105935722e+36,3.329076599647518e+35,6.068921318254793e+51,52263346004634.02,349486884988861.0,3.085480045300274e+54,9.867322864198764e+22,15.983745735102934,5848098623211.023,5768.692343202806,0.0
