,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
lipid,,9.73762391302202e+22,1.5585837770982098,9310.614544994896,1.0217083479799808e+29,23963.195704317826,33819527.094824225,79.60774109888929,2.804111854518464e+38,1280390.006537462,9291114823242798.0,11349919118909.484,2.1591893554920376e+16,9463686046019.686,9255038758898.748,3.09383238741369e+17,1.2658160422917526e+36,2.493948089149138e+65,6.300537640670722e+32,4.4885713789569324e+27,280998684.3946338,24813146714.65559,6.611656340344822,3.691946969449438e+32,4.065968556967164e+61,2434.025875537027,4.833858542572001
total 12-octadecadienoic acid,,2355.1368720141973,2037499288750.1487,23139.35076947344,9758200.4139515,5585.803645497442,1.4647687565410986e+25,1865704.31950791,1.2103801169920706e+38,28.55736146653415,3.942913900044303,2.4271249035012605,135.45638123442865,1.4133958485975853,1.112657428921664,3566.63422729118,1.992004756855178e+37,3.5348470353035404e+49,2.179833822909973e+34,1.2912301069874566e+36,1.7274114943200107,2.4029100178286066e+24,1184908961283776.5,3184165408.554954,3.1518431111344693e+50,3913925712116340.5,12642840017680.057
starches,,8.814545365061881e+19,8.486049158304306,4468.867312137416,7.770936721050191e+23,13465.335716739099,15613674.742193017,308.7386010511679,1.1184450534049045e+34,42486.60186693112,401715062540.59424,7400584097.452263,8893309126656.197,2777572499.2897468,2068077121.6776383,497340668916870.94,4.06102672321193e+29,1.7076388142862106e+65,3.552287995407422e+25,1.2864225575322966e+22,434402.5866900258,871683.9884297575,69.54736449794304,2.984000774537662e+27,1.6061147782243632e+62,117.29142266910404,4.655123970221291
total sodium,,5.400644572271852e+58,1.0937688103032216e+51,4.269695973647651e+51,1.5122469384766834e+59,1.8470562014977666e+50,3.303628630048892e+33,4.993113789340879e+52,5.223161795429467,6.349856724518371e+52,1.4672694660639197e+57,2.0851848705159178e+55,1.5518588789322048e+61,3.713455349001247e+58,6.367467295561825e+54,5.2493492641017124e+39,94801.03512344608,8.068526216245604e+37,74273430067319.67,18542350696959.39,1.0182951122245369e+42,1.9358127181566336e+37,2.3073395918276254e+45,7.123937968285707e+62,5451833004931.039,9.771198538325707e+36,1.677832710042841e+43
potassium k,,2.9262553214499582e+57,2.3974890200599667e+51,3.6922059403048956e+52,8.233766951791097e+57,1.6387892303815933e+51,4.703343541418387e+30,6.063323572293845e+52,9.532557818774764,1.0375095638634344e+53,2.9262553214499582e+57,4.1447697570896596e+55,2.1540850080906307e+61,1.971852823635392e+59,6.511103549083871e+54,9.763905686881502e+39,80907.0325959137,2.461801237214587e+31,77955978530.61778,71305866438.43639,3.032977948411336e+42,1.717745114170729e+34,3.8448777549962324e+45,2.1540850080906307e+61,6.110543750164502e+18,1.1734521519796798e+35,1.528840289519205e+40
total vitamin d,,37.85577162914003,9.169601889056378e+18,73164549.32903777,2400257.373693691,8150141.555993331,1.6216494355203172e+35,28778992228.522797,9.597214618981956e+48,10324.24232127934,4.887180862597595,9.004936828011775,71.61343032190624,38.072674687449,1.6979907279166329,737.7770740081182,1.2533069257028565e+48,4.218264630587689e+62,7.00931418860963e+44,3.23825206273079e+47,37.79495105408362,6.5807309077249635e+34,2.812984781154124e+23,137594149.17516536,1.4381737177279745e+64,6.645609154429373e+22,7.564731776271709e+18
water,,5.919764043283156e+47,1.708333762152272e+35,6.325424917249564e+36,1.661853903376245e+48,2.751617275054747e+36,6724877455754.862,3.837135234614836e+36,3.0869795653130404e+24,2.732508213814139e+39,8.729610783625769e+44,2.0697006911058016e+43,1.554230294728502e+48,9.054258032882359e+44,1.9243412815713128e+42,5.505215127447183e+31,9743330557852978.0,3.3858338655802528e+53,13256764.538875647,319780.2001968088,1.0151595971382126e+32,1.292518449395077e+17,3.2446989119403504e+29,5.436348363604011e+52,5.3517508356607024e+54,2.495916693791486e+17,7.068452465407234e+22
total selenium,,2.2630248942100118e+23,20.52879355636484,4084053.3952035056,4.2735787363670915e+24,29309080.879929665,241663.00026126418,3192.094308496171,3.1024238028744852e+35,82951721.56221175,6.668414644761379e+17,959649236859249.2,4.932303355470116e+18,185289447667547.94,355787881541551.0,2772183132562115.0,1.8050324067553476e+33,2.016843337961012e+67,1.8744041283529014e+29,1.4362941674376159e+25,3133509596.9394503,68933048.677913,14.034557004247954,5.397465671784049e+27,2.732234156025497e+62,102.57733984273385,1.91313413771051
total sugars,,8191095932778503.0,10.822667052353765,145.28142429183842,2.3707079028915256e+18,930.4985155198052,71649786207.41347,3.6563230004530136,2.814665687779257e+33,1960.655987883867,46725948245.08936,172036288.54374698,50988956548.60417,15623543.588847231,86428644.74094942,222691850295.63956,1.8520800438063548e+32,9.905284125864808e+61,1.8851056935515885e+29,2.6189201472390005e+25,55443.15764584866,24320030490.55587,388.4274749378594,1.8416965197171657e+21,5.863947201033869e+59,17161.308214536366,36.02939985946634
total polyunsaturated lipids,,17936670.784207333,55264504877.65882,1888.8448606336692,192588618599271.78,364.72742711855125,3.725592296787392e+26,72490.09714454909,3.8235873270113184e+45,3.4515263155159785,33.53733060279423,12.71910227470748,97.65537574645795,1.0139060291292412,6.546866089271553,14330765.403444868,3.2320976423114147e+44,1.6661883841000087e+64,5.719241896803583e+38,1.5488340709295293e+41,1.019700712881796,8.48228246747699e+25,392268238970699.06,9.46645192305159e+16,1.0624534446647792e+65,8455999061392945.0,2209912297519.084
folate,,5.306795397493798e+38,24374651604636.156,2.2656806833934898e+21,1.46481452343235e+39,8.804605924991357e+20,3.3457259752265163,3.219004863151575e+18,8.796655910617594e+21,8.753242409884077e+22,6.995588836597414e+34,3.089561985561256e+30,9.313813283174114e+36,3.905270798199899e+32,1.5267319978611268e+31,5.5102021354172345e+25,22707670294695.19,2.816095019001576e+52,128728546303.32886,10014962.584411955,2.4231781080851064e+22,10.13450358301019,158440971.66783017,1.9368893868939254e+42,3.038423598719166e+47,719.9091063473657,3042362.1219224483
total cholesteryl alcohol,,3.552948668006144e+36,65829340.12313631,164575061931561.38,1.1523302811138585e+38,425111319966939.25,2.325504785220165,283255473447.3243,4.026129944346228e+22,1.4396072821551685e+17,3.3442591269745964e+29,1.6130274069491234e+25,2.658643486163391e+30,2.7954514057157486e+25,2.6874184776390974e+25,2.2143439604779736e+24,43094929935847.09,1.5009829252455155e+52,202883329148.25674,604348255.9536623,6.972634227465621e+16,5.3445770276804785,54063.516163393804,2.368840670558155e+42,1.9097726262327733e+49,8.402402494672236,1769.0035590902676
total zinc zn,,2517.8451985292672,1861429522779152.5,3456305.416131094,190956913580.1802,725621.3416745233,2.0850021636561422e+30,207223784.8781991,2.4249027681479367e+48,301.6107644459143,1212.5164728531013,2.6910147553623625,1.0714976706715327,11.436400458132358,36.4707800571347,573206.4503821806,4.730523841177592e+46,1.3503696125096237e+60,1.4756726420445025e+42,3.3731093984931165e+44,14.064234851902665,6.971527021821373e+29,6.818628549505012e+20,535920733746786.06,3.475334433440357e+61,1.6693154180863425e+19,1.1150542650505682e+16
total iodine i,,7.810091455882465e+28,4976594.851244723,79037398832009.06,6.008428101170008e+30,134227707997258.98,5.86639876417577,49002441955.12165,9.738005642039187e+29,168637525019212.2,3.116000136437303e+23,1.3448448728570325e+20,3.250599134642349e+24,2.2247588933658086e+21,2.7219871780662945e+20,2.0518574499977095e+20,1.361029178644608e+21,1.3762412639628913e+61,4.4774191050618286e+18,73947889980667.81,210270190805430.0,16.874409812469327,2745.461790558805,2.5757764535110206e+34,1.6596421714929764e+57,2.2905613928385615,179.99347159547898
total B-carotene,,2.2177314938071953e+46,5.291271914813284e+28,1.5475623417032018e+33,1.661853903376245e+48,2.6209866289570173e+33,1836993109.2875388,8.306126897164853e+32,3824445.813527697,5.16782865309564e+35,5.494839401377114e+42,3.5685114883706727e+39,1.8851695378758946e+45,2.7087933855708377e+41,5.355439780415e+38,5.505215127447183e+31,138.65044498247477,4.204589701251278e+23,1.2783526079567398,1.144775658389238,2.8106366105918546e+29,19334709084514.54,2.9357647541622048e+23,9.201951100426307e+51,5.908420035223675e+30,51660726001578.2,1.437459046347357e+19
total calcium,,1.9648915857284308e+39,1319405651060395.0,2.439168303800766e+22,2.4755778823444476e+40,2.2666933612761076e+23,43.50483548127259,1.644335927180783e+20,8.464262347472619e+19,6.975630719144148e+23,3.9370228875639666e+36,7.559113916580815e+31,7.937581065301861e+37,1.3926732787799326e+33,5.715632722796094e+32,4.242275652520159e+26,1165474485161.1145,1.2201675548618285e+48,13689631710.179466,5830790.690677464,4.824959946219464e+22,8.699195057885674,29504776518.425842,3.8720814767992383e+43,5.650401254688601e+44,6814.669345747363,178260806.8733167
vitamin a,,5.102211374441788e+50,1.3583751232228298e+32,2.6363810575842674e+40,1.4341592091746828e+51,1.9249702069851345e+40,43412194513.07242,9.687922913823244e+38,37976524241.95248,1.8085340423030279e+43,3.8572790722134716e+48,5.05380812300757e+47,1.3435468629779213e+52,1.7037224953187902e+50,6.676338475700644e+45,4.21656049101857e+34,196801.41079133554,2.333986024556835e+31,5.695819037281835,1.4767069070157262,3.566442295606059e+34,5279019101671.707,7.910463339282032e+26,4.844590012439479e+56,9.261744369220845e+37,1607837641834050.2,3.7006780814724623e+22
total phosphorus p,,4.040973904271681e+53,3.161839335532567e+37,1.877734379057386e+41,1.1351660684382852e+54,8.183328916474865e+40,2732545370885632.5,9.043635685281859e+39,1013.334708621961,1.4125442646425033e+44,2.660299833679584e+51,4.987661002350142e+47,1.396877700378889e+55,5.251590570422287e+50,1.1164201059750737e+47,1.2455658656205404e+36,1.342997007465265,1.832973150790936e+16,340.02120599244824,149.79655828839768,4.7126115526154495e+36,7.915085586383117e+19,3.871069383157745e+31,1.763814531737488e+58,1.6382229758098643e+25,2.295832071910831e+21,3.9182311880139377e+24
