,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
total cobalamin,,470.19695499169956,2661250410763161.0,5087826.537863681,722178.9878202737,908244.7972138869,7.007784666586318e+30,267096437.8884757,8.892338419987831e+45,2605.2248590868767,0.0,239.34866032614704,16049.038312313793,11.816788668562056,2.5798872816778315,2239.9789962293567,2.422201684845773e+44,1.443904899163532e+57,7.920950325986858e+40,1.1149183047366558e+43,30.057337788431965,4.6771847213417116e+30,1.529590295658175e+20,19659786.294594523,2.700413351086159e+58,7.0116250245857165e+19,2.319595282104598e+16
total iron fe,,711.4940680943399,33609788170855.08,1010035.7634856494,7511376383.955764,74236.81726606935,2.468868332777333e+26,27647747.118937068,4.811034940502802e+43,584.48269776145,239.34866032614704,0.0,8.870844583470058,3.0250471549323215,6.099546713265208,66395.13738421859,2.245239246447854e+41,2.0450285910710887e+55,1.8899416732164056e+37,3.6663690305126655e+38,3.6569912071055115,3.386502552677227e+25,2.1621892671999985e+18,1029896384464.23,3.1624486956374953e+56,2.5879444445008096e+16,248008647451174.72
zinc zn,,2829.828086918231,2.055922732027529e+16,68818210.94696979,1886535025.2905443,12088557.588611634,2.796053827249778e+31,3779990203.1845036,9.734972447160856e+48,4282.062702950035,16049.038312313793,8.870844583470058,0.0,56.723994820640556,167.93841428874072,101422.62729307327,1.8533191205153115e+47,8.482709167922926e+59,5.48552801889537e+42,1.0106946058136522e+45,83.23438114853928,2.1345040124002345e+30,1.948176188759409e+22,2437401680097336.0,2.1351150680591302e+61,9.462871374577579e+19,2.1799013015231792e+17
polyunsaturated fats,,1105726.1735758565,1454251973447.2842,22168.19591278389,231237035292.82028,3778.5246010607193,2.4209155577445374e+26,522400.3538888916,9.94792693392874e+44,7.600351129333048,11.816788668562056,3.0250471549323215,56.723994820640556,0.0,4.6470811467332425,3638038.2644803203,5.091550091152475e+43,3.3870395899306015e+60,1.0355998535057725e+39,1.5062815366322343e+41,1.0088341625964545,1.104373821441956e+26,1.6565273036783322e+16,39009761510965.6,9.110988932214208e+61,5861240311301348.0,3896842183898.4473
vitamin e,,551.5130702910596,1341556376135.7053,241472.14960030504,26442772.601867065,19328.02608948361,7.145890086553066e+26,6151839.776039872,3.691679542168223e+42,317.66428096176713,2.5798872816778315,6.099546713265208,167.93841428874072,4.6470811467332425,0.0,5586.503209776006,2.3760598939754835e+40,6.65729440991941e+57,2.1894786703319432e+36,1.2702060468999697e+39,4.627533239329557,1.2320153035785861e+26,1.1284771295445518e+17,1212246162.1858852,1.639792992170716e+58,1.3086718954382572e+16,25208349842655.51
alpha-linolenic acids,,7.451793885815653,7.416541034457386e+16,4810171045.931326,5.755926293520848,15741337213.272203,5.839167914173593e+24,149925648316.75333,3.383582476149426e+32,3902097662.3507195,2239.9789962293567,66395.13738421859,101422.62729307327,3638038.2644803203,5586.503209776006,0.0,1.2649774829873676e+32,3.914458188202776e+39,1.176485798284442e+32,4.649211206794935e+31,453801.8982450127,1.7819689772904795e+24,2.34465414001321e+21,24.884305857375203,1.5637602988684042e+40,1.092409023346244e+17,6.638872347120325e+16
total phosphorus,,1.495340575514819e+45,1.4188095916125603e+34,2.050784755857392e+36,4.1581072474712855e+45,9.728305271562137e+35,64876101622006.625,3.962790602645683e+35,334.86587115608916,1.3418080446709243e+39,2.422201684845773e+44,2.245239246447854e+41,1.8533191205153115e+47,5.091550091152475e+43,2.3760598939754835e+40,1.2649774829873676e+32,0.0,1.568624624234282e+17,556.3634041344291,281.9418046384739,2.739996056382702e+32,5.617578915934808e+16,1.701380370378754e+29,2.2985516848811325e+48,1.1470217140649019e+21,1.4184442630596233e+19,8.037632528387301e+22
quantity,,1.443904899163532e+57,6.65729440991941e+57,6.754992081731195e+54,5.108448624657658e+56,2.0450285910710887e+55,2.505699226338264e+51,6.306501771672237e+55,1.1483628166393146e+26,2.190942435917113e+54,1.443904899163532e+57,2.0450285910710887e+55,8.482709167922926e+59,3.3870395899306015e+60,6.65729440991941e+57,3.914458188202776e+39,1.568624624234282e+17,0.0,1.2962729645719596e+20,1.6726858701384213e+24,3.808760745836215e+45,2.282778351055924e+53,1.178108157811097e+59,8.482709167922926e+59,1.845405651314195e+51,7.512303281627043e+52,6.65729440991941e+57
vitamin a,,3.8572398004335546e+46,3.0598075190544875e+30,4.384897654277884e+32,1.0756210607489548e+47,3.3481175566850516e+31,98892439853.2471,1.2177459388700324e+33,91337615.29859252,5.926989261799678e+33,7.920950325986858e+40,1.8899416732164056e+37,5.48552801889537e+42,1.0355998535057725e+39,2.1894786703319432e+36,1.176485798284442e+32,556.3634041344291,1.2962729645719596e+20,0.0,3.4524880680507044,3.9112970434395347e+28,395255384498744.3,3.014272353416775e+26,4.125448271966371e+49,2.8818399351758604e+30,4987916360677786.0,3.6358242236706075e+20
B-carotene,,2.721790598527558e+45,8.766958019175255e+26,4.092210285527696e+31,7.575606155651269e+45,1.9531044540674512e+31,1858850354.0667408,4.217493484271712e+29,29883631.596440375,3.7385154331222656e+33,1.1149183047366558e+43,3.6663690305126655e+38,1.0106946058136522e+45,1.5062815366322343e+41,1.2702060468999697e+39,4.649211206794935e+31,281.9418046384739,1.6726858701384213e+24,3.4524880680507044,0.0,1.4116680837064594e+30,118320138084.04477,2.1523979825755906e+22,3.376369696732332e+48,8.433954320550503e+30,27197406600941.305,1.1449857562363464e+17
linoleic acids,,457371.44044118904,170218066.3534145,658.8649694033846,2835165674.2971244,385.9103995185372,3.369878562709247e+18,10789.89417962983,3.6424459816949684e+33,2.7622861248106556,30.057337788431965,3.6569912071055115,83.23438114853928,1.0088341625964545,4.627533239329557,453801.8982450127,2.739996056382702e+32,3.808760745836215e+45,3.9112970434395347e+28,1.4116680837064594e+30,0.0,5.251405315492165e+18,438009096806.00586,568788165027.4624,1.8940046568184855e+45,80725424375.83302,859939284.8736604
total iodine i,,3.0414908688350854e+35,25583537328.3232,6251985793442615.0,8.190901042507909e+35,7645580374539463.0,1.8864189579783373,58583202423082.516,1.5982919881769622e+25,6.513534922901393e+16,4.6771847213417116e+30,3.386502552677227e+25,2.1345040124002345e+30,1.104373821441956e+26,1.2320153035785861e+26,1.7819689772904795e+24,5.617578915934808e+16,2.282778351055924e+53,395255384498744.3,118320138084.04477,5.251405315492165e+18,0.0,19450710.155257538,2.9715058474860693e+40,1.4009156825865337e+48,93.79264603837281,275408.6951173592
lipids,,3.028953111109515e+30,4.537917366378736,32942.12762995681,1.7790970398611527e+32,26737.798576041576,153772.14771390078,242.07140478706262,2.5262879111116823e+31,441737557.36869216,1.529590295658175e+20,2.1621892671999985e+18,1.948176188759409e+22,1.6565273036783322e+16,1.1284771295445518e+17,2.34465414001321e+21,1.701380370378754e+29,1.178108157811097e+59,3.014272353416775e+26,2.1523979825755906e+22,438009096806.00586,19450710.155257538,0.0,2.2613199609282156e+36,1.084511653287309e+56,72.00201839817633,1.6224252706663622
total vitamin b1,,14193.197915039258,2.128085764598266e+29,5.54158592988482e+18,10.164855827294582,6.4046443476276e+18,1.0975690692125957e+41,1.2257803034302924e+20,7.192056328053747e+49,1.2997818186856177e+18,19659786.294594523,1029896384464.23,2437401680097336.0,39009761510965.6,1212246162.1858852,24.884305857375203,2.2985516848811325e+48,8.482709167922926e+59,4.125448271966371e+49,3.376369696732332e+48,568788165027.4624,2.9715058474860693e+40,2.2613199609282156e+36,0.0,2.1351150680591302e+61,9.51315416190428e+28,5.921849148339766e+28
calories,,2.700413351086159e+58,2.3866205239184363e+57,1.0956413084419658e+55,9.115186683861358e+57,4.0437913806477774e+54,3.824041972633697e+47,1.2892432708442857e+56,378867364085.12103,3.0744719373815965e+55,2.700413351086159e+58,3.1624486956374953e+56,2.1351150680591302e+61,9.110988932214208e+61,1.639792992170716e+58,1.5637602988684042e+40,1.1470217140649019e+21,1.845405651314195e+51,2.8818399351758604e+30,8.433954320550503e+30,1.8940046568184855e+45,1.4009156825865337e+48,1.084511653287309e+56,2.1351150680591302e+61,0.0,2.3506038726761292e+48,5.9221001464956906e+54
dietary folate,,1.7320966635459527e+23,6035.257738595032,2425396612.6344833,9.885270394476773e+25,3134059940.591385,32.86070568186261,12296932.513620758,3.3275757904968074e+25,11822918877.71782,7.0116250245857165e+19,2.5879444445008096e+16,9.462871374577579e+19,5861240311301348.0,1.3086718954382572e+16,1.092409023346244e+17,1.4184442630596233e+19,7.512303281627043e+52,4987916360677786.0,27197406600941.305,80725424375.83302,93.79264603837281,72.00201839817633,9.51315416190428e+28,2.3506038726761292e+48,0.0,4.469759931981701
total complex sugars,,5.838470934538384e+23,16.65290592307765,6742958.025303146,6.6719523144495135e+25,18774339.80831359,6439.524232449214,2383.968734051352,1.125529054800731e+30,22492722.927968096,2.319595282104598e+16,248008647451174.72,2.1799013015231792e+17,3896842183898.4473,25208349842655.51,6.638872347120325e+16,8.037632528387301e+22,6.65729440991941e+57,3.6358242236706075e+20,1.1449857562363464e+17,859939284.8736604,275408.6951173592,1.6224252706663622,5.921849148339766e+28,5.9221001464956906e+54,4.469759931981701,0.0
