,0,1,2,3,4,5
37,"Vitamina B1, Tiamina, mg",003,25,15177,2,
38,"Vitamina B2, Riboflavina, mg",011,25,15177,2,
39,"Vitamina C, mg",0,02,1088,,
40,"Niacina, mg",110,25,15177,2,
41,"Vitamina B6, mg",034,25,15177,2,
42,"Folati totali, µg",6,25,15177,2,
43,"Acido pantotenico, mg",021,AG,15177,2,
44,"Biotina, µg",60,BF,682,2,
45,"Vitamina B12, µg",91,AG,15177,2,
46,VITAMINE LIPOSOLUBILI,,,,,
47,Retinolo equivalente,,,,,
48,"Retinolo eq. (RE), µg",60,02,1088,,altra fonte 25/15177 RE=26mcg
49,"Retinolo, µg",60,02,1088,,
50,"ß-carotene eq., µg",tr,02,1088,,
51,"Vitamina E (ATE), mg",013,25,15177,2,
52,"Vitamina D, µg",110,I,5804,2,"""Snails"" acqua=79g, lip=1.4g, prot=16.1g"
53,ACIDI GRASSI,,,,,
54,"Acidi grassi saturi totali, g",013,BR,15177,3A,"Mollusks, whelk, unspecified, raw lip 0.4AcGrSaturiTot0.03, SommaAcButirrico,caproico,caprilico,caprico0, AcLaurico0, AcMiristico0, AcPalmitico0.02, AcStearico0.01, AcArachidico-3, AcBeenico-3, AcGrMonoinsaturiTot0.03, AcMiristoleico-3, AcPalmitoleico0.01, AcOleico0.01, AcEicosenoico0.01, AcErucico0.01, AcGrPolinstauriTot0.02, AcLinoleico0, AcLinolenico0, AcArachidonico0.01, AcEicosapentaenoico(EPA)0, AcDecosaesaenoico(DHA)0.01, AltriAcGrPolinsaturi0"
55,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",000,BR,15177,3A,
56,"Acido laurico, g",000,BR,15177,3A,
57,"Acido miristico, g",001,BR,15177,3A,
58,"Acido palmitico, g",009,BR,15177,3A,
59,"Acido stearico, g",004,BR,15177,3A,
60,"Acidi grassi monoinsaturi totali, g",012,BR,15177,3A,
61,"Acido palmitoleico, g",002,BR,15177,3A,
62,"Acido oleico, g",003,BR,15177,3A,
63,"Acidi eicosenoico, g",003,BR,15177,3A,
64,"Acido erucico, g",004,BR,15177,3A,
65,"Acidi grassi polinsaturi totali, g",010,BR,15177,3A,
66,"Acido linoleico, g",002,BR,15177,3A,
67,"Acido linolenico, g",000,BR,15177,3A,
68,"Acido arachidonico, g",004,BR,15177,3A,
69,"Acido eicosapentaenoico (EPA), g",002,BR,15177,3A,
70,"Acido decosaesaenoico (DHA), g",003,BR,15177,3A,
71,"Altri acidi grassi polinsaturi, g",000,86,,,
72,AMINOACIDI,,,,,
73,"Triptofano, mg",167,25,15177,3A,"""Mollusks, whelk, unspecified,raw"" prot. orig.23.84,trypto309, threon1068, isoleu828, leucine1903, lysine1465, methion603, cystine187, phenilal824, tyrosine759, valine1037, arginine2468, histidine488, alanine1556, aspart ac2563, glutam ac3669, glycine1495, proline1182, serine1110"
74,"Treonina, mg",578,25,15177,,
75,"Isoleucina, mg",448,25,15177,,
76,"Leucina, mg",1030,25,15177,,
77,"Lisina, mg",793,25,15177,,
78,"Metionina, mg",326,25,15177,,
79,"Cistina, mg",101,25,15177,,
80,"Fenilalanina, mg",446,25,15177,,
81,"Tirosina, mg",411,25,15177,,
82,"Valina, mg",561,25,15177,,
83,"Arginina, mg",1335,25,15177,,
84,"Istidina, mg",264,25,15177,,
85,"Alanina, mg",842,25,15177,,
86,"Acido aspartico, mg",1387,25,15177,,
87,"Acido glutammico, mg",1985,25,15177,,
88,"Glicina, mg",809,25,15177,,
89,"Prolina, mg",640,25,15177,,
90,"Serina, mg",601,25,15177,,
91,ZUCCHERI,,,,,
92,"Glucosio, g",00,AA,109010,,
93,"Fruttosio, g",00,AA,109010,,
94,"Galattosio, g",00,AA,109010,,
95,"Saccarosio (MSE), g",00,AA,109010,,
96,"Maltosio (MSE), g",00,AA,109010,,
97,"Lattosio (MSE), g",00,AA,109010,,
