,label,vitamin b2,vitamin b6,dietary fiber,proteins,total cobalamin,total ascorbic acid,carbohydrate,total aneurine,total vitamin e,lipid,total 12-octadecadienoic acid,starches,total sodium,potassium k,total vitamin d,water,total selenium,total sugars,total polyunsaturated lipids,folate,total cholesteryl alcohol,total zinc zn,total iodine i,total B-carotene,total calcium,vitamin a,total phosphorus p
lipid,,31382989699669.023,15634456579125.592,1639197.6374501432,2.1944180976590175,28751018415.664104,2111.0736782062063,137.48095165502238,128963948876770.23,46151165605.96672,0.0,108766924.79400642,2.826754852683105,1.3608984089750686e+47,1.3333447465812656e+47,161607777397.04004,3.3550904948314937e+28,2.224479370959639,50.8488435325193,45499778.6033429,192095952098.5183,5945432.630557604,1192963084.8592627,10719.530703804601,8.597033220641609e+25,7005570992632.483,2.8746007493957557e+31,5.522275372247821e+35
total 12-octadecadienoic acid,,17.945488882575397,21.747567833289473,312.3987257068371,21395354843.735348,2.3567917643310414,16.288937926254956,589935911984.2115,147.91178193850448,2.6322732649704217,108766924.79400642,0.0,35137.29011578416,7.822759903007724e+37,2.912774765098331e+37,3.5872564187893254,1.64919713202872e+27,137881.69412832096,365.545445027362,12.151147772208647,1.77613921128409e+17,7464965714672691.0,8.681858199878802,40242183520.594696,4.07013838881516e+26,3.493493572392319e+18,6.474575546293372e+29,2.1426124531930125e+33
starches,,70050900.03088684,52232426.97947208,1155.7986140133976,4.204463526519768,871492.8016368992,157.2348425419989,226.04613209893745,213145854.362789,1337145.4839764733,2.826754852683105,35137.29011578416,0.0,2.6161539778563034e+46,8.363554507772265e+45,2230685.51978057,5.296041135006637e+27,2.5854904255512756,12.542174627121456,10155.324293757089,11233882059.078833,5542959.308243565,72613.93414980546,4879.619734443481,1.4092754129382873e+25,218216664151.91644,1.98744056812846e+29,3.8051730807528774e+34
total sodium,,8.302473369099376e+48,2.649603361928908e+48,2.3228966822475627e+48,2.2651384342576006e+47,6.374192430004283e+49,5.787496303556256e+46,7.818219756275264e+41,7.546001156668737e+46,3.385656739538751e+51,1.3608984089750686e+47,7.822759903007724e+37,2.6161539778563034e+46,0.0,7.619850644929887,4.441718044008712e+48,1.0293708791498208e+28,2.1702586096244497e+48,5.0202281019502847e+45,2.3444429299942167e+49,4.622099569605033e+31,3.10222085472201e+35,2.8617730417200426e+46,9.015371745671926e+39,115135461346221.14,1.3427501011448366e+30,6.408157422144459e+18,2003679503.1475854
potassium k,,4.326544891279973e+47,1.5930958759546315e+47,6.3242186005515376e+47,6.9666943187391764e+47,3.255922577035354e+48,5.999848995651774e+45,6.3315496840606074e+41,4.884803048855178e+45,1.9692306115077067e+50,1.3333447465812656e+47,2.912774765098331e+37,8.363554507772265e+45,7.619850644929887,0.0,3.6073690053823234e+47,5.457151639569908e+25,7.566422703663663e+47,1.3295713938777726e+45,3.253004229519567e+48,5.606021676509995e+30,2.9997914948655507e+34,4.78259606454801e+45,5.542303355803264e+39,3530875727318.4937,1.8237367837783066e+29,6.512389146386576e+16,37845900.31314914
total vitamin d,,5.135072113727886,5.297241420848295,37486.3917755944,193166167167777.56,3.104965932373397,44.07463640475874,4921454046085461.0,93.66387705522803,2.558364914694742,161607777397.04004,3.5872564187893254,2230685.51978057,4.441718044008712e+48,3.6073690053823234e+47,0.0,1.1036503167924468e+35,3107557.889489737,2165.994698577847,67.40905773597738,1.1149650908757348e+22,6.264823303026757e+20,125.71486810909543,55747559758961.234,2.14062213486294e+34,3.572562236874457e+23,2.2551400890502377e+38,1.3991797171647655e+43
water,,7.519856441437493e+35,3.974940775925086e+35,2.5430542660502003e+33,9.936971863413214e+29,7.65738927668974e+34,6.20498017007223e+29,5.798032802489821e+20,7.284021924049173e+34,7.779149196506405e+36,3.3550904948314937e+28,1.64919713202872e+27,5.296041135006637e+27,1.0293708791498208e+28,5.457151639569908e+25,1.1036503167924468e+35,0.0,2.80589068924745e+28,1.2842174301967507e+29,1.5378238220702919e+34,210538781.98302045,9937873482.485651,7.857287380112327e+32,3.769212294928475e+18,223.80978009461109,7543616.81616424,20.888438146915746,4816496.978890899
total selenium,,9433373.772379361,7739614.651575131,14431.608783378348,2.121405204013244,3874483.867231307,812.2801720948823,75.12526500586156,17468612.435969584,2912051.088700321,2.224479370959639,137881.69412832096,2.5854904255512756,2.1702586096244497e+48,7.566422703663663e+47,3107557.889489737,2.80589068924745e+28,0.0,35.763871674823264,79350.3525422252,24328698342.04254,1704193.4195460335,230960.721488047,6522.337330535641,8.82475136878338e+25,769191602882.7639,9.0101727667507e+30,8.12120573203172e+35
total sugars,,16952.366282980773,15228.678810884547,22.714464726180392,130.14503487759143,2064.3046795571913,8.175701776900246,31991.596164182523,45540.001008670384,1590.376402784009,50.8488435325193,365.545445027362,12.542174627121456,5.0202281019502847e+45,1.3295713938777726e+45,2165.994698577847,1.2842174301967507e+29,35.763871674823264,0.0,83.12637622842313,24596039957011.97,2940136068.630679,240.62610741022408,1848987.0779198038,1.0060855237803179e+27,440945327266260.06,5.942156535412373e+31,1.0504993640155523e+36
total polyunsaturated lipids,,1776.9575287400592,1429.46963793615,13.061821969083011,6376660738.320194,26.705319887684748,4.961438080921091,1717166213950.4033,59187.86983077375,31.82880218711014,45499778.6033429,12.151147772208647,10155.324293757089,2.3444429299942167e+49,3.253004229519567e+48,67.40905773597738,1.5378238220702919e+34,79350.3525422252,83.12637622842313,0.0,3.1455649742289476e+20,1.3194854218650304e+18,2.76285269894039,512435351622.55304,1.8630115275363906e+33,1.4372514265758905e+22,7.26637423720313e+37,3.6554352312637853e+42
folate,,3.3599431303369998e+22,1.5624450031131308e+22,4.921560407517631e+19,713668515273.3232,1.0029104926765607e+22,4154133745291979.5,160498.85861446775,1.2060985469414138e+22,6.55653326153842e+22,192095952098.5183,1.77613921128409e+17,11233882059.078833,4.622099569605033e+31,5.606021676509995e+30,1.1149650908757348e+22,210538781.98302045,24328698342.04254,24596039957011.97,3.1455649742289476e+20,0.0,13.787543426897415,2.2425329490253788e+20,1204.657660017208,455224317.4900151,3.122047739093419,2658513712.992373,3021675057422683.0
total cholesteryl alcohol,,1.7258926109140646e+22,6.64642266157997e+21,8.157236701683221e+16,9736873.284283325,4.162391120618382e+20,980792782210.9484,383.75256122830234,6.74596438932354e+21,1.3576372615450253e+21,5945432.630557604,7464965714672691.0,5542959.308243565,3.10222085472201e+35,2.9997914948655507e+34,6.264823303026757e+20,9937873482.485651,1704193.4195460335,2940136068.630679,1.3194854218650304e+18,13.787543426897415,0.0,8.280822619609978e+18,22.164197745706645,145204307737.19168,36.636698419930404,2171100179194.959,8.667911067442206e+18
total zinc zn,,90813.62126505717,130817.1419923689,64.29293044181287,212792658742.03165,15.184157188814645,10.433294652807675,25341814367820.38,99388707.87404133,32.917006961806536,1192963084.8592627,8.681858199878802,72613.93414980546,2.8617730417200426e+46,4.78259606454801e+45,125.71486810909543,7.857287380112327e+32,230960.721488047,240.62610741022408,2.76285269894039,2.2425329490253788e+20,8.280822619609978e+18,0.0,1281468048214.8843,1.1081083291293336e+32,8.158283709974589e+21,1.7823199745479433e+36,2.591131415479083e+40
total iodine i,,858747220442899.5,470068203995980.9,40337162343.91411,12433.360177301698,37059804576511.68,194849793.14715093,9.144070079091797,915861475498575.6,120503456251964.06,10719.530703804601,40242183520.594696,4879.619734443481,9.015371745671926e+39,5.542303355803264e+39,55747559758961.234,3.769212294928475e+18,6522.337330535641,1848987.0779198038,512435351622.55304,1204.657660017208,22.164197745706645,1281468048214.8843,0.0,4.0603030786051736e+16,6871.8255357761755,1.5628540554220993e+19,1.7479879666506535e+25
total B-carotene,,2.009393215571014e+35,8.325045202629212e+34,1.2461298698839873e+32,3.465397536436053e+26,3.5019448478870067e+34,2.51838007707273e+28,1.5765412652540006e+19,1.97917205777891e+34,1.0465715124324639e+36,8.597033220641609e+25,4.07013838881516e+26,1.4092754129382873e+25,115135461346221.14,3530875727318.4937,2.14062213486294e+34,223.80978009461109,8.82475136878338e+25,1.0060855237803179e+27,1.8630115275363906e+33,455224317.4900151,145204307737.19168,1.1081083291293336e+32,4.0603030786051736e+16,0.0,29113672.83174383,4.61082801364537,104.27295599093188
total calcium,,8.942870306876509e+23,3.406526313575943e+23,2.1123439567008233e+21,56199560453470.75,4.126741492432926e+23,9.72166498237981e+16,2062957.5812511703,2.760470237598555e+23,2.626627663956575e+24,7005570992632.483,3.493493572392319e+18,218216664151.91644,1.3427501011448366e+30,1.8237367837783066e+29,3.572562236874457e+23,7543616.81616424,769191602882.7639,440945327266260.06,1.4372514265758905e+22,3.122047739093419,36.636698419930404,8.158283709974589e+21,6871.8255357761755,29113672.83174383,0.0,126672154.73758978,93380550966202.03
vitamin a,,8.256519382380374e+38,4.313751380014779e+38,8.836887339603062e+36,7.2144764926276e+32,4.206618973514834e+38,5.885172474750243e+32,4.0375193286711555e+22,3.8926052830858e+37,2.9669298736514546e+40,2.8746007493957557e+31,6.474575546293372e+29,1.98744056812846e+29,6.408157422144459e+18,6.512389146386576e+16,2.2551400890502377e+38,20.888438146915746,9.0101727667507e+30,5.942156535412373e+31,7.26637423720313e+37,2658513712.992373,2171100179194.959,1.7823199745479433e+36,1.5628540554220993e+19,4.61082801364537,126672154.73758978,0.0,1961.077797236677
total phosphorus p,,4.195505951671718e+43,1.3384343028452429e+43,2.3449172056191263e+41,4.927240554074697e+36,3.9416757228958504e+43,3.9776166057799463e+37,1.117285214098029e+28,1.845033895013931e+42,2.3217549953150682e+45,5.522275372247821e+35,2.1426124531930125e+33,3.8051730807528774e+34,2003679503.1475854,37845900.31314914,1.3991797171647655e+43,4816496.978890899,8.12120573203172e+35,1.0504993640155523e+36,3.6554352312637853e+42,3021675057422683.0,8.667911067442206e+18,2.591131415479083e+40,1.7479879666506535e+25,104.27295599093188,93380550966202.03,1961.077797236677,0.0
